ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
GRACE,,75,"Dose-limiting toxicities (DLTs), Phase I, Maximum Tolerated Dose (MTD), Phase I, Number of participants with treatment-related adverse events as assessed by CTCAE v4.0, ""Objective Response Rate (ORR), Confirmed by the researchers evaluation, Phase II"
21-600,,40,Arm Volume
114,,52,"Patient Descriptive Information Form, Change from Edmonton Symptom Diagnosis Scale, Change from European Association for Cancer Research and Treatment BR23 Quality of Life Scale"
YLiu,,100,genetic profile sequenced by a pan-cancer gene panel
IIT2018-17-McArthur-TCDRT,lack of funding,0,Pathological complete response rate in the breast and axilla
20 KHCC 91,,50,"Progression free survival (PFS), Overall survival (OS)"
SYSUCC-019,,126,Objective Response Rate
IIT-CRM2020001,,55,Overall Responsive Rate (ORR) as assessed in RECIST 1.1
2018-A02191-54,,139,Post-cancer needs analysis
2020-154,,104,"Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm circumference and volume, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Arm mobility measurement, Activity and participation, Activity and participation, Activity and participation, Activity and participation, Activity and participation, Activity and participation, Activity and participation, Activity and participation, Activity and participation, ISL classification, ISL classification, ISL classification, ISL classification, ISL classification, ISL classification, ISL classification"
CTO-IUSCC-0715,,62,Participants who use the LifeExtend-AI application 5 or more days per week
CLEE011ABR02,,76,Proportion of patients alive and progression-free from disease at 1 year
SP0048722,,31,"Change in health-related quality of life (HRQoL), Change in wellbeing and disease symptom bother"
38341220.8.0000.0072,,36,Rate of local recurrence
Neo-ACT,,712,Pathological complete response
CH-BC-059,,300,Disease free survival (DFS)
07102022_SR,,15,"Change in Quality of life, Change in Digestive health, Change in Sleep disturbance"
GO42784,,4100,"Invasive Disease-Free Survival (IDFS), Excluding Second Primary Non-Breast Cancers"
145314,,25,"Specific Aims 1:To evaluate the safety, toxicity profile and tolerability of Ga-68-PEG-αvβ3-IAC in patients diagnosed with angiogenic breast cancer., Specific Aims 2:To evaluate biodistribution and dosimetry of Ga-68-PEG-αvβ3-IAC, Specific Aims 3: To determine the recommended phase 2 dose (RP2D) of Ga-68-PEG-αvβ3-IAC examination"
New theory(Tamoxifen&retinoic),,160,"Cytokeratin 5 (CK5)-expression, To evaluate and compare the pathological complete response (pCR) rates"
20-505,,34,Overall Response Rate
RadiaAce001,,120,"Skin assessment (RD grade), Pain (VAS), ""Patients assessment of the skin condition (DLQI questioner)"
Neo-program 2021.02.23,,132,Changes from baseline Ki67% at the end of the intervention
ARV-471-mBC-101,,215,"Part A: Incidence of Dose Limiting Toxicities of ARV-471, Part A: Number of Patients with Adverse Events as a measure of safety and tolerability of ARV-471, Part A: Incidence of laboratory abnormalities as a measure of safety and tolerability of ARV-471, Part B: Assessment of anti-tumor activity of ARV-471, Part C: Incidence of Dose Limiting Toxicities of combination ARV-471 + palbociclib, Part C: Number of Patients with Adverse Events as a measure of safety and tolerability of combination ARV-471 + palbociclib, Part C: Incidence of laboratory abnormalities as a measure of safety and tolerability of combination ARV-471 + palbociclib"
275078,,250,Change in Cancer related fatigue
IIT-2017-NeoPACT,,121,Pathological complete response (pCR) rate
2021000247,,40,To determine the maximum tolerated dose and recommended dosing of tucatinib to be given in combination with either vinorelbine or gemcitabine and trastuzumab.
REaCT-70,,100,"Accrual of 100 participants across 8 centres within 2 years, Participation rate of at least 60%, 90% treatment allocation rate"
BTCRC-BRE16-042,,47,Clinical Benefit Ratio (CBR)
TVD-101-002B,,53,"Phase 1b: Number of Participants Who Experience a Dose Limiting Toxicity (DLT), Phase 1b: Number of Participants Who Experience an Adverse Event (AE), Phase 1b: Number of Participants Who Experience a Serious Adverse Event (SAE), Phase 2: Clinical Benefit Rate (CBR)"
20-0140-A,No financial support.,0,"MonaLisa Touch Impact on vaginal health in breast caner patients, VAS"
D9673R00004,,798,"Prevalence/Incidence of HER2 low among HER2-neg mBC patients, based on rescoring of historical HER2 fixed tissue IHC stained slides by Ventana 4B5 assay, Disease outcome: Time to first subsequent treatment (TFST), Disease outcome: Time to treatment failure (TTF), Disease outcome: Overall survival (OS)"
CA209-929,Slow patient accrual,5,"Number of participants with treatment-related adverse events as assessed by CTCAE v4.0, Clinical Response"
SYSEC-KY-KS-2019-099,,760,Overall Survival (OS)
Glnz87?,,68,"The sociodemographic characteristics of the participants and their homogeneous distribution according to the experimental and control groups, The healthy lifestyle behaviors, ""Participants quality of life level"", Body Mass Index (BMI) Evaluation"
GIM24-PALBO-BP,,168,"Clinical Benefit Response (CBR), Patient Reported Outcomes (PRO)"
18-115,,23,"Shoulder/Arm Pain, Shoulder mobility, Disabilities in daily life, Handgrip strength, Quality of Life (QoL)"
IBISCO Trial,,30,pCR
NBC Che001,,160,"the rates of grade III/IV neutropenia during the first and second chemotherapy cycle, the rates of FN during the first and second chemotherapy cycle"
IC 2021-08,,200,"Describe physical activity profiles in breast cancer patients over 70 years of age, Describe sleep profiles in breast cancer patients over 70 years of age, Identify digital profiles (physical activity, sleep) in breast cancer patients over 70 years of age"
AI Yoga Study on Facebook - 1,,38,"Change in Patient-Reported Arthralgia Inventory (PRAI) Measure for Joint Arthralgia, Change in Brief Pain Inventory Short Form (BPI SF) Measure for Body Pain, Change in Brief Pain Inventory Short Form (BPI SF) Measure for Quality of Life, Change in Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Measure for Pain, Stiffness, and Physical Function of Knee and Hip, Change in Disability of the Arm, Shoulder and Hand (DASH) Measure of Ability to Use Arm, Shoulder, and Hand"
6222/22.03.2017,,30,Number of Patients With Adverse Events as a Measure of Safety and Tolerability
SYSEC-KY-KS-2019-055-001,,600,Disease free survival (DFS)
EUBREAST-01,,350,rate of axillary recurrence-free survival (ARFS) after breast-conserving surgery
1216-4-011,,60,Change in Neuropathic pain characters and severity
UPCC 15121,,24680,Mammogram Completion in 3 months
OMERIC-1904,,25,"Intrapatient variation in molecular profiles at progression compared to baseline, longitudinal changes in VOCs profile and exosomes according to response to treatment"
21-161,,48,"test early attentional deficits, abnormal event-related potential (ERP) during initial learning"
18-217,,546,number of participants still employed
ACE-Breast-06,,32,Central nervous system (CNS) clinical benefit rate (CBR)
ONC-010,It was determined that we had sufficient enrollment and study data to explore the impact of the Endopredict test in endocrine therapy decision-making.,855,"Evaluate DRFS of women 5-10 years post diagnosis with ER+, HER2-breast cancer who are low risk according to their EPclin scores"
CHLOBREASTASP,,60,Overall Survival
CLEE011AFR01,,482,"Proportion of patients by initial dose of ribociclib, Proportion of patients by endocrine therapy partner, Proportion of patients for each line of treatment with ribociclib"
CTO-IUSCCC-0781,,100,Change in cardiorespiratory fitness
TT420X2101,,48,Maximum Tolerated Dose (MTD) and/or Dose Limiting Toxicity (DLT)
201808046,,77,"Tolerance of Tri-APBI as measured by the rate of acute treatment-related grade 3 or higher toxicity or any other grade 4 or 5 toxicity attributed to treatment, Ipsilateral breast tumor recurrence rate, Tolerance of Tri-APBI as measured by the rate of late treatment-related grade 3 or higher toxicity or any other grade 4 or 5 toxicity attributed to treatment"
178-2018,,100,Pathologic complete response (pCR)
OMC2018/01,,212,(Potential) difference in persistence rate after 24 weeks of Abemaciclib therapy in both study arms.
HS-10352-102,,224,"[Stage 1] Maximum tolerated dose (MTD) of HS-10352 in combination with fulvestrant, [Stage 1] Maximum applicable dose (MAD) of HS-10352 in combination with fulvestrant, [Stage 2] Objective response rate (ORR) of HS-10352 in combination with fulvestrant"
Versión 4- 20/09/2020,,10,Estradiol
CSPC-KAL-BC-16,,414,Progression free survival (PFS)
REaCT-Wellness,,264,Health-Related Quality of Life
NEXT-BRCA,,85,Change in baseline physical activity level
AB PoC 2021 RUS,,150,The number of true positive cases
MedOPP167,Slow recruitment rate,22,The overall response rate (ORR)
LPM-008,,80,Diagnostic performance of LightPath® Imaging System
DATOS-20220624-ASJF-Efecto car,,40,NT-proBNP
2019.444,,250,Prognostic value of fibrotic focus
NSABP FB-13,,24,Complete Cell cycle arrest
202207198RINB,,240,Arm lymphedema
FZPL-Ⅲ-303,,474,"(Safety Lead-in) dose limited toxicity (DLT), (Safety Lead-in) Recommended Phase II Dose (RP2D), (Phase 3) Progression free survival(PFS) in HER2-negative Metastatic Breast Cancer patients"
SYSUCC 019,,47,Overall Response Rate (ORR)
BCSPilot01,,36,"Enrolment rate, Adherence rate, Attrition rate, Burden and satisfaction, Adverse events"
2014CB543202-03,,60,Upper extremities volume
578-21-FB,,46,"To determine the overall response rate (CR+PR) with neoadjuvant palbociclib in combination with endocrine therapy in subjects with hormone receptor positive and Her-2/neu negative breast cancer, To determine the rate of reduction of Ki67 index after 4 weeks of neoadjuvant Palbociclib and endocrine therapy"
1107210020,,250,"Positive resection margin(s) in the final histopathology, Re-excision-rate during primary breast conserving surgery, Rate of repeat surgery"
107CS-6,,72,Objective Response Rate(ORR)
BRE 381,,36,Objective response rate (ORR) to assess the anti-tumor activity of tucatinib in combination with Doxil using RECIST v1.1.
IRB00048455,,30,Plasma histamine levels
2022-009,,320,"Part 1: confirm the recommended dose of Thero2-01S22 as add-on therapy on top of first line anti-HER2 targeted treatment of patients with metastatic breast for Part 2, Part 2: compare the effects of anti-HER2 targeted containing regimen with and without Thero2-01S22 in terms of Objective response rate (ORR) at week 6"
CCR5654,,100,Distribution of TILs percentage
KCT 005,,20,ICG Fluorescence Lymphatic Imaging
2022-YXZX-YX-08,,200,Accuracy of differential diagnosis between benign and malignant
G1T28-212,,24,Immune-based mechanism of action
SCHBCC-NO28,,94,Percent Change in Standardized Uptake Value (SUV) on Positron Emission Tomography and Change in Gene Expression With Response
PI-2021-3,,92,"Disabilities of the Arm, Shoulder and Hand Score (DASH), Disabilities of the Arm, Shoulder and Hand Score (DASH)"
ID-RCB 2022-A01488-35,,5000,Recall rate
MA-BC-Ⅱ-021,,60,Safety of Microwave Ablation Combined With Camrelizumab
2021-KY-124-001,,109,aesthetic outcomes
NCKUH SLNB,,30,The impact of clipped lymph node in patients who received SLNB and ALND following neoadjuvant chemotherapy
DFP22-0020,,52,Change in kilograms of the skeletal muscle mass of whole-body measured via dual energy x-ray absorptiometry (DEXA)
CCM 1505,,100,Primary Outcome Coronary calcium (CAC)
PER.CIN.BN.95.III,,214,Breast Pathological Complete Response (bpCR)
21-5021,,1150,Development of persistent pain 3-months after breast cancer surgery
C4891006,,35,"Phase 1b: Number of Participants With Dose Limiting Toxicities, Phase 2: Percentage of Participants With Objective Response by investigator assessment"
2021-0840,,8,"PROMIS Pain Interference, PROMIS Fatigue, PROMIS Sleep Disturbance"
OV-121,,30,Anti-tumour efficacy after treatment with 600 mg 2X-121 as single oral agent in a 21-days cycle in mBC patients selected by the 2X-121 DRP
042110,,34,Detectable Circulating tumor DNA ctDNA
BC-09638,,160,"Change in symptoms and quality of life after implementation of treatment in a time frame of 12 weeks using the EQ5D-questionnaire., Change in symptoms and quality of life after implementation of treatment in a time frame of 12 weeks using the FACT-ES questionnaire., Change in sex steroid hormone concentrations in a time frame of 12 weeks."
LB1802,,170,"Efficacy endpoints: Invasive disease relapse-free survival rate, Efficacy endpoints: Invasive disease relapse-free survival rate, Efficacy endpoints: Invasive disease relapse-free survival rate, Efficacy endpoints: Invasive disease relapse-free survival rate, Efficacy endpoints: Invasive disease relapse-free survival after curative-intent surgery, Efficacy endpoints: Overall survival after curative intent surgery, Safety endpoints: Incidence of Related Adverse Events, Safety endpoints: Total cycles per patient, Safety endpoints: Incidence of dose interruption"
2018-0601,,232,Percentage diminution of grade 2 or higher radiodermatitis in Radium bromatum group
D967JC00002,,139,"Occurrence of adverse events (AEs)- Part 1, Occurrence of serious adverse events (SAEs)- Part 1, Occurrence of adverse events (AEs)- Part 2, Occurrence of serious adverse events (SAEs)- Part 2"
UKM14_0016,,99689,"Detection rate of invasive breast cancers, Cumulative 24 months incidence of interval cancers"
RJBC-HFRNI,,801,Locoregional recurrence (LRR)
m-VCAP1,,30,Progression-free Survival
19-133,,200,BrainHealth Index Score
CLEE011A2206,,327,Progressive free survival (PFS) based on local assessment by RECIST 1.1 guideline
CASE3118,,13,"Utility of quantitative MRI in assessment of response to neo-adjuvant chemotherapy in breast cancer, Longitudinal relaxation (T1) and transverse relaxation (T2) relaxation times of tumor and normal breast tissue."
2020(55),,214,2-year event-free survival
WO40324,,500,Trough Serum Concentration (Ctrough) of Pertuzumab During Cycle 7 (Pre-Dose Cycle 8)
Geneplus2020BC01,,200,Positive ctDNA detection at first post-operative timepoint
ML39208,,56,Percentage of Participants Who Successfully Use ZEMY
18/028,,36,"Determination of the Maximum Tolerated Dose (MTD), dose-limiting toxicities (DLTs) and recommended phase 2 dose of drug combination of palbociclib, letrozole and venetoclax."
19-005860,,105,Utilization of multiscale omics to build a cohort database for breast cancer survivors
A231701CD,,598,"Patient power: self-efficacy in patient physician interactions, Patient power: active patient participation"
FDRT-BC017,,1650,Disease free survival (DFS )
AC699-001,,60,"Incidence of dose limiting toxicities (DLTs) from AC699 monotherapy, Incidence of treatment-emergent adverse events (TEAEs) and clinically significant Grade 3 or higher lab abnormalities following administration of AC699"
2020-495,,260,pathological complete response (pCR)
CTRIAL-IE 17-13,Accrual rate to date was too low to finish the trial in a reasonable timeframe,2,To determine the incidence of dose limiting toxicity (DLT) of copanlisib in combination with trastuzumab emtansine within the 1st cycle at each dose level.
00005038,,196,"Change in Knowledge of Genetic Screening for Breast Cancer, Change in Knowledge of Genetic Screening for Breast Cancer, Change in Knowledge of Genetic Screening for Breast Cancer, Change intention to be screened and to gather family history and share with providers, Change intention to be screened and to gather family history and share with providers, Change intention to be screened and to gather family history and share with providers"
H-43432,Terminated by sponsor due to lack of interest,3,Clinical Benefit Rate
2020-010,,9000,"Pathologic Complete Response (pCR), Disease Free Survival (DFS), Overall Survival (OS)"
Contralateral Screening,,1098,The area under the (receiver operating characteristic) curve (AUC) per lesion and breast level
HCRN BRE18-334,,197,2 year Disease Free Survival (DFS) ARM 1
ACT16105,,290,Progression Free Survival (PFS)
OSU-22013,,1000,"Adherence to National Comprehensive Cancer Network (NCCN) guidelines of having a clinical encounter every 6-12 months, Adherence to NCCN guidelines of having an annual mammogram (and breast magnetic resonance imaging [MRI] with contrast if recommended), Risk perception, Breast cancer-specific worry, Post-test/counseling distress, Satisfaction with counseling"
I-3364822,,130,"Proportion of patients who participate in the study, Proportion of patients who remain on study, Proportion of patients who perform >= 3 respiratory muscle training (RMT) sessions/week, Proportion of patients who perform > 70% of their RMT sessions"
ICO-N-2019-04,,13,Correlation between M1/M2 macrophage polarization and [18F]DPA-714 PET/CT binding
2007-206-1145,,580,Receiver operating characteristic per lesion and breast level
20140299,,36,Number of Participants Who Experienced a Dose-Limiting Toxicity (DLT)
2019.629,,1000,"area under curve (AUC), accuracy, sensitivity, specificity"
CS003-BC,,58,Toxicological profile
2020-005722-28,,100,Evaluation of objective response rate (ORR)
EORTC-1617-QLG-BCG,,830,"Health-related quality of life, Health-related quality of life, Health-related quality of life, Health-related quality of life, Health-related quality of life"
MD-127-2019,,204,6 months Progression free survival rate
2020-07-064-002,,28,Range of motion of shoulder joint
UC-BCG-2204,,100,Objective response rate (ORR)
PYHOPE-BC-104,,60,Pathological complete response (pCR) rate
TMZ-TNBC,,40,Disease Control Rate (DCR)
STUDY-20-01174,,99,Screening mammogram completion
SIM-1907-02-SERD-101,,146,"Maximum Tolerated Dose, recommended phase 2 Dose, Dose-Limiting Toxicities, objective response rate"
20-151,,50,Sentinel Lymph Node (SLN) identification rate
RJBC-SHF RNI,,197,Cumulative complication rate of ≥Grade 2 Acute Radiation-induced Toxicity
YOUNGBC-17,,150,PFS
HREBA.CC-21-0429,,30,Completion rate
Metastatic Breast Cancer,,300,Evaluation of the outcome per treatment line
UW17107,Slow accrual,4,Overall Response Rate (ORR) - Number of Participants Who Responded to Treatment
NL63209 041 18,no participants enrolled,0,Pathologic complete response (pCR)
KCSG BR19-15,,1000,"Progression free Survival, PFS, Incidence of adverse events"
2020-AHL-001,,40,"Incidence of dose-limiting toxicities (DLTs), Incidence of radiation-related toxicities"
SAMuhammad,,45,Tumour size measurement
202201100,,14,"Feasibility as measured by adherence rate, Feasibility as measured by dropout rate"
2019-A02195-52,,150,blood immune response blood immune response blood immune response
ShantouCH02,,64,RCB
PekingUPH10B003,,46,pathological complete response(pCR)
GE-280-401,,206,Evaluate change in therapeutic management plan assessed by comparing pre/post-Cerianna PET/CT treatment selection (based on comparison of the initial management plan and post-Cerianna PET/CT management plan evaluated within 3 weeks).
CTMS# 19-0028,,30,"Change in strength in breast cancer survivors, Change in functional capacity in breast cancer survivors"
NEO-01,,20,"The number of masses that may exhibit qualitative changes in accordance with Functional Feature Scale as assessed by Imagio OA/US over the course of baseline though follow-up timepoints, Number of masses that correlate with chemotherapy response/no response as assessed by Functional Feature Score Scale at all study timepoints to predict optimal timing for Imagio imaging"
NL58040.091.16,Needle production stopped,22,Frequency of successful complete tumor excision by the BLES system.
LQ006,,35,Objective Response Rate(ORR)
MCC-19-15740,,460,"Assessing Study Adherence Behaviors- Initiation, Assessing Study Adherence Behaviors- Delay of Adjuvant or Endocrine Therapy., Assessing Study Adherence Behaviors- Overall Chemotherapy Adherence"
K180603J,Delayed start due to technical problems as well as the covid pandemic. Decision of the investigator,0,"Mammary lesions Visualization on ultrafast injected dynamic MRI: Yes/No, Mammary lesions Visualization with a diffusion sequence"
ABLE02,,244,"time to deterioration of global health status (GHS) score of EORTC QLQ C30, time to deterioration of fatigue score of EORTC QLQ C30"
MCC-21-BRE-54,,70,Change in margin status
CLEE011A3201C,,223,Progression Free Survival
2/108/7,,25,"Baseline: Water diffusion probability density function (Full-Width-At-Half-Maximum, FWHM, units of micrometre), Post Cycle 1: Water diffusion probability density function (Full-Width-At-Half-Maximum, FWHM, units of micrometre), Post Cycle 3: Water diffusion probability density function (Full-Width-At-Half-Maximum, FWHM, units of micrometre), Post Treatment: Water diffusion probability density function (Full-Width-At-Half-Maximum, FWHM, units of micrometre), Baseline: Water diffusivity (units of mm^2 /s), Post Cycle 1: Water diffusivity (units of mm^2 /s), Post Cycle 3: Water diffusivity (units of mm^2 /s), Post Treatment: Water diffusivity (units of mm^2 /s), Baseline: Lactate Concentration (units of mM), Post Cycle 1: Lactate Concentration (units of mM), Post Cycle 3: Lactate Concentration (units of mM), Post Treatment: Lactate Concentration (units of mM), Baseline: Lipid Peak Volume Ratio (Ratio Units), Post Cycle 1: Lipid Peak Volume Ratio (Ratio Units), Post Cycle 3: Lipid Peak Volume Ratio (Ratio Units), Post Treatment: Lipid Peak Volume Ratio (Ratio Units), Baseline: Fat Fraction (units of %), Post Cycle 1: Fat Fraction (units of %), Post Cycle 3: Fat Fraction (units of %), Post Treatment: Fat Fraction (units of %)"
EOC202A1101,,12,DLT
HUM00140468,Difficulty recruiting and retaining participants,8,"Feasibility of recruitment for self-acupressure: Measure screening to on-study ratio of participants, Feasibility of training, as measured by number of participants who complete the daily self-reported logbook, Feasibility of training for self-acupressure: Measure the fidelity (accuracy) of participants using training application via instrument administered by study team"
18-2562.cc,,370,BREAST Q patient satisfaction with breast surgeon domain
19-586,,40,Percentage of Participants adhere to 13 hours of fasting
2014CB543202-02,,108,Upper extremity circumference
CER2021,,367,Prevalence of lymphedema
IB 2017-05,,320,Tobacco 7-day point prevalence abstinence (PPA) at 6 months
On4Rehab Pilot Trial,,12,"Retention rate, Adherence rate, Training tolerance regarding the duration of the exercise prescription, Training tolerance regarding the intensity of the exercise prescription, Training tolerance regarding the volume of the exercise prescription, Intervention Recruitment Rate, Training safety, Absence and dropout, Level of satisfaction"
IIT-0005,,52,Percent change in Ki67 index from baseline to surgical excision.
PROTECT,,250,Prevalence of chronic lymphedema
MD 134/2022,,150,"Correlation between inflammatory blood marker (neutrophil to lymphocyte ration (NLR)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)., Correlation between inflammatory blood marker (Platelet to lymphocyte ratio(PLR)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)., Correlation between inflammatory blood marker (monocyte to lymphocyte ratio(MLR)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)., Correlation between inflammatory blood marker (systemic immune-inflammation index(SII)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)., Correlation between inflammatory blood marker (systemic inflammation response index (SIRI)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)., Correlation between inflammatory blood marker (Pan-Immune-Inflammation-Value (PIV)) and rate of pathological complete response (PCR), and neutropenia / peripheral neuropathy (CTCAE grade)."
NCC2129,,108,Objective Response Rate (ORR)
001,,60,Incidence of first progression with brain metastases
SYSU-CSCO-2020,,27,tpCR
IRB18-0970,,400,Development of faster MRI protocols for a for a Personalized Risk-based Imaging Surveillance Model for diverse populations of high risk women.
2019-09-023,,1380,Disease-free survival
Shengjing-LCG004,,1498,Pathologic complete response (PCR)
A5481093,,1300,Number of Participants With Risk Factors for Grade 4 Neutropenia in Users of Palbociclib
MedOPP168,Very slow recruitment due to subject profile,5,Assess the efficacy of olaparib in combination with trastuzumab
LUN_DBT_121,,262,Effectiveness of Lunit INSIGHT DBT
I239,,15,Objective Response Rate of CFI-400945 given with durvalumab using RECIST 1.1
IRB00158622,,102,"Change in Pain Intensity as assessed by the Brief Pain Inventory-short form, Change in Physical Function as assessed by the Western Ontario and McMaster Osteoarthritis Index, Change in Physical disability as assessed by the QuickDASH, Change in Physical Strength as assessed by Handgrip"
RFTMBCPW,,30,Progression free survival
s63338,,62,"Shoulder mobility, Arm volume, Force based on handgrip strength, Flexibility by means of the sit-and-reach test, Exercise capacity based on 6-minute walk test, Body image using the Body Image Scale, self-reported pain using the Brief Pain Inventory, Fatigue using the Functional Assessment of Chronic Illness Therapy - Fatigue Scale, Anxiety and depression using the Hospital Anxiety and Depression Scale, Quality of life using the McGill Quality Of Life questionnaire, Physical functioning using the Patient-Reported Outcomes Measurement Information System, Patient Specific Complaints, Global Perceived Effect, Attendance: number of times the participant was present"
2017-0071,,54,"Incidence of adverse events (Phase I), Change in breast tumor proliferation index (Ki67) (Phase II, Part I), Change in autophagy (Phase II, Part I), Change in senescence (Phase II, Part I), Change in cell cycle control (Phase II, Part I), Change in proportion of patients achieving tumoral complete cell cycle arrest (Phase II, Part II)"
2019/00283,,40,"The experience of rehabilitation (i.e., drain care, exercise and massage), Shoulder range of motion, Arm circumference"
20200628GD,,30,objective response rate (ORR) evaluated by MRI
ANLO-BC,,134,PFS
SHR-A1811-III-306,,528,Progression-free Survival (PFS) Based on Blind Independent Video Review Committee (BIRC)
REO 028,,48,"Overall response rate, To describe the safety and tolerability of the combinations of pelareorep, paclitaxel and avelumab as graded by the NCI CTCAE v. 5.0."
LQ007,,32,Objective Response Rate(ORR)
2019-KY-049,,46,Progression Free Survival (PFS)
D9268C00001,,733,"Progression Free Survival, Overall Survival"
ET17-203 DISCO,,436,Number of patients achieving the internationally recommended level of physical activity of at least 150 minutes per week of moderate-to-vigorous physical activity (intensity ≥3 METs)
GO 22/41,,48,6 minute Pegboard and Ring Test - 6PRT
YOUNGBC-16,,200,Treatment decision survey
07068-02,,60,Oxygen partial pressure
EC/2017/0200,,100,"investigate the ability of (micro)PET/CT to evaluate the excision margins and determine negativity of these margins, as compared to the gold standard of sectional histopathological evaluation."
99mTc-DARPinG3 breast cancer,,24,"SPECT/CT-based 99mTc-DARPinG3 uptake in tumor lesions, SPECT/CT-based 99mTc-DARPinG3 uptake value in metastatic lymph nodes, Tumor-to-background ratio (SPECT), LN-to-background LN ratio (SPECT)"
200277,,48,"Number of participants with any ≥ grade 3 adverse event, Rate of participants experiencing a delay in surgery, Rate of positive margins following surgery"
CFT / sp123,,42,1. Mean combined gene expression of COX-2 tumour-promoting genes
2021-1201,,200,Decision Conflict Scale (DCS) score questionnaires
FDRT-BC012,,120,Local Control Rate
99mTc- RM26,,10,"Gamma camera-based whole-body 99mTc-RM26 uptake value (%), SPECT-based 99mTc-RM26 value in tumor lesions (counts), SPECT-based 99mTc-RM26 uptake value (counts), Tumor-to-background ratio (SPECT)"
2103254164,,30,Muscle Gene Expression
MA-BC-II-026,,35,"pCR rate using the definition of ypT0/Tis ypN0 (i.e., no invasive residual in breast or nodes; noninvasive breast residuals allowed) at the time of definitive surgery"
OBU-BC-II-079,,65,Percentage of Participants With Pathological Complete Response (pCR) at the Time of Surgery evaluated by the investigators
BCD-178-2,,336,To compare the efficacy of BCD-178 and Perjeta as neoadjuvant therapy by studying the total pathological complete response (tpCR) rate
YOUNGBC-24,,150,PFS
AAAT4412,,50,"Assessment of the correlation between change in HMI measurements and pathologic response at completion of neoadjuvant therapy, Assessment of the correlation between change in HMI measurements and pathologic response during neoadjuvant systemic therapy"
SHR6390-Ib/II-201,,146,Number of Participants With adverse events (AEs) and serious adverse events (SAEs) at Phase 1
N19MIM,,38,Response
CA209-7A8,,23,"The Number of Participants With Dose Limiting Toxicities (DLT) in the Safety Run-in Phase, Residual Cancer Burden (RCB) 0-1 Rate in the Randomized Phase"
CFT/sp123,IP breach,0,Mean combined gene expression of COX-2 tumour-promoting genes
EVER-132-002,,331,Progression-free Survival (PFS)
KY20192081-F-1,,100,RCB
AC682-001,,30,"Incidence of dose limiting toxicities (DLTs), Incidence of treatment-emergent adverse events (TEAEs), and clinically significant grade 3 or higher laboratory abnormalities following administration of AC682"
ATOS-Z-201,,174,"PK Cohort - (Z)-endoxifen steady-state plasma concentrations, Treatment Cohort - Endocrine sensitive disease rate based on Ki-67 percent after 4 weeks of treatment"
UC-0140/1711 - UCBG3-06,,94,clinical benefit rate
2018-05-0155,,36,"Verbal learning and memory performance-Hopkins Verbal Learning Test Immediate and Delayed Recall, Verbal Fluency Performance-Controlled Oral Word Association Test, Executive Functioning Performance- Trail Making Test Parts A & B"
SBU-PCWRT-BREAST,,25,"Breast cancer recurrence, Acute toxicity, Delayed toxicity, Surgical complications"
2021.240,,600,Attendance of the second round of mammography follow up and repeat mammography arrangement.
YOUNGBC-6,,242,"PFS, Number of participants with treatment-related adverse events as assessed by Common Terminology Criteria for Adverse Events version 4.0 (CTCAE v4.0)"
HNCH-BC008,,1979,Invasive disease-free survival (iDFS)
PLATO study,,122,Conversion Rate
PI20/596,,300,"Survival and disease-free survival at 1st year., Survival and disease-free survival at 3th year., Survival and disease-free survival at 5th year."
SCBCG-022,,2000,The rate of osteoporosis
RSRB00066846,,32,"Recruitment, Retention, Compliance"
HERMIONE-10,,200,Progression-free survival (PFS)
KC19EESI0325,,20,Range of motion of affected shoulder
16-007764,unable to recruit patients due to competing studies,0,correlation of FES and estrogen receptors
18-621,"Study halted prematurely, prior to enrollment of first participant.",0,The Maximum Tolerated Dose
STOP-BC Trial,,150,Change in percent breast density by MRI
IRB-59141,,30,Objective response rate (ORR)
SYSU005,,61,Clinical benefit rate (CBR)
ZN-c5-002,,35,Corroborate the single agent Recommended Phase 2 Dose
Fudan University,,316,Disease free survival
18-8214-BO,,52,"Sleep Quality, Sleep Quality"
B00157,,7,Greatest dimension of the Cancer
1711-048-898,,460,Final pathology report
2021-A03091-40,,60,Assessment of compliance
HR-BLTN-001,,79,Objective Response Rate
A5481166,,688,"Real-World Progression-Free Survival (rwPFS) of palbociclib plus ET as first line treatment for HR+/HER2- ABC, rePFS of palbociclib plus ET as second line treatment for HR+/HER2- ABC"
D081CC00012,,104,Incidence of bone marrow suppression
Luminal A sirt1,,160,Protein expression difference
DokuzEU.Com.Garments,,60,28-questionnaire about the use of compression garments
