ID,FDA_Regulated_Drug,FDA_Regulated_Device,Responsible_Party
YOUNGBC-22,No,No,Principal Investigator
16D.674,No,No,Sponsor
SMC- 5725-18,No,No,Principal Investigator
2000025837,Yes,No,Principal Investigator
DS8201-A-U305,Yes,No,Sponsor
2020/33,No,No,Sponsor
2018.016,No,No,Sponsor
HE071-CSP-021,No,No,Sponsor
Shengjing_001,No,No,Principal Investigator
PREDIX II HER2,Yes,No,Sponsor-Investigator
ATADEK 2022-17/27,No,No,Principal Investigator
CHIR-01-sentinel,No,No,Sponsor
R.20.05.834,No,No,Principal Investigator
MCC-20902,Yes,No,Sponsor
D3615C00001,Yes,No,Sponsor
SMC-2019-05-021 (2),No,No,Principal Investigator
PUMCH-BC501,No,No,Principal Investigator
17/209,No,No,Sponsor
2022-SR-494,No,No,Sponsor
PCS-001,No,No,Sponsor-Investigator
1563/2018,No,No,Sponsor
C3441053,Yes,No,Sponsor
18-603,No,No,Principal Investigator
2021-0170,No,No,Sponsor
PUMCH-SBSBC,No,No,Sponsor
B27IB3856,No,No,Principal Investigator
2018.08.ST,Yes,No,Principal Investigator
YYS-20200305,No,No,Sponsor
CAN04CLIN005,No,No,Sponsor
YOUNGBC-7,No,No,Principal Investigator
ORIN1001-001,Yes,No,Sponsor
LUN_MMG_121,No,Yes,Sponsor
Breast Cancer-RISS,No,No,Principal Investigator
STML-ELA-0322,Yes,No,Sponsor
LCCC2105,No,No,Sponsor
RJrapidplan,No,No,Principal Investigator
2-049-18,No,No,Sponsor
MIES-BCNAT,No,No,Principal Investigator
MACSSI (ET18-150),,,Sponsor
HNCH-BC010,No,No,Principal Investigator
22SCH740,Yes,No,Principal Investigator
eMOUVOIR-1901,No,No,Sponsor
NCC2019-0142,No,No,Principal Investigator
19-002792,No,No,Principal Investigator
20G.605,Yes,No,Sponsor
UT BCS Sleep Study,No,No,Principal Investigator
919PP17,No,No,Principal Investigator
H-50349,Yes,No,Principal Investigator
NIS12501,No,No,Sponsor
B002-101,No,No,Sponsor
MCC-21378,Yes,No,Sponsor
"2016-051-000001, 2563",No,No,Sponsor
010006,No,No,Principal Investigator
20210504,No,No,Principal Investigator
2021-0358,Yes,No,Sponsor
LACUDY,No,No,Sponsor-Investigator
18-2444.cc,No,No,Sponsor
CSPC-DMS-BC-17,No,No,Principal Investigator
UC-0105/1815,No,No,Sponsor
NCC3340,No,No,Principal Investigator
YOMA,No,No,Principal Investigator
2022-7735,No,No,Principal Investigator
IRB00130428,Yes,Yes,Sponsor
HR BLTN 014,No,No,Sponsor
C4891023,Yes,No,Sponsor
SYSU-2022-02,No,No,Principal Investigator
GO40987,Yes,No,Sponsor
HR-BLTN-008,No,No,Sponsor
OkanU2,No,No,Principal Investigator
HNCH-MBC08-BM02,No,No,Sponsor
TRICIA,No,No,Principal Investigator
19-003532,No,No,Principal Investigator
SNF4,No,No,Principal Investigator
PALBOCOMP,No,No,Sponsor-Investigator
MA-BC-II-006,No,No,Principal Investigator
17/013,No,No,Sponsor
LACOG 0221,No,No,Sponsor
SNF3,No,No,Principal Investigator
1780,No,No,Principal Investigator
2020 - 176,No,No,Principal Investigator
HR-TNBC-HN100,No,No,Principal Investigator
2018-68-1461,No,No,Principal Investigator
YANWQ002,No,Yes,Sponsor
STU00206180,No,No,Principal Investigator
MR-01,No,No,Principal Investigator
2019-09-09,No,No,Principal Investigator
UBRS20013,Yes,No,Principal Investigator
SPI-POZ-101,Yes,No,Sponsor
HR-BLTN-014,No,No,Principal Investigator
EC/TMC/108/17,No,No,Sponsor
SGRT-BC,No,No,Sponsor
CMUH108-REC3-090,No,No,Principal Investigator
PALBOSPAIN,No,No,Principal Investigator
RC48-C012,No,No,Sponsor
261\\2021,No,No,Sponsor
ERIBRAIN-IPC 2017-014,No,No,Sponsor
CYH33-G103,No,No,Sponsor
OTT 18-02,No,No,Sponsor
SYSA1901-002,No,No,Sponsor
YBCSG-21-03,No,No,Principal Investigator
EBaran,No,No,Principal Investigator
99mTc-ADAPT6,No,No,Sponsor
2019-0088,No,No,Principal Investigator
R20-030,Yes,No,Principal Investigator
NL77000.029.21,No,No,Principal Investigator
MUKDEN 07,No,No,Principal Investigator
OstacoliMIND&BC,No,No,Principal Investigator
NCC3286,No,No,Principal Investigator
HR-BLTN-010,No,No,Sponsor-Investigator
GS-US-595-6184,Yes,No,Sponsor
CMUH106-REC3-137,No,No,Sponsor
2010134480,No,Yes,Principal Investigator
DS8201-A-U303,Yes,No,Sponsor
H18-02581,No,No,Principal Investigator
SMX 22-002,Yes,No,Sponsor
18-371,No,Yes,Principal Investigator
K171005J,No,No,Sponsor
9745,No,Yes,Sponsor
J1836,Yes,No,Sponsor
2019/2452,No,No,Sponsor
X-XJTU1AFLSY-93,No,No,Principal Investigator
20-104,No,No,Principal Investigator
SCHBCC-N030,No,No,Principal Investigator
D967JC00001,Yes,No,Sponsor
STUDY00022698,No,,Principal Investigator
CLEE011AUS64,No,No,Sponsor
NCC1888,No,No,Principal Investigator
SCAN-B-rec,No,No,Sponsor
LMengmeng,No,No,Principal Investigator
XZP-3287-3002,No,No,Sponsor
R21-072,Yes,No,Principal Investigator
HCI131027,No,No,Sponsor
SCHBCC-N025,No,No,Principal Investigator
ERC/2020/10/11 (26/10/2020),No,Yes,Principal Investigator
19-055,Yes,No,Principal Investigator
SLNB-ACP,,,Principal Investigator
AI-BMRI,No,No,Principal Investigator
2019/1318,No,No,Principal Investigator
20F.259,Yes,No,Sponsor-Investigator
BC-P29,No,No,Principal Investigator
Smart,No,No,Sponsor
OMICS Mark,No,No,Principal Investigator
RS-NAT01,No,No,Sponsor
SMX 20-001,Yes,No,Sponsor
2021/32,No,No,Principal Investigator
BOMB,No,No,Sponsor-Investigator
XuzhouMedSch3,No,No,Sponsor-Investigator
MC220301,Yes,No,Sponsor
FUSCC-TNBC-BLIS,No,No,Principal Investigator
TeMP 2021,No,No,Principal Investigator
SMC 2018-07-014-011,No,No,Principal Investigator
D931CC00001,Yes,No,Sponsor
WuhanU,No,No,Principal Investigator
2022-017,No,No,Sponsor
Stage 1 Compression Therapy,No,Yes,Principal Investigator
GEICAM/2018-03,No,No,Sponsor
018-745,Yes,No,Sponsor
4298,No,No,Principal Investigator
20-371,Yes,No,Principal Investigator
HBMUFH-101,No,No,Principal Investigator
2019-KY-051,No,No,Principal Investigator
GCX-BCT-06,No,No,Sponsor
213355,Yes,No,Sponsor
2022-0056,No,No,Sponsor
20192755,No,No,Principal Investigator
K3_K1_2,No,No,Principal Investigator
MEDOPP437,No,No,Sponsor
BC-P31,No,No,Principal Investigator
EORTC-1550-BCG,No,No,Sponsor
D9670C00001,Yes,No,Sponsor
ACR A4707,No,No,Sponsor
42127,No,No,Principal Investigator
handan1,No,No,Principal Investigator
IOM-120465,Yes,No,Sponsor
2-025-19,No,No,Sponsor
OTT 20-11 (IT-02),Yes,No,Sponsor
PREBCA,No,No,Principal Investigator
OBU-SC-BB-BC-II-010,No,No,Principal Investigator
20-09022641,Yes,Yes,Sponsor
D9673R00025,No,No,Sponsor
SaglikBilimleriU_DU,No,No,Principal Investigator
mTPVB SPPB Ver 2,No,No,Principal Investigator
SYSKY-2023-129-01,No,No,Principal Investigator
R868/18-IEO 916,No,No,Sponsor
309424,No,No,Sponsor
Melody_001,No,No,Sponsor
19-1812.cc,No,No,Sponsor
UW20035,Yes,No,Sponsor
I3Y-NS-O003,No,No,Sponsor
ID-TMS-02-20201012,No,No,Sponsor
CABC012,No,No,Principal Investigator
ACE-Breast-07,No,No,Principal Investigator
2019-053,No,No,Principal Investigator
SNB vs PET/MRI 1,No,No,Sponsor-Investigator
AITIC,No,No,Sponsor
NIHR 128311,No,No,Principal Investigator
Pro00104868,Yes,No,Sponsor-Investigator
RG_16-108,No,No,Sponsor
STUDY00000023,Yes,No,Sponsor
2022/0132,No,No,Principal Investigator
2021C0128,No,No,Principal Investigator
GMI-1359-210,Yes,No,Sponsor
20_RIPH3_06,No,No,Sponsor
SHERO,No,No,Sponsor-Investigator
MA-BC-II-023,No,No,Sponsor-Investigator
0494-22-RMB,No,No,Principal Investigator
ICO-A-2018-10,No,No,Sponsor
IRB_00162526,No,No,Principal Investigator
REG-074-2020,No,No,Principal Investigator
Woman health,No,No,Principal Investigator
CSIIT-C39,No,No,Sponsor
99mTc-ZHER2,No,No,Sponsor
HCC 22-003,No,Yes,Sponsor-Investigator
FAST-F-PG01,No,No,Principal Investigator
20-001670,No,No,Sponsor
CSIIT-C03,No,No,Sponsor
IBCSG 55-17,No,No,Sponsor
WO42633,Yes,No,Sponsor
2022-05093-02,No,No,Sponsor
NRG-BR007,No,No,Sponsor
NCCH2113,No,No,Sponsor
YU-FTR-ST-01,,,Principal Investigator
CLP0008,Yes,Yes,Sponsor
18-040,Yes,No,Principal Investigator
UPCC 01121,Yes,No,Sponsor
Molecular imaging of HER2,No,No,Sponsor
OP-1250-002,Yes,No,Sponsor
GEICAM/2018-06,No,No,Sponsor
26272819.3.0000.0068,No,No,Sponsor
SA20I0060,No,No,Sponsor
1094/2020,No,No,Sponsor
Soh-Med-23-01-34,No,No,Principal Investigator
WO42133,Yes,No,Sponsor
110-163-F,No,No,Sponsor
KN035-TH-HER2,No,No,Principal Investigator
MUKDEN 06,No,No,Sponsor-Investigator
HNCH-MBC09-BM03,No,No,Sponsor
COSMOPOLITAN,No,No,Principal Investigator
21-VIN-0166/SAN-0647,Yes,No,Sponsor
E19059,No,No,Principal Investigator
ISB 1302-103,Yes,No,Sponsor
0063-17,Yes,No,Sponsor
M16-735,Yes,No,Sponsor
NCT20210157-AI-ROL,No,No,Principal Investigator
19-524,No,No,Principal Investigator
HR-BLTN-002,No,No,Principal Investigator
CTO-IUSCC-0684,Yes,No,Sponsor-Investigator
Tele-Relax,No,No,Principal Investigator
NCC1865,No,No,Principal Investigator
KCSG BR18-16,No,No,Sponsor
D9673R00028,,,Sponsor
LY01005/CT-CHN-303,No,No,Sponsor
IFG-08-2019,No,No,Sponsor
BC-Genetics,No,No,Principal Investigator
XZP-3287-3001,No,No,Sponsor
A5481126,No,No,Sponsor
GEP,No,No,Principal Investigator
2019/2632,No,No,Sponsor-Investigator
UMMCHTNBC,No,No,Principal Investigator
BTCRC-BRE18-337,Yes,No,Sponsor-Investigator
J18138,No,Yes,Sponsor
19-09020752,Yes,Yes,Sponsor
RC31/21/0368,No,No,Sponsor
20-503,No,No,Principal Investigator
PGG-BCA2121 / MK-3475-C99,Yes,No,Sponsor
ACTRN1261000928213,No,No,Principal Investigator
Pro2020002182,No,No,Principal Investigator
160178,Yes,No,Sponsor-Investigator
MRG002-004,No,No,Sponsor
BC-Pyrotinib-NVB,No,No,Sponsor
SYSUCC-016,No,No,Principal Investigator
19-396,No,No,Principal Investigator
Shengjing-LJY07,No,No,Principal Investigator
HMPL-012-SPRING-R103,No,No,Sponsor-Investigator
CA209-7FL,Yes,No,Sponsor
NCC2021291,No,No,Principal Investigator
2022-A02271-42,No,No,Sponsor
20-2338,No,No,Sponsor
CNIL-2033408,No,No,Sponsor
22-5307,No,No,Sponsor
CEP0431/2018 arm 2,No,No,Principal Investigator
MA-BC-II-035,No,No,Principal Investigator
F2017000 (UAB 17112),Yes,No,Principal Investigator
REG-028-2021,No,No,Sponsor
22040,Yes,No,Sponsor-Investigator
CTMS 17-0037,Yes,No,Principal Investigator
D0816R00025,No,No,Sponsor
201801559A3,No,No,Principal Investigator
MedOPP238,No,No,Sponsor
BTCRC-BRE19-409,Yes,No,Sponsor-Investigator
2020-0342,No,No,Principal Investigator
25IB-0023,No,No,Principal Investigator
919PP18,No,No,Sponsor
18-002,Yes,No,Sponsor
CMTNCMB,No,No,Sponsor
ZYYY-BC-001,No,No,Sponsor
CAAE: 82691818.0.0000.5154,No,No,Principal Investigator
2022/0226,No,No,Principal Investigator
PMD-026-1-001,Yes,No,Sponsor
SYSUCC-011,No,No,Principal Investigator
18432,No,No,Sponsor
2020-KY-140,No,No,Principal Investigator
2020-KY-125,No,No,Principal Investigator
CAAE 42627521600005274,No,No,Sponsor
20-1866.cc,No,No,Sponsor
20201101.2,No,No,Sponsor
SYSUCC-008,No,No,Principal Investigator
S64752,No,No,Principal Investigator
SURVIVE,No,No,Sponsor-Investigator
4352,No,No,Sponsor
CDR0000643461,No,No,Principal Investigator
SPHIC-TR-BCa2022-02,No,No,Principal Investigator
KCSG BR22-20,No,No,Principal Investigator
CRE2018013,No,No,Principal Investigator
IRB_00137018,No,No,Principal Investigator
2022-0353,No,No,Principal Investigator
MCC-19765,Yes,No,Sponsor
OSU-21065,No,No,Principal Investigator
LCCC 1931,No,No,Sponsor
A5481167,,,Sponsor
4-2018-0264,No,No,Sponsor
2018/TMC/133/IRB/31,No,No,Sponsor
ENDO-RESIST,No,No,Sponsor
BRE 354,Yes,No,Sponsor
IR-1.1,No,No,Principal Investigator
SYSUCC-017,No,No,Principal Investigator
IB 2015-01,No,No,Sponsor
20-5215.0,No,No,Sponsor
MEN1611-01,Yes,No,Sponsor
21-325,No,No,Sponsor
SGNTUC-028,Yes,No,Sponsor
EORTC QLQ BR45,No,No,Sponsor
SYSUCC-020,No,No,Sponsor-Investigator
BC-RWS,No,No,Sponsor
C4891001,Yes,No,Sponsor
1234,No,No,Sponsor
CCR4884,Yes,No,Sponsor
BreastctDNA01,No,No,Sponsor
2016-0537,Yes,No,Sponsor
69HCL21_1085,No,No,Sponsor
SGNTUC-025,Yes,No,Sponsor
AIRC IG-23118,No,No,Principal Investigator
3-2021-0026,No,No,Principal Investigator
BC-P26,No,No,Principal Investigator
STU-2022-0385,Yes,Yes,Sponsor-Investigator
KOTK/2022/12550,No,No,Sponsor
SCHBCC-N029,No,No,Principal Investigator
PUMCH-MIRC213,No,No,Sponsor
A5481145,,,Sponsor
TMS01190510,No,No,Sponsor
Concordance,No,No,Sponsor
1752/20,No,No,Sponsor
IMAP-CM,No,No,Principal Investigator
SRB_201808_163,No,No,Sponsor
UW16151,Yes,No,Sponsor
SMC 2020-11-051,No,No,Principal Investigator
6037248,No,No,Sponsor-Investigator
2016-A01344-47,No,No,Sponsor
1807187-2,No,No,Principal Investigator
Lilly-I3Y-US-I026,Yes,No,Sponsor
D8532C00001,Yes,No,Sponsor
21-159,Yes,No,Principal Investigator
RG1121129,No,No,Sponsor
TJ-IRB20211128,No,No,Sponsor
UC-BCG-2103,No,No,Sponsor
21-123,Yes,No,Sponsor
Ketogenic Diet,No,No,Principal Investigator
20-172,No,No,Principal Investigator
CMUH108-REC1-113,No,No,Sponsor
ALT-P7,No,No,Sponsor
I236,Yes,No,Sponsor
2019-7-Non-NSU Health,No,Yes,Sponsor
131916,No,No,Sponsor
GCO 17-1585,Yes,No,Principal Investigator
FNF201830,No,No,Principal Investigator
DRLCOLCT001,Yes,No,Sponsor
PRO00028602,Yes,No,Principal Investigator
D0816C00018,Yes,No,Sponsor
HUB-PSI-CAMAD,No,No,Principal Investigator
REP0121,Yes,No,Sponsor
SBMASTER,Yes,No,Principal Investigator
AMCI-001,Yes,No,Sponsor-Investigator
Fukui-2019-1,No,No,Sponsor
PRO00028925,Yes,No,Principal Investigator
K160913J,No,No,Sponsor
Genetic study and TDM,No,No,Principal Investigator
N-20180090,No,No,Principal Investigator
FDRT-BC016,No,No,Principal Investigator
RF-2016-02363686,No,No,Sponsor
UPCC 10117,Yes,No,Sponsor
A231901CD,No,No,Sponsor
22/409-3611,No,No,Principal Investigator
YDPLD191016-I1-SYSU-001,No,No,Sponsor
BC-CIH-H-RWS,No,No,Sponsor
4-2020-1453,No,No,Sponsor
IRB15-1005,Yes,No,Sponsor
LCCC1820,Yes,No,Sponsor
GC101-21K177,No,No,Sponsor
2019.046,No,No,Principal Investigator
2020-004696-41,No,No,Sponsor
V3002401,Yes,No,Sponsor
2021-0768,No,No,Sponsor
FDRT-BC008,No,No,Principal Investigator
A5481136,,,Sponsor
TILS001 trial,No,No,Sponsor
SYSEC-KY-KS-2022-056,No,No,Principal Investigator
S1709-101-888,No,No,Principal Investigator
ARV-471-mBC-102,Yes,No,Sponsor
BR01/02/21,No,No,Sponsor
MA-BC-II-020,Yes,No,Sponsor
69HCL16_0536,No,No,Sponsor
NL68820.091.19,No,No,Sponsor
6010121027,No,No,Sponsor
FS-1502-III1-01,No,No,Sponsor
IIT-0026,No,No,Sponsor
LCCC2241,No,No,Sponsor
2020-0708,No,No,Sponsor
NCC2493,No,No,Principal Investigator
20-347,Yes,No,Principal Investigator
2018-A01128-47,No,No,Sponsor
ICO 13-001,No,No,Sponsor
SCBCG-006,No,No,Principal Investigator
LRP/PegGCSF/2016/004,Yes,No,Sponsor
GRACE,No,No,Principal Investigator
21-600,No,Yes,Principal Investigator
114,No,No,Principal Investigator
YLiu,No,No,Principal Investigator
IIT2018-17-McArthur-TCDRT,Yes,No,Sponsor
20 KHCC 91,No,No,Principal Investigator
SYSUCC-019,No,No,Sponsor-Investigator
IIT-CRM2020001,No,No,Principal Investigator
2018-A02191-54,No,No,Sponsor
2020-154,No,No,Sponsor
CTO-IUSCC-0715,No,No,Principal Investigator
CLEE011ABR02,,,Sponsor
SP0048722,No,No,Principal Investigator
38341220.8.0000.0072,No,No,Principal Investigator
Neo-ACT,No,No,Principal Investigator
CH-BC-059,Yes,No,Principal Investigator
07102022_SR,No,No,Sponsor-Investigator
GO42784,Yes,No,Sponsor
145314,Yes,No,Sponsor
New theory(Tamoxifen&retinoic),No,No,Sponsor-Investigator
20-505,Yes,No,Sponsor
RadiaAce001,No,No,Sponsor
Neo-program 2021.02.23,No,No,Principal Investigator
ARV-471-mBC-101,Yes,No,Sponsor
275078,No,No,Sponsor
IIT-2017-NeoPACT,Yes,No,Sponsor
2021000247,Yes,No,Sponsor
REaCT-70,No,No,Sponsor
BTCRC-BRE16-042,Yes,No,Sponsor-Investigator
TVD-101-002B,Yes,No,Sponsor
20-0140-A,No,No,Principal Investigator
D9673R00004,No,No,Sponsor
CA209-929,Yes,No,Sponsor
SYSEC-KY-KS-2019-099,Yes,No,Principal Investigator
Glnz87?,No,No,Principal Investigator
GIM24-PALBO-BP,No,No,Sponsor
18-115,No,No,Principal Investigator
IBISCO Trial,No,No,Sponsor
NBC Che001,No,No,Principal Investigator
IC 2021-08,No,No,Sponsor
AI Yoga Study on Facebook - 1,No,No,Sponsor
6222/22.03.2017,No,No,Principal Investigator
SYSEC-KY-KS-2019-055-001,No,No,Principal Investigator
EUBREAST-01,No,No,Sponsor-Investigator
1216-4-011,No,No,Sponsor-Investigator
UPCC 15121,No,No,Principal Investigator
OMERIC-1904,No,No,Sponsor
21-161,No,No,Sponsor
18-217,No,No,Sponsor
ACE-Breast-06,No,No,Principal Investigator
ONC-010,No,No,Sponsor
CHLOBREASTASP,No,No,Principal Investigator
CLEE011AFR01,,,Sponsor
CTO-IUSCCC-0781,No,No,Principal Investigator
TT420X2101,Yes,No,Sponsor
201808046,No,Yes,Sponsor
178-2018,No,No,Principal Investigator
OMC2018/01,,,Sponsor
HS-10352-102,No,No,Sponsor
Versión 4- 20/09/2020,No,No,Principal Investigator
CSPC-KAL-BC-16,No,No,Principal Investigator
REaCT-Wellness,No,No,Sponsor
NEXT-BRCA,No,No,Sponsor
AB PoC 2021 RUS,No,No,Sponsor
MedOPP167,No,No,Sponsor
LPM-008,No,No,Sponsor
DATOS-20220624-ASJF-Efecto car,No,No,Principal Investigator
2019.444,No,No,Principal Investigator
NSABP FB-13,Yes,No,Sponsor
202207198RINB,No,No,Sponsor
FZPL-Ⅲ-303,No,No,Sponsor
SYSUCC 019,No,No,Principal Investigator
BCSPilot01,No,No,Principal Investigator
2014CB543202-03,No,No,Principal Investigator
578-21-FB,Yes,No,Sponsor-Investigator
1107210020,No,No,Principal Investigator
107CS-6,Yes,No,Sponsor
BRE 381,Yes,No,Sponsor
IRB00048455,No,No,Sponsor
2022-009,No,No,Sponsor
CCR5654,No,No,Sponsor
KCT 005,No,Yes,Sponsor
2022-YXZX-YX-08,No,No,Sponsor
G1T28-212,Yes,No,Sponsor
SCHBCC-NO28,No,No,Principal Investigator
PI-2021-3,No,No,Principal Investigator
ID-RCB 2022-A01488-35,No,No,Sponsor
MA-BC-Ⅱ-021,No,No,Principal Investigator
2021-KY-124-001,No,No,Principal Investigator
NCKUH SLNB,No,No,Sponsor
DFP22-0020,No,No,Principal Investigator
CCM 1505,No,No,Sponsor
PER.CIN.BN.95.III,No,No,Sponsor
21-5021,No,No,Sponsor
C4891006,Yes,No,Sponsor
2021-0840,No,No,Principal Investigator
OV-121,No,No,Sponsor
042110,Yes,No,Principal Investigator
BC-09638,No,No,Sponsor
LB1802,No,No,Sponsor
2018-0601,No,No,Sponsor
D967JC00002,Yes,No,Sponsor
UKM14_0016,No,No,Sponsor
RJBC-HFRNI,No,No,Principal Investigator
m-VCAP1,No,No,Sponsor
19-133,No,No,Sponsor
CLEE011A2206,No,No,Sponsor
CASE3118,No,Yes,Sponsor
2020(55),No,No,Principal Investigator
WO40324,Yes,No,Sponsor
Geneplus2020BC01,No,No,Sponsor
ML39208,No,No,Sponsor
18/028,No,No,Sponsor
19-005860,No,No,Sponsor
A231701CD,No,No,Sponsor
FDRT-BC017,No,No,Sponsor
AC699-001,Yes,No,Sponsor
2020-495,No,No,Sponsor
CTRIAL-IE 17-13,No,No,Sponsor
00005038,No,No,Principal Investigator
H-43432,Yes,No,Sponsor-Investigator
2020-010,No,No,Sponsor
Contralateral Screening,No,No,Principal Investigator
HCRN BRE18-334,Yes,No,Sponsor-Investigator
ACT16105,Yes,No,Sponsor
OSU-22013,No,No,Principal Investigator
I-3364822,No,No,Sponsor
ICO-N-2019-04,No,No,Sponsor
2007-206-1145,No,No,Principal Investigator
20140299,Yes,No,Sponsor
2019.629,No,No,Principal Investigator
CS003-BC,No,No,Sponsor
2020-005722-28,No,No,Sponsor
EORTC-1617-QLG-BCG,No,No,Sponsor
MD-127-2019,No,No,Principal Investigator
2020-07-064-002,No,No,Principal Investigator
UC-BCG-2204,No,No,Sponsor
PYHOPE-BC-104,No,No,Sponsor
TMZ-TNBC,No,No,Sponsor
STUDY-20-01174,No,No,Principal Investigator
SIM-1907-02-SERD-101,No,No,Sponsor
20-151,No,No,Principal Investigator
RJBC-SHF RNI,No,No,Principal Investigator
YOUNGBC-17,No,No,Principal Investigator
HREBA.CC-21-0429,No,No,Sponsor
Metastatic Breast Cancer,No,No,Sponsor
UW17107,Yes,No,Sponsor
NL63209 041 18,No,No,Principal Investigator
KCSG BR19-15,No,No,Principal Investigator
2020-AHL-001,Yes,No,Sponsor
SAMuhammad,No,No,Principal Investigator
202201100,No,No,Sponsor
2019-A02195-52,No,No,Sponsor
ShantouCH02,No,No,Principal Investigator
PekingUPH10B003,No,No,Sponsor
GE-280-401,Yes,No,Sponsor
CTMS# 19-0028,No,No,Sponsor
NEO-01,No,Yes,Sponsor
NL58040.091.16,No,No,Sponsor
LQ006,No,No,Principal Investigator
MCC-19-15740,No,No,Sponsor
K180603J,No,No,Sponsor
ABLE02,No,No,Sponsor
MCC-21-BRE-54,Yes,No,Sponsor-Investigator
CLEE011A3201C,No,No,Sponsor
2/108/7,No,No,Sponsor
EOC202A1101,No,No,Sponsor
HUM00140468,No,No,Principal Investigator
18-2562.cc,No,No,Sponsor
19-586,No,No,Principal Investigator
2014CB543202-02,No,No,Principal Investigator
CER2021,No,No,Principal Investigator
IB 2017-05,No,No,Sponsor
On4Rehab Pilot Trial,No,No,Sponsor
IIT-0005,No,No,Sponsor
PROTECT,No,No,Principal Investigator
MD 134/2022,No,No,Principal Investigator
NCC2129,No,No,Principal Investigator
001,No,No,Sponsor
SYSU-CSCO-2020,No,No,Principal Investigator
IRB18-0970,No,No,Sponsor
2019-09-023,No,No,Principal Investigator
Shengjing-LCG004,No,No,Principal Investigator
A5481093,,,Sponsor
MedOPP168,No,No,Sponsor
LUN_DBT_121,No,Yes,Sponsor
I239,No,No,Sponsor
IRB00158622,No,No,Sponsor
RFTMBCPW,No,No,Principal Investigator
s63338,No,No,Sponsor
2017-0071,Yes,No,Sponsor
2019/00283,No,No,Principal Investigator
20200628GD,No,No,Principal Investigator
ANLO-BC,No,No,Principal Investigator
SHR-A1811-III-306,No,No,Sponsor
REO 028,Yes,No,Sponsor
LQ007,No,No,Principal Investigator
2019-KY-049,No,No,Principal Investigator
D9268C00001,Yes,No,Sponsor
ET17-203 DISCO,No,No,Sponsor
GO 22/41,No,No,Principal Investigator
YOUNGBC-16,No,No,Principal Investigator
07068-02,No,No,Sponsor
EC/2017/0200,No,No,Sponsor
99mTc-DARPinG3 breast cancer,No,No,Sponsor
200277,Yes,Yes,Sponsor-Investigator
CFT / sp123,No,No,Sponsor
2021-1201,No,No,Sponsor
FDRT-BC012,No,No,Sponsor
99mTc- RM26,No,No,Sponsor
2103254164,Yes,No,Principal Investigator
MA-BC-II-026,No,No,Principal Investigator
OBU-BC-II-079,No,No,Principal Investigator
BCD-178-2,No,No,Sponsor
YOUNGBC-24,No,No,Principal Investigator
AAAT4412,No,No,Principal Investigator
SHR6390-Ib/II-201,No,No,Sponsor
N19MIM,No,No,Sponsor
CA209-7A8,Yes,No,Sponsor
CFT/sp123,No,No,Principal Investigator
EVER-132-002,No,No,Sponsor
KY20192081-F-1,No,No,Sponsor
AC682-001,Yes,No,Sponsor
ATOS-Z-201,Yes,No,Sponsor
UC-0140/1711 - UCBG3-06,No,No,Sponsor
2018-05-0155,No,No,Principal Investigator
SBU-PCWRT-BREAST,No,Yes,Principal Investigator
2021.240,No,No,Principal Investigator
YOUNGBC-6,No,No,Principal Investigator
HNCH-BC008,No,No,Principal Investigator
PLATO study,No,No,Principal Investigator
PI20/596,No,No,Principal Investigator
SCBCG-022,No,No,Principal Investigator
RSRB00066846,No,No,Principal Investigator
HERMIONE-10,No,No,Sponsor
KC19EESI0325,No,No,Sponsor-Investigator
16-007764,No,Yes,Principal Investigator
18-621,Yes,No,Principal Investigator
STOP-BC Trial,Yes,No,Principal Investigator
IRB-59141,Yes,No,Sponsor
SYSU005,No,No,Principal Investigator
ZN-c5-002,Yes,No,Sponsor
Fudan University,No,No,Sponsor
18-8214-BO,No,No,Principal Investigator
B00157,No,No,Sponsor
1711-048-898,No,No,Principal Investigator
2021-A03091-40,No,No,Sponsor
HR-BLTN-001,No,No,Principal Investigator
A5481166,,,Sponsor
D081CC00012,,,Sponsor
Luminal A sirt1,No,No,Sponsor
DokuzEU.Com.Garments,No,No,Principal Investigator
P.T.REC/012/002968,No,No,Principal Investigator
IIT-2021-ASSET,Yes,No,Principal Investigator
MC200302,No,No,Sponsor
4-2020-1131,No,No,Sponsor
145358,Yes,No,Sponsor
UMCC 2018.016,No,No,Sponsor
TP.102.17.22.PAR,No,No,Sponsor
EFC15935,Yes,No,Sponsor
BC-NEO-IIT-SHR6390,No,No,Sponsor
GDWCH-001,No,No,Principal Investigator
S2010,No,No,Sponsor
SMC-2018-10-062,No,No,Principal Investigator
SMX 18001,Yes,No,Sponsor
A5481154,No,No,Sponsor
TEBICA002,No,No,Sponsor
CWCD118B12201,Yes,No,Sponsor
22-002857,No,Yes,Sponsor
CALORIE,No,No,Sponsor
IFOM-CPO007/2019/PO006,No,No,Sponsor
S-detect 2019,No,No,Sponsor
AABCSR,No,No,Principal Investigator
NRG-BR008,No,No,Sponsor
FMSU2017-002B,No,Yes,Sponsor
2019-A01592-55,No,No,Sponsor
ABY-025-MI301,No,No,Sponsor-Investigator
202202045MIPA,No,No,Sponsor
22-07025006,No,No,Sponsor
2019/044,No,No,Principal Investigator
B2017-11,No,No,Principal Investigator
2022-0651,No,No,Sponsor
Pro00088926,No,No,Sponsor
Tmab-TK006-102b,No,No,Sponsor
YOUNGBC-10,No,No,Principal Investigator
