ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
578-21-FB,Clinical Trial Assessing the Safety of Neoadjuvant Palbociclib in Combination With Endocrine Therapy,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
107CS-6,Oral Paclitaxel Efficacy Safety and PK in Recurrent and Metastatic Breast Cancer,Unknown status,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
BRE 381,Study of Tucatinib and Doxil in Participants With Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Metastatic Breast Cancer,Not yet recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No
2022-009,Thero2-01S22 in HER2-positive Breast Cancer,Not yet recruiting,Interventional,"Experimental, Placebo Comparator, Experimental, Placebo Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
KCT 005,"A Non-randomized, Open-Label Study to Evaluate the Safety and Effectiveness of the Dayspring Technology for Patients With Breast Cancer Related Lymphedema (BCRL) After Lymphatic Surgery",Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
G1T28-212,"Trilaciclib, a CDK4/6 Inhibitor, in Patients With Early-Stage Triple Negative Breast Cancer",Completed,Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug, Biological",Single Group Assignment,Phase 2,Yes,No
SCHBCC-NO28,Markers to Evaluate the Efficacy of PH-based Regimen as a Neoadjuvant Therapy for Operable HER2 Positive Breast Cancer,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
ID-RCB 2022-A01488-35,Diagnostic Performance of Breast Cancer Screening Second Reading Process Assisted by AI,Not yet recruiting,Interventional,"No Intervention, Experimental",Device,Crossover Assignment,Not Applicable,No,No
PI-2021-3,Design and Evaluation of the Effects of a Physical Therapy Program With Digital Support in Patients With Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
2021-KY-124-001,Aesthetic Outcomes of Oncoplastic Breast Surgery for Breast Cancer in the Upper Inner Quadrant,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
MA-BC-Ⅱ-021,Microwave Ablation Combined With Camrelizumab in the Treatment of Early Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Procedure, Drug, Procedure",Parallel Assignment,Phase 2,No,No
DFP22-0020,Resistance-type Exercise Training in Postmenopausal Women Survivors of Breast Cancer,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No
CCM 1505,Coronary Artery Calcium and Cardiovascular Risk Factors Analysis After RT or Breast Cancer,Recruiting,Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
PER.CIN.BN.95.III,Comparing Efficacy and Safety Between Pertuzumab® and Perjeta® in Neoadjuvant Treatment of HER2+ Breast Cancer,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
21-5021,Prevention of Persistent Pain With LidocAine iNfusions in Breast Cancer Surgery (PLAN),Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
C4891006,TACTIVE-U: A Study to Learn About the Study Medicine (Called ARV-471) When Given With Other Medicines in People With Advanced or Metastatic Breast Cancer (Sub-Study A),Recruiting,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
2021-0840,Acupuncture for Psychoneurological Symptoms Among Breast Cancer Survivors,"Active, not recruiting",Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
OV-121,Investigation of Anti-tumour Effect and Tolerability of the PARP Inhibitor 2X-121 in Patients With Metastatic Breast Cancer Selected by the 2X-121 DRP,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
042110,CIPHER Study: Pilot Study to Study the Role of ctDNA in Triple Negative and HER2 Positive Early Stage,"Active, not recruiting",Interventional,"Active Comparator, Other","Drug, Other",Single Group Assignment,Early Phase 1,Yes,No
BC-09638,GRACE-trial: a Randomized Active-controlled Trial for vulvovaGinal atRophy in breAst Cancer Patients on Endocrine Therapy.,Recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 4,No,No
2018-0601,Phase III Trial Evaluating Radium Bromatum Homeopathic Treatment Efficacy on Radiodermatitis Prevention and Treatment for Breast Cancer Women,Recruiting,Interventional,"Placebo Comparator, Experimental, Placebo Comparator, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
D967JC00002,A Phase 1b Study of T-DXd Combinations in HER2-low Advanced or Metastatic Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No
UKM14_0016,Breast Cancer Screening: Digital Breast Tomosynthesis Versus Digital 2D Mammography,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Parallel Assignment,Not Applicable,No,No
RJBC-HFRNI,Hypofractionated Irradiation At Regional Nodal Area for Breast Cancer Vs Existed Standard Treatment,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No
m-VCAP1,Oral Vinorelbine and Capecitabine in Advanced HER2-negative Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
19-133,An Online Research Study: BrainHealth in Breast Cancer Survivors,Recruiting,Interventional,"Experimental, Placebo Comparator",Behavioral,Crossover Assignment,Not Applicable,No,No
CLEE011A2206,"Efficacy and Safety of Ribociclib in Pre- and Postmenopausal Chinese Women With HR Positive, HER2-negative, Advanced Breast Cancer.","Active, not recruiting",Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
CASE3118,Role of Magnetic Resonance Fingerprinting and Quantitative MR Imaging in Breast Cancer,"Active, not recruiting",Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
2020(55),Evaluating Omitting of Internal Mammary Irradiation Among Early Stage Intermediate Risk (N1) Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No
WO40324,"A Study to Evaluate the Pharmacokinetics, Efficacy, and Safety of Subcutaneous Administration of the Fixed-Dose Combination of Pertuzumab and Trastuzumab in Combination With Chemotherapy in Participants With HER2-Positive Early Breast Cancer","Active, not recruiting",Interventional,"Active Comparator, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Procedure, Radiation, Drug",Parallel Assignment,Phase 3,Yes,No
ML39208,A Study to Assess the Feasibility of an E-Health System (ZEMY) Designed to Manage Symptoms in Participants With Breast Cancer Under Anti-Cancer Treatment,Completed,Interventional,Experimental,"Device, Drug",Single Group Assignment,Phase 2,No,No
18/028,"Palbociclib, Letrozole & Venetoclax in ER and BCL-2 Positive Breast Cancer",Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 1,No,No
A231701CD,Increasing Patients Engagement in Breast Cancer Surgery Decision-Making,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Other, Other",Crossover Assignment,Not Applicable,No,No
FDRT-BC017,Medial vs. Entire Supraclavicular Lymph Node Radiation Therapy for Patients With Invasive Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Radiation, Radiation",Parallel Assignment,Phase 3,No,No
AC699-001,Study of AC699 in Patients With Estrogen Receptor Positive/Human Epidermal Growth Factor Receptor 2 Negative (ER+/HER2-) Locally Advanced or Metastatic Breast Cancer,Recruiting,Interventional,Experimental,Drug,Sequential Assignment,Phase 1,Yes,No
2020-495,Efficacy and Safety of Dose-dense Chemotherapy (ddEC-ddP) for Neoadjuvant Chemotherapy of HER2-negative Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No
CTRIAL-IE 17-13,Copanlisib in Combination With T-DM1 in Pretreated Unresectable Locally Advanced or Metastatic HER2-positive Breast Cancer,Terminated,Interventional,Other,"Drug, Drug",Single Group Assignment,Phase 1,No,No
00005038,Family History and Breast Cancer Education Trial,Completed,Interventional,"Active Comparator, Active Comparator, Active Comparator, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
H-43432,Sitravatinib in Metastatic Breast Cancer,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
HCRN BRE18-334,"Circulating Tumor DNA Enriched, Genomically Directed Post-neoadjuvant Trial for Patients With Residual Triple Negative Breast Cancer",Recruiting,Interventional,"Experimental, Active Comparator, Active Comparator","Drug, Drug, Drug, Drug, Other",Parallel Assignment,Phase 2,Yes,No
ACT16105,Phase 2 Study of Amcenestrant (SAR439859) Versus Physicians Choice in Locally Advanced or Metastatic ER-positive Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
OSU-22013,Genetic Counseling Patient Preference Intervention Versus Conventional Genetic Counseling for Women at Elevated Risk for Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other, Other",Parallel Assignment,Not Applicable,No,No
I-3364822,Home-based Respiratory Muscle Training for Minimizing Side Effects in Patients Undergoing Treatment for Breast Cancer,Not yet recruiting,Interventional,"Active Comparator, Experimental","Other, Other, Procedure, Other",Parallel Assignment,Not Applicable,No,No
ICO-N-2019-04,[18F]-DPA-714 PET/CT (Positron Emission Tomography/Computerized Tomography) in Triple Negative Breast Cancers,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
20140299,Study of Talimogene Laherparepvec With Atezolizumab for Triple Negative Breast Cancer and Colorectal Cancer With Liver Metastases,Completed,Interventional,"Experimental, Experimental","Biological, Biological",Single Group Assignment,Phase 1,Yes,No
CS003-BC,Safety and Efficacy Evaluation of the P2Et Extract in Patients With Breast Cancer,Recruiting,Interventional,"Placebo Comparator, Active Comparator","Drug, Drug",Sequential Assignment,Phase 2,No,No
2020-005722-28,Patritumab Deruxtecan (U3-1402) in Unresectable Locally Advanced or Metastatic Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
MD-127-2019,Letrozole and Metronomic Capecitabine in ER-positive HER2 Negative Advanced Breast Cancer (B-001 Study),Unknown status,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
2020-07-064-002,Improvement of Range of Motion in Frozen Shoulder in Breast Cancer Survivors,Completed,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
UC-BCG-2204,Safety and Efficacy Analysis of an Antibody Associated With a Chemotherapy for Patients With a Triple Negative Metastatic Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 3,No,No
PYHOPE-BC-104,Pyrotinib as Neoadjuvant Agent for Non-objective Response HER2-positive Early Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
TMZ-TNBC,Temozolomide Monotherapy or in Combination With Olaparib in Patients With Triple Negative Breast Cancer (TNBC),Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No
STUDY-20-01174,Increasing Breast Cancer Screening in Chinese Immigrants,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
SIM-1907-02-SERD-101,"Phase I Study to Evaluate SCR-6852 Alone or in Combination in ER+, HER2- Locally Advanced or Metastatic Breast Cancer",Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,No,No
20-151,Refining Local-Regional Therapy for IBC,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
RJBC-SHF RNI,Adjuvant Regional Nodal Radiation Therapy for One Week in Breast Cancer,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No
HREBA.CC-21-0429,Exercise Rehabilitation Via a Mobile Application for Individuals With Breast Cancer Undergoing Chemotherapy,Recruiting,Interventional,"Active Comparator, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No
UW17107,ONC201 With a Methionine-Restricted Diet in Patients With Metastatic Triple Negative Breast Cancer,Terminated,Interventional,"Experimental, Experimental","Drug, Dietary Supplement",Parallel Assignment,Phase 2,Yes,No
NL63209 041 18,MRI-guided Single Dose Preoperative Radiotherapy in Low-risk Breast Cancer,Withdrawn,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,No
2020-AHL-001,"Tucatinib, Trastuzumab, and Capecitabine With SRS for Brain Metastases From HER-2 Positive Breast Cancer",Not yet recruiting,Interventional,Experimental,Combination Product,Single Group Assignment,Phase 1,Yes,No
202201100,A Low AGE (Advanced Glycation End-product) Dietary Intervention for Breast Cancer Survivors,Recruiting,Interventional,Experimental,"Other, Procedure",Single Group Assignment,Not Applicable,No,No
SAMuhammad,Outcome of Neo-adjuvant Chemotherapy Followed by Breast Conservative Surgery in Breast Cancer in Upper Egypt,Unknown status,Interventional,"Active Comparator, Active Comparator",Drug,Single Group Assignment,"Phase 2, Phase 3",No,No
2019-A02195-52,Immunomonitoring of Breast Cancer Patients During Systemic Treatment,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
ShantouCH02,Neoadjuvant Dose-dense Chemotherapy for HR+/HER2- Breast Cancer Patients With High Proliferation Index,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
PekingUPH10B003,Neoadjuvant Therapy Study Guided by Drug Screening in Vitro for HER2 Positive Early Breast Cancer Patients,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No
CTMS# 19-0028,Effects of Creatine Supplementation in Breast Cancer Survivors,Recruiting,Interventional,"Experimental, No Intervention",Dietary Supplement,Parallel Assignment,Not Applicable,No,No
NEO-01,OA for Breast Cancer NAC Response,Completed,Interventional,Experimental,Device,Sequential Assignment,Not Applicable,No,Yes
NL58040.091.16,Minimal Invasive Breast Cancer Excision Using the Breast Lesion Excision System Under Ultrasound Guidance,Terminated,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
LQ006,Pyrotinib Combined With Capecitabine Metronomic Therapy in HER2-postitive Advanced Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
MCC-19-15740,Improving Communication and Adherence in Black Breast Cancer Survivors (Sisters Informing Sisters),Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
K180603J,Advanced MR Techniques for Breast Cancer Detection,Withdrawn,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
ABLE02,A Physical Activity Program to Improve Quality of Life and Reduce Fatigue in Metastatic Breast Cancer,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
MCC-21-BRE-54,"Neoadjuvant Endocrine Therapy in ER-positive, HER2-negative Early Stage Breast Cancer",Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug",Sequential Assignment,Phase 2,Yes,No
HUM00140468,Acupressure for Pain and Opioid Use Among Breast Cancer Patients,Terminated,Interventional,"Active Comparator, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
CLEE011A3201C,Study to Compare the Combination of Ribociclib Plus Goserelin Acetate With Hormonal Therapy Versus Combination Chemotherapy in Premenopausal or Perimenopausal Patients With Advanced or Metastatic Breast Cancer,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Combination Product, Combination Product, Combination Product, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
2/108/7,What Factors Affect Breast Cancer Neoadjuvant Chemotherapy Efficacy?,Unknown status,Interventional,Experimental,"Other, Other, Other",Single Group Assignment,Not Applicable,No,No
EOC202A1101,Phase I Study of EOC202 Plus Paclitaxel in Chinese Patients With Metastatic Breast Cancer,Completed,Interventional,Experimental,"Biological, Drug",Single Group Assignment,Phase 1,No,No
18-2562.cc,Breast Cancer Patient Engagement With Patient Reported Outcome Measure Survey,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
19-586,Prolonged Nightly Fasting in Breast Cancer Survivors,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
2014CB543202-02,Warm Acupuncture for Breast Cancer Related Lymphedema,Completed,Interventional,"Experimental, Experimental, No Intervention","Other, Other",Parallel Assignment,Not Applicable,No,No
IB 2017-05,Brief Intervention for Tobacco and Alcohol Risk Reduction for Couple During Breast Cancer Treatment.,Unknown status,Interventional,"Experimental, Active Comparator",Behavioral,Parallel Assignment,Phase 3,No,No
On4Rehab Pilot Trial,Physical Exercise for Breast Cancer Survivors: Face-to-face Versus Home-based,Completed,Interventional,"Active Comparator, Experimental",Other,Parallel Assignment,Not Applicable,No,No
IIT-0005,Docosahexaenoic Acid (DHA) for Women With Breast Cancer in the Neoadjuvant Setting,Unknown status,Interventional,"Experimental, Placebo Comparator","Dietary Supplement, Drug",Parallel Assignment,Phase 2,No,No
PROTECT,Prospective Surveillance for Breast Cancer-Related Lymphedema,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
NCC2129,Nab-Paclitaxel in Patients With ER+/HER2- Recurrent Metastatic Breast Cancer,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
001,Pyrotinib Plus Trastuzumab After First-line TH (P) Treatment With HER-2 Positive Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
SYSU-CSCO-2020,Pyrotinib in Breast Cancer Patients With Poor Response to the Neoadjuvant Treatment of Trastuzumab and Pertuzumab,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
IRB18-0970,A Multi-Modality Surveillance Program for Women at High Risk for Breast Cancer,Recruiting,Interventional,Other,Procedure,Single Group Assignment,Not Applicable,No,No
2019-09-023,Omitting Biopsy of SEntinel Lymph Node With Radiation After Neoadjuvant Chemotherapy in Breast Cancer (OBSERB) Trial,Not yet recruiting,Interventional,"Placebo Comparator, Experimental",Procedure,Single Group Assignment,Not Applicable,No,No
Shengjing-LCG004,Treatment of Triple-negative Breast Cancer With Albumin-bound Paclitaxel as Neoadjuvant Therapy: a Prospective RCT,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
MedOPP168,"Olaparib+Trastuzumab in HER2[+],Breast Cancer Susceptibility Gene (BRCA) Mutated Advanced Breast Cancer",Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
I239,CFI-400945 and Durvalumab in Patients With Advanced Triple Negative Breast Cancer,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
IRB00158622,Auricular Point Acupressure to Self-Manage Chronic Pain or Aromatase Inhibitor Musculoskeletal Symptoms in Breast Cancer Survivors: Effectiveness and Scientific Underpinnings,Completed,Interventional,"Active Comparator, Sham Comparator, Other","Other, Other, Other",Factorial Assignment,Not Applicable,No,No
RFTMBCPW,Fulvestrant in Metastatic Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 4,No,No
s63338,The Added Value of a Third Supervised Training Session to a Standard 12-week Rehabilitation Program After Breast Cancer: Pilot Study,Completed,Interventional,"Active Comparator, Experimental, Experimental","Other, Other, Other",Parallel Assignment,Not Applicable,No,No
2017-0071,"Hydroxychloroquine, Palbociclib, and Letrozole Before Surgery in Treating Patients With Estrogen Receptor Positive, HER2 Negative Breast Cancer","Active, not recruiting",Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No
20200628GD,Neoadjuvant Tucidinostat and Exemestane in Early Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
ANLO-BC,Anlotinib Combination With Vinorelbine in the HER2- Advanced Breast Cancer,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
SHR-A1811-III-306,SHR-A1811 Versus Investigators Chemotherapy in Recurrent/Metastatic Breast Cancer Clinical Trial,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
REO 028,A Study to Assess Overall Response Rate by Inducing an Inflammatory Phenotype in Metastatic BReast cAnCEr With the Oncolytic Reovirus PeLareorEp in CombinaTion With Anti-PD-L1 Avelumab and Paclitaxel - BRACELET-1 Study,"Active, not recruiting",Interventional,"Active Comparator, Experimental, Experimental","Drug, Biological, Drug",Parallel Assignment,Phase 2,Yes,No
LQ007,Phase II Clinical Study of Pyrotinib Combined With Etoposide to Treat HER2-positive Advanced Breast Cancer,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
2019-KY-049,Pyrotinib in Combination With Fulvestrant in Patients With HER2 Positive，HR-Positive Metastatic Breast Cancer,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
D9268C00001,"A Phase-3, Open-Label, Randomized Study of Dato-DXd Versus Investigators Choice of Chemotherapy (ICC) in Participants With Inoperable or Metastatic HR-Positive, HER2-Negative Breast Cancer Who Have Been Treated With One or Two Prior Lines of Systemic Chemotherapy (TROPION-Breast01)","Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
ET17-203 DISCO,Efficacy of Exercise Using Connected Activity Trackers and Therapeutic Education in Localized Breast Cancer,Completed,Interventional,"Experimental, Experimental, Experimental, No Intervention","Device, Behavioral",Factorial Assignment,Not Applicable,No,No
EC/2017/0200,Intra-operative PET-CT: a Novel Approach to Determine Excision Margins in Lumpectomy Breast Cancer.,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
200277,Focused Ultrasound and Gemcitabine in Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Device, Other",Parallel Assignment,Phase 1,Yes,Yes
CFT / sp123,A Proof of Concept Window Trial of the IMmunological Effects of AveLumab and Aspirin in Triple-Negative Breast Cancer,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
2021-1201,3D Printed Breast Models in the Surgical Management of Breast Cancer,Not yet recruiting,Interventional,"Experimental, No Intervention",Diagnostic Test,Single Group Assignment,Phase 2,No,No
FDRT-BC012,Single Arm Phase II Study of Fractionated Stereotatic Radiation Therapy (FSRT) for Bone Metastases in Breast Cancer,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,"Phase 1, Phase 2",No,No
99mTc- RM26,Molecular Imaging of Gastrin Releasing Peptide Receptors Using Labeled Technetium-99m RM26,Enrolling by invitation,Interventional,"Experimental, Experimental",Diagnostic Test,Parallel Assignment,Phase 1,No,No
2103254164,Pioglitazone Therapy Targeting Fatigue in Breast Cancer,Recruiting,Interventional,"Active Comparator, Active Comparator, No Intervention","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
MA-BC-II-026,Study of Camrelizumab Plus Apatinib and Chemotherapy as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC),Not yet recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
OBU-BC-II-079,Neoadjuvant Study With Pyrotinib and Trastuzumab and Abraxane in Patients With HER2-enriched Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
BCD-178-2,Clinical Study of the Efficacy and Safety of BCD-178 and Perjeta® as Neoadjuvant Therapy of HER2-Positive Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
SHR6390-Ib/II-201,A Study of SHR6390 in Combination With Letrozole or Anastrozole or Fulvestrant in Patients With HR Positive and HER2 Negative Advanced Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No
AAAT4412,Breast Elasticity Imaging During Neoadjuvant Chemotherapy,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
N19MIM,Monalizumab and Trastuzumab In Metastatic HER2-pOSitive breAst Cancer: MIMOSA-trial,"Active, not recruiting",Interventional,"Experimental, Experimental","Biological, Biological",Parallel Assignment,Phase 2,No,No
CA209-7A8,A Study of Neoadjuvant Nivolumab + Palbociclib + Anastrozole in Post-Menopausal Women and Men With Primary Breast Cancer,Completed,Interventional,"Experimental, Experimental, Active Comparator","Biological, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
CFT/sp123,"A Proof of Concept, Window Trial of the IMmunological Effects of AveLumab and Aspirin in Triple-Negative Breast Cancer",Withdrawn,Interventional,"Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No
EVER-132-002,Asian Study of Sacituzumab Govitecan (IMMU-132) in HR+/HER2- Metastatic Breast Cancer (MBC),"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No
KY20192081-F-1,Nab-paclitaxel Compared With Docetaxel Followed by Anthracyclines and Cyclophosphamide in the Neoadjuvant Breast Cancer,Unknown status,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 4,No,No
AC682-001,A Study of AC682 for the Treatment of Locally Advanced or Metastatic ER+ Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
ATOS-Z-201,(Z)-Endoxifen for the Treatment of Premenopausal Women With ER+/HER2- Breast Cancer,Recruiting,Interventional,"Experimental, Experimental, Active Comparator, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
UC-0140/1711 - UCBG3-06,Study on Androgen Receptor and Triple Negative Breast Cancer,Completed,Interventional,"Experimental, Other","Drug, Drug",Parallel Assignment,Phase 2,No,No
2018-05-0155,Improving Brain Function After Breast Cancer Study,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
SBU-PCWRT-BREAST,Partial Chest Wall Radiation Therapy After Surgery for Lymph Node Negative Breast Cancer,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Early Phase 1,No,Yes
2021.240,Effectiveness of Mobile Messenger-initiated Reminder on Biannual Mammography Adherence in Breast Cancer Screening,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
HNCH-BC008,Adjuvant Metronomic Capecitabine Plus Endocrine Therapy for HR+/HER2- Primary Breast Cancer,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
PLATO study,PersonaLized neoAdjuvant Strategy ER Positive and HER2 Negative Breast Cancer TO Increase BCS Rate,Recruiting,Interventional,Experimental,"Drug, Drug, Genetic",Single Group Assignment,Phase 2,No,No
RSRB00066846,"A Whole-food, Plant-Based Nutrition Intervention in Women With Metastatic Breast Cancer",Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
KC19EESI0325,Real-time Interactive Digital Healthcare System in Post Operation Patients With Breast Cancer; Pilot Study,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
