ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
2018LS148,BAriaTric Surgery After Breast Cancer Treatment (BATS),672 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Procedure, Behavioral",Parallel Assignment,Not Applicable,No,No,40
PekingUMCH-BCa093,68Ga PET/CT Imaging in Breast Cancer Patients,777 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,"Phase 1, Phase 2",No,No,50
ADA,"An Integrative Intervention Based on Physical Activity, Nutrition and Supportive Care (the ADA Program) to Improve the Quality of Life of Breast Cancer Survivors",1066 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,160
514-0213/21-5000,Insulin Sensitivity After Breast Cancer,1857 days,Recruiting,Interventional,"Experimental, Experimental",Drug,Parallel Assignment,Not Applicable,No,No,24
CentroHLOBreastUnit,HOrmone Therapy Immediately After Histological Diagnosis of Breast Cancer,731 days,Unknown status,Interventional,"Experimental, No Intervention, Other, Other",Drug,Parallel Assignment,Phase 4,No,No,90
CCR4965,Evaluating a Digital Tool for Supporting Breast Cancer Patients,1186 days,"Active, not recruiting",Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,165
GCO 21-0699,"Abemaciclib in Combination With Bicalutamide for Androgen Receptor-positive, HER2-negative Metastatic Breast Cancer",1068 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No,60
DBCG RT Natural Trial,Partial Breast Versus no Irradiation for Women With Early Breast Cancer,6205 days,Recruiting,Interventional,"Active Comparator, No Intervention",Radiation,Parallel Assignment,Not Applicable,No,No,926
IPNCb-01,Neoadjuvant Inetetamab Combined With Pertuzumab and Paclitaxel/Carboplatin for Breast Cancer,760 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,30
CSPC-KAL-BC-12,Paclitaxel Injection (Albumin-bound) for Neoadjuvant Treatment of Breast Cancer,2010 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,250
003-2017,Stereotactic Body Radiation Therapy for Breast Cancer,1826 days,Recruiting,Interventional,Experimental,Radiation,Sequential Assignment,Not Applicable,No,No,24
Breast cancer treatment,The Anti-tumor Effect of Metformin And Atorvastatin in Breast Cancer,335 days,Not yet recruiting,Interventional,"Placebo Comparator, Active Comparator, Active Comparator",Drug,Parallel Assignment,Phase 4,No,No,100
18-561,NIMBUS: Nivolumab Plus Ipilimumab in Metastatic Hypermutated HER2-negative Breast Cancer,1503 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No,30
Vitamin D and breast cancer,Vitamin D and Calcium Supplementation in Breast Cancer,334 days,Not yet recruiting,Interventional,"No Intervention, Experimental",Drug,Parallel Assignment,"Phase 2, Phase 3",No,No,40
SYSEC-KY-KS-2021-182,Quantitative Assessment of Diffusion Spectrum Imaging in Breast Cancer,364 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,64
CASE6119,Adjuvant Therapy With an Alpha-lactalbumin Vaccine in Triple-Negative Breast Cancer,700 days,Recruiting,Interventional,"Experimental, Experimental","Biological, Biological",Parallel Assignment,Early Phase 1,Yes,No,30
KX-ORAX-CN-007,A PK Study of Oraxol in Breast Cancer Patients,597 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,24
NCC2018M-042,Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant ),1035 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,40
55791222.0.0000.5313,Water and Land-based Aerobic Training in Breast Cancer Survivors,1094 days,Not yet recruiting,Interventional,"Experimental, Experimental, Active Comparator","Other, Other, Other",Parallel Assignment,Not Applicable,No,No,48
UF-BRE-002,Phase I/IIa Study of Pharmacokinetics and Safety of Epidiferphane™ and Taxanes in Breast Cancer Patients,1095 days,Withdrawn,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,0
GIM21 - LiqERBcept,Liquid Biopsy: Intercepting Mutational Trajectories of HER2 (Human Epidermal Growth Factor Receptor 2) Breast Cancer (GIM21 Trial),1162 days,Completed,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No,48
BREAST-SK-001,"Vinorelbine, Cisplatin, Disulfiram and Copper in CTC_EMT Positive Refractory Metastatic Breast Cancer.",1096 days,Unknown status,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,28
LR19/011/50551,Increasing Knowledge of Alcohol as a Risk Factor for Breast Cancer Among Women Attending Breast Screening Services,300 days,Completed,Interventional,"Experimental, Other","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,558
STU00201961A,A Research Study for Latina Women Undergoing Breast Cancer Treatment,1025 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,51
18-641,"Young, Empowered & Strong (YES): The Young Womens Breast Cancer Study 2- Focus on Intervention Pilot",119 days,Completed,Interventional,"Experimental, Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No,30
CLEE011O12301C,A Trial to Evaluate Efficacy and Safety of Ribociclib With Endocrine Therapy as Adjuvant Treatment in Patients With HR+/HER2- Early Breast Cancer,2730 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Other",Parallel Assignment,Phase 3,Yes,No,5101
HIRSLANDEN 01 SAKK 23/18,Intelligent Vacuum Assisted Biopsy Immediately Before Surgery as an Intra- or Pre-Operative Surrogate for Patient Response to Neoadjuvant Chemotherapy for Breast Cancer,1749 days,Recruiting,Interventional,Experimental,Procedure,Sequential Assignment,Not Applicable,No,No,420
CCH-IRB-190414-P,Robotic Versus Conventional or Endoscopic Nipple Sparing Mastectomy in the Management of Breast Cancer-Prospective Study,881 days,Recruiting,Interventional,"Experimental, Active Comparator, Active Comparator","Device, Procedure, Procedure",Parallel Assignment,Not Applicable,No,Yes,180
348455,Role of Individualized Intervention(s) in Hormone-Receptor Positive Early-stage Breast Cancer,2009 days,"Active, not recruiting",Interventional,Other,Behavioral,Single Group Assignment,Not Applicable,No,No,41
SOLTI-2101,Ribociclib vs. Palbociclib in Patients With Advanced Breast Cancer Within the HER2-Enriched Intrinsic Subtype,1799 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,456
Zz123456.,The Effect of the Mobile Application-based Support Program on the Outcomes of Breast Cancer Patients in the Pandemic,580 days,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,100
GBG102 - SASCIA,Sacituzumab Govitecan in Primary HER2-negative Breast Cancer,3075 days,Recruiting,Interventional,"Experimental, Other","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,1332
FWA00015574/6-01-2019/korany,Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment,254 days,Completed,Interventional,"Experimental, Other","Drug, Drug",Parallel Assignment,Phase 2,No,No,250
UI-ROD-OCTU02,MicroRNA Profiles in Triple Negative Breast Cancer,610 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,42
PN-301-21,"Therapeutic Cancer Vaccine (AST-301, pNGVL3-hICD) in Patients With Breast Cancer",1372 days,Recruiting,Interventional,"Experimental, Active Comparator","Biological, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,146
ROCK,Radiotherapy in Preoperative Setting With CyberKnife for Breast Cancer,2192 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No,25
SOLTI-1805,"A Window-of-opportunity Study of U3-1402, a HER3-targeting Antibody-drug Conjugate in Operable Breast Cancer According to ERBB3 Expression",859 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Early Phase 1,No,No,80
KY20202075-F-2,Anlotinib Combined With Chemotherapy and Neoadjuvant Therapy for Hormone Receptor-positive HER-2 Negative Breast Cancer,973 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,30
06805118.2.1001.5404,Sentinel Lymph Node Biopsy Versus no Axillary Surgery in Early Breast Cancer,4018 days,Recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,800
AN.MCME.CR.12,Pembrolizumab And Tamoxifen Among Women With Advanced Hormone Receptor Positive Breast Cancer And Esr1 Mutation,1096 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,25
MedOPP293,Chemotherapy-Free pCR-Guided Strategy With Trastuzumab-pertuzumab and T-DM1 in HER2-positive Early Breast Cancer,2400 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,393
iOM-110383,A Study to Compare Pertuzumab + Trastuzumab + Vinorelbine vs. Placebo + Trastuzumab + Docetaxel in Previously Untreated HER2-positive Metastatic Breast Cancer,90 days,Withdrawn,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,0
IRST174.25,Partial Breast Re-irradiation in Women in Women With Locally Recurrent Breast Cancer Previously Treated With Conservative Surgery and Whole Breast Irradiation,3258 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,No,68
EUROPA,ExclUsive endocRine Therapy Or Radiation theraPy for Women Aged ≥70 Years Early Stage Breast Cancer,3287 days,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Drug",Parallel Assignment,Phase 3,No,No,926
HM022BC3C01,A Phase Ⅲ Study of the Efficacy and Safety of Hemay022+Aromatase Inhibitor(AI) in Participants With ER+/HER2+ Advanced or Metastatic Breast Cancer,864 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,339
UF-BRE-007,Pharmacokinetics and Safety of Epidiferphane and Taxanes in Breast Cancer Patients,1016 days,Recruiting,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,74
SOLTI-2103,NeoadjuVAnt muLti-agENT Chemotherapy or Patritumab Deruxtecan With or Without endocrINE Therapy for High-risk HR+/HER2- Breast Cancer - VALENTINE Trial,2805 days,Recruiting,Interventional,"Active Comparator, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,120
SOLTI-1503,Combination of Talimogene Laherparepvec With Atezolizumab in Early Breast Cancer,2330 days,"Active, not recruiting",Interventional,Experimental,"Biological, Drug",Single Group Assignment,Early Phase 1,No,No,28
LQ009,Adjuvant Albumin-bound Paclitaxel Versus Taxanes in Breast Cancer: a Real-world Study,2010 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Not Applicable,No,No,500
BGB-900-2001-IIT,"A Phase II Study to Explore the Safety, Tolerability, and Preliminary Antitumor Activity of Sitravatinib Plus Tislelizumab or Combination With Nab-paclitaxel in Patients With Locally Recurrent or Metastatic Triple Negative Breast Cancer (TNBC)",820 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,Phase 2,No,No,96
CLEE011H2301,Adjuvant Ribociclib With Endocrine Therapy in Hormone Receptor+/HER2- Intermediate Risk Early Breast Cancer,2788 days,Withdrawn,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,0
ONAWA (SOLTI-1802),Onapristone as Preoperative Treatment for Postmenopausal Women With Hormone Receptor + and HER2- Breast Cancer,175 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,No,No,10
1,Hypofractionated Radiotherapy in Breast Cancer Patients With Prosthetic Reconstruction,2500 days,Recruiting,Interventional,"Experimental, No Intervention",Radiation,Parallel Assignment,Not Applicable,No,No,120
STUDY00010776,REJOIN Trial for Older Breast Cancer Survivors,899 days,Recruiting,Interventional,"No Intervention, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,24
CASE13119,Study to Investigate Efficacy of a Novel Probiotic on the Bacteriome and Mycobiome of Breast Cancer,610 days,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Biological, Other",Parallel Assignment,Not Applicable,No,No,100
ZX-2021-FES-ESTROTIMP-4,Impact of 18F-FES PET on the Therapeutic Treatment of Patients With Metastatic Breast Cancer,1209 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 4,No,No,152
2017-0499,"Radiation Therapy and M7824 in Treating Patients With Metastatic Hormone Receptor Positive, HER2 Negative Breast Cancer",1382 days,Completed,Interventional,Experimental,"Drug, Radiation",Single Group Assignment,Phase 1,Yes,No,24
IIT-UM2018001,Study of Pembrolizumab in Metastatic HER2-negative Breast Cancer Patients With APOBEC3B Mutation,1246 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,44
UPCC 17120,Telehealth Weight Loss Program for Breast Cancer Survivors,865 days,"Active, not recruiting",Interventional,Experimental,"Behavioral, Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No,22
Shengjing_002,Palbociclib Combined With an Aromatase Inhibitor in Breast Cancer,1125 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,420
IRB-57723,Serial Circulating Tumor DNA (ctDNA) Monitoring During Adjuvant Capecitabine in Early Triple-negative Breast Cancer,1824 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,25
3764,Stereotactic Body Radiotherapy for Patients With Breast Cancer Oligometastasis,1186 days,Unknown status,Interventional,Experimental,Radiation,Single Group Assignment,Early Phase 1,No,No,30
D8530C00006,"A Phase 1 Study of AZD9833 in Japanese Women With ER Positive, HER2 Negative Advanced Breast Cancer",1186 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,10
115858,SIGNAL During a COVID-19 Pandemic,914 days,Withdrawn,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,0
CCH-IRB-190414-R,Robotic Versus Conventional or Endoscopic Nipple Sparing Mastectomy for Breast Cancer,862 days,Unknown status,Interventional,"Experimental, Active Comparator, Active Comparator","Device, Procedure, Procedure",Parallel Assignment,Not Applicable,No,Yes,900
UCCS20110,Development of a Personalized Discussion Prioritization Tool for Older Adults Considering Adjuvant Chemotherapy for Breast Cancer,703 days,"Active, not recruiting",Interventional,Experimental,Other,Single Group Assignment,Phase 1,No,No,10
2019-004559-35,Omission of Surgery and Sentinel Lymph Node Dissection in Clinically Low-risk HER2positive Breast Cancer With High HER2 Addiction and a Complete Response Following Standard Anti- HER2-based Neoadjuvant Therapy (ELPIS Trial),2586 days,Not yet recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug, Procedure",Single Group Assignment,Phase 2,No,No,27
KARMA Kontrast,KARMA Kontrast - a Controlled Trial Evaluating Contrast Enhanced Mammography in Early Detection of Breast Cancer,568 days,Unknown status,Interventional,Other,Combination Product,Single Group Assignment,Not Applicable,No,No,420
ACE-Breast-03,"ARX788 in HER2-positive, Metastatic Breast Cancer Subjects (ACE-Breast-03)",1701 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,31
FMBSUREC/10102021/Rabie,Study of the Therapeutic Effect of Atorvastatin on the Clinical Outcomes in HER2 Negative Breast Cancer Patients,1157 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Other",Parallel Assignment,"Phase 2, Phase 3",No,No,60
2020-535,Targeted Resection of Axillary Metastatic Lymph Nodes After Breast Cancer Neoadjuvant Chemotherapy,1703 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,332
EF141,Trial to Compare the Efficacy and Safety of Pegfilgrastim Biosimilar in Subjects With High Risk Stage Breast Cancer Receiving Chemotherapy,638 days,Withdrawn,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,0
STUDY00001225,The Breast Cancer Survivors and Partners Online Research Together (SUPORT) Project,1534 days,Recruiting,Interventional,"Experimental, Experimental, Active Comparator","Behavioral, Behavioral, Behavioral",Parallel Assignment,Phase 2,No,No,452
CCR5119,KORTUC Phase II - Intra-tumoural Radiation Sensitizer in Patients With Locally Advanced/Recurrent Breast Cancer,2389 days,Recruiting,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 2,No,No,184
3475-756,"Study of Pembrolizumab (MK-3475) Versus Placebo in Combination With Neoadjuvant Chemotherapy & Adjuvant Endocrine Therapy in the Treatment of Early-Stage Estrogen Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative (ER+/HER2-) Breast Cancer (MK-3475-756/KEYNOTE-756)",4411 days,"Active, not recruiting",Interventional,"Experimental, Placebo Comparator","Biological, Drug, Drug, Drug, Drug, Drug, Drug, Radiation, Procedure",Parallel Assignment,Phase 3,Yes,No,1240
2022-0055,A Study for the Neoadjuvant Treatment of Breast Cancer,1989 days,Recruiting,Interventional,"Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 4,No,No,1576
WEFITTER,Wearable Enhanced Fitness Tracking for Metastatic Breast Cancer Patients Using Endocrine Treatment and Palbociclib,344 days,Recruiting,Interventional,"Active Comparator, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,68
ARO-2015-1,Metastases-directed Radiotherapy in Addition to Standard Systemic Therapy in Patients With Oligometastatic Breast Cancer,1578 days,Recruiting,Interventional,"No Intervention, Experimental",Radiation,Parallel Assignment,Not Applicable,No,No,564
HNCH-MBC11,Utidelone Combined With Bevacizumab in the Treatment of ≥ 2 Lines of HER-2 Negative Advanced Breast Cancer,943 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,71
SOLTI-1507,Ipatasertib + Pertuzumab +Trastuzumab in Advanced HER2+ PI3KCA-mutant Breast Cancer Patients,2008 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 1,No,No,15
DKFZ-2019-008,Genomics Guided Targeted Post-neoadjuvant Therapy in Patients With Early Breast Cancer (COGNITION-GUIDE),2406 days,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, No Intervention","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,240
20170328,Low-dose Apatinib Combined With Neoadjuvant Chemotherapy in the Treatment of Early Triple Negative Breast Cancer,1248 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,31
SHPD005,Combination Neoadjuvant Chemotherapy With or Without Apatinib for HER2 Negative Breast Cancer,1643 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Procedure",Parallel Assignment,Phase 2,No,No,196
20-124,YES Study - Newly Diagnosed/Metastatic Intervention,2723 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,400
LaPemERLA,Phase II Lenvatinib and Pembrolizumab in Endocrine Resistant Breast Cancer With Letrozole,1415 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,40
Pro00020138,Olaparib in Combination With Vorinostat in Patients With Relapsed/Refractory and/or Metastatic Breast Cancer,1909 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No,28
18-394,DAPHNe: Paclitaxel/Trastuzumab/Pertuzumab in HER2-Positive BC,4318 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 1,Yes,No,100
2019SABE028,The Effect of Early Rehabilitation After Breast Cancer Surgery on Physical and Psychosocial Functions,518 days,Recruiting,Interventional,"Experimental, Active Comparator","Procedure, Other",Parallel Assignment,Not Applicable,No,No,42
IIBSP-PRO-2021-10,Prehabilitation for Breast Cancer Surgery,730 days,Recruiting,Interventional,"No Intervention, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,64
SYSUCC-015,Moxifloxacin in Adjuvant Treatment of Patients With Operable Breast Cancer,2577 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,520
REO 026-1,Pelareorep and Paclitaxel Injection in Chinese Patients With Advanced or Metastatic Breast Cancer,628 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,15
2019.429,Effectiveness of Character Strengths-based Intervention Among Breast Cancer Patients,230 days,Completed,Interventional,"Experimental, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,122
CP7-005,A Study Comparing Immunopheresis® Alone or In Combination With Chemotherapy Versus Chemotherapy Alone in Treatment of Advanced Breast Cancer Patients,1522 days,Recruiting,Interventional,"Experimental, Experimental, Active Comparator","Other, Other, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No,170
2021/193780(REK),Neoadjuvant Treatment of Locally-advanced Breast Cancer Patients With Ribociclib and Letrozole,731 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,100
123123,Eurythmy Therapy (ERYT) as a Treatment Option for Fatigue in Metastatic Breast Cancer Patients,1726 days,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,196
JTU-6H-20211011001,Effect of ALND With Vein Branches Reservation on Postoperative Upper Limb Edema and Dysfunction in Breast Cancer,821 days,Recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,288
CIMS-4FMFES-2021-3966,4FMFES-PET Imaging of ER+ Advanced Breast Cancers,1155 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Phase 2,No,No,150
SOLTI-1718,Targeting EGFR/ERBB2 With Neratinib in Hormone Receptor (HR)-Positive/HER2-negative HER2-enriched Advanced/Metastatic Breast Cancer,494 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,12
HLX11-BC301,A Study to Evaluate the Efficacy and Safety of HLX11 vs. EU-Perjeta® in the Neoadjuvant Therapy of HER2-Positive and HR-Negative Early-stage or Locally Advanced Breast Cancer,1345 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,900
Zoledronic Acid In Breast Ca,Delayed Versus Immediate Use Of Zoledronic Acid For Postmenopausal Patients With Early Breast Cancer Who Are Using Adjuvant Letrozole,730 days,Recruiting,Interventional,"Experimental, Experimental",Drug,Parallel Assignment,Phase 3,Yes,No,50
Tacrolimus_2020,Tacrolimus as Treatment of Breast Cancer-Related Lymphedema,471 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,20
KSRAD001,Using AI to Select Women for Supplemental MRI in Breast Cancer Screening,1552 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,2500
Stage 2 compression therapy,Adjustable Compression Wrap Versus Compression Sleeve to Control Breast Cancer-related Lymphedema,578 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,Yes,72
CASE5120,Assessing the Benefit of Art & Music Therapy on Quality of Life in Patients With Breast Cancer,1068 days,Recruiting,Interventional,"Experimental, Experimental, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,72
PROICM 2020-07 VIS,Professional Life After Breast Cancer: Feasibility of a Coaching Program for an Adapted Return to Work,595 days,Recruiting,Interventional,Other,"Other, Other",Single Group Assignment,Not Applicable,No,No,25
CL1-81694-003,S 81694 Plus Paclitaxel in Metastatic Breast Cancer,886 days,Completed,Interventional,"Experimental, Active Comparator, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No,22
Shengjing-LCG005,Albumin-bound Paclitaxel and Carboplatin Versus Epirubicin and Docetaxel for Triple-negative Breast Cancer,1960 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 4,No,No,110
2020.KB.SAG.069,The Effect of Mobile Lymphedema Self-Care Support Program on Self-Care in Women With Breast Cancer-related Lymphedema,91 days,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,60
INNOVBC,A Guided Internet-delivered Individually-tailored ACT-influenced CBT Intervention to Improve Psychosocial Outcomes in Breast Cancer,668 days,Unknown status,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,"Phase 2, Phase 3",No,No,128
R20-003,Neuroinflammation and Age-associated Brain Pathology: Two Potential Mechanisms of Cognitive Impairment in Breast Cancer,761 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,20
MedOPP319,CB-103 Plus NSAI In Luminal Advanced Breast Cancer,725 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,80
WO39391,A Study Comparing Atezolizumab (Anti PD-L1 Antibody) In Combination With Adjuvant Anthracycline/Taxane-Based Chemotherapy Versus Chemotherapy Alone In Patients With Operable Triple-Negative Breast Cancer,2579 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,2300
20-157,Pre-op Pembro + Radiation Therapy in Breast Cancer (P-RAD),1080 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Radiation, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,Yes,120
2021.693,mHealth Usage Among Nigeria Women Diagnosed With Breast Cancer Receiving Chemotherapy,456 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,126
GENEXAN,GENe EXpression After Regional or General ANesthesia in Patients Undergoing Breast Cancer Surgery,365 days,Unknown status,Interventional,"Active Comparator, Experimental","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,100
HSC20160245H,Improving Adherence to EHT Among Breast Cancer Patients,1490 days,"Active, not recruiting",Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,108
GRO-06-001,ABUS for Early-stage Breast Cancer,1096 days,Unknown status,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,675
REC-H-PHBSU-21010,Evaluating Tocilizumab for Sever COVID-19 Infection in Breast Cancer vs. Non Cancer Pateints,487 days,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,100
YOUNGBC-22,"Dalpiciclib, Fulvestrant, Trastuzumab and Pertuzumab in HR Positive, HER2 Positive Metastatic Breast Cancer",487 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,72
16D.674,Prospective Breast Cancer Biospecimen Collection,988 days,Unknown status,Interventional,Other,"Procedure, Other, Other",Single Group Assignment,Not Applicable,No,No,200
SMC- 5725-18,The Breast Cancer Personalized Nutrition Study,2329 days,Recruiting,Interventional,"Experimental, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No,200
2000025837,Autologous Tumor Infiltrating Lymphocytes in Patients With Pretreated Metastatic Triple Negative Breast Cancer,1286 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,6
2020/33,Per-Operative Radiotherapy by Papillon +TM in Localized Breast Cancer,2512 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No,40
