ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
69HCL18_0310,Descriptive Observational Study of the Evolution of the Lifestyle Alteration in Patients With Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
2004-261-112,Neoadjuvant Chemotherapy Response in Metaplastic Carcinoma of Triple Negative Breast Cancer,Terminated,Observational,Cohort,2 Years,Non-Probability Sample,No,No
APHP190505,Circulating Fetal Cells and Breast Cancer,"Active, not recruiting",Observational,Case-Control,,Probability Sample,No,No
22-280,Observational Study of Bone Complications in People With Post-menopausal Breast Cancer Who Have Stopped Treatment With Denosumab and Aromatase Inhibitors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
BakircayU,Factors Affecting Functionality in Breast Cancer Survivors,Completed,Observational,Cohort,,Non-Probability Sample,No,No
SGK-SFC-001,Susan G. Komens ShareForCures,Enrolling by invitation,Observational,Other,10 Years,Non-Probability Sample,No,No
MO39485,"A Study to Describe the Diagnosis, Anti-Cancer Treatment and Clinical Outcome in Patients With Newly Diagnosed Breast Cancer in Latin America","Active, not recruiting",Observational,Cohort,,Probability Sample,,
SOC.03/20-21,"English Mammography Screening Outcomes by Age, Frequency and Test Threshold",Enrolling by invitation,Observational,Cohort,,Probability Sample,No,No
M2020 UK01,Breath Test to Predict Breast Cancer and Outcome of Mammography,Unknown status,Observational,Other,,Probability Sample,No,No
TRA05-GEFPICS,Concordance of the IHC4 Score Performed in Local or Central Laboratory to Endopredict in ER+/HER2- Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
BCP28,CT-based Radiomics of ALN pCR (ypN0) in Breast Cancer Undergoing NAC,Recruiting,Observational,Cohort,,Probability Sample,No,No
LY2022-028-B,Pre-operative Therapy in Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
ATADEK-2021/14/16,Breast Cancer and Kinesiophobia and Physical Activity,Completed,Observational,Case-Control,,Probability Sample,No,No
2018-9567,Pilot Study Assessing the Effect of Cyclin-dependent Kinase 4/6 Inhibitors on Body Composition in Patients With ER+/HER2- Metastatic Breast Cancer,Recruiting,Observational,Other,,Non-Probability Sample,No,No
MD.21.09.521.R,The Significance of Radiologically Detected Intramammary Lymph Nodes in Prediction of Axillary Lymph Nodes Status in Breast Cancer Patients,"Active, not recruiting",Observational,Other,6 Months,Probability Sample,No,No
FISH in breast cancer,Partial PTEN Deletion in Breast Cancer,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
CSPC-DMS-BC-13,Pegylated Liposomal Doxorubicin or Epirubicin in Neoadjuvant or Adjuvant Chemotherapy for Breast Cancer.,Completed,Observational,Case-Control,,Non-Probability Sample,No,No
201819010.4,Study of CYP2C19 and ALDH3A1 Polymorphisms in Breast Cancer Patients,Unknown status,Observational,Cohort,,Non-Probability Sample,Yes,No
2018NTLS176,Assessment of Complete Pathologic Response After Neoadjuvant Chemotherapy for Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
18ON009,Developing a Diagnostic Tool to Predict Response to Chemotherapy,Unknown status,Observational,Cohort,,Probability Sample,No,No
21-3576.cc,Interpretations and Predictions of Patient Reported Outcomes by Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
PANONC-1 Version: 1.1,Neoadjuvant Treatment of Breast Cancer,Not yet recruiting,Observational,Cohort,10 Years,Non-Probability Sample,Yes,No
AB-MR for Second Breast Cancer,Abbreviated Breast MRI for Second Breast Cancer Detection in Women With BRCA Mutation Testing,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
2019/FO244363,Long-term Effects of Breast Cancer Treatment,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
KYJJ-2021-186,Evaluation of Treatment Efficacy by Circulating Tumor Cell Phenotype Surveillance in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes
18-058,"Exercise, Fitness and Tumor Profiling in Breast Cancer Patients","Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
BCSCO003,Patterns of Breast Cancer Management and Prognosis of Breast Cancer in China,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
DSCN-EHT-NIS-BC001,A Study to Describe the Real-world Treatment Patterns and Associated Outcomes in Patients of China With HER2-positive Unresectable or Metastatic Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GEICAM/2016-03,Long-Term Follow-up Study of Early Stage Breast Cancer Patients Included in GEICAM Studies,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Breast Screening with DWI,Breast Cancer Screening With Diffusion-weighted MRI in Women at High Risk for Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
21-183,"Use of Sentinel Lymph Node Biopsy in Patients With Early-Stage, Palpable Node-Positive HR+/HER2- Breast Cancer Having Upfront Surgery and Adjuvant Radiation",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
ICO-2019-03,Bringing of PET-TDM FDG in the Determination of the Characteristics of Primary Mammary Tumors TrIple Negatives,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
Soh-Med-23-01-07,Prognostic Value of Some Biochemical Markers in Breast Cancer,Not yet recruiting,Observational,Case-Only,,Probability Sample,No,No
Breast Cancer Screening,Diffusion-Weighted MRI for Breast Cancer Screening in Women With a Personal History of Breast Cancer,Not yet recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No
A5481144,HR+/ HER2- Advanced/ Metastatic Breast Cancer Real World Treatment Patterns and Outcomes,Terminated,Observational,Cohort,,Non-Probability Sample,,
D133FR00138,ALEXANDRIA Study Egypt,Completed,Observational,Other,18 Months,Non-Probability Sample,,No
grid.412416.4,The Role of Interleukin-7 Serum Level as Biological Marker in Breast Cancer,Completed,Observational,Other,,Probability Sample,No,No
intestinal flora study,A Study of Diarrhea and Intestinal Flora Changes Caused by Pyrotinib in Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
ML42450,"Real-World Data on Clinical Characteristics, Demographics, and Outcomes of Patients With Metastatic Breast Cancer in Turkey",Completed,Observational,Cohort,,Probability Sample,No,No
2018-09-007A,Research on the Heterogeneity of Taiwanese Breast Cancer Patients by Next Generation Sequencing (NGS) Tools,Recruiting,Observational,Cohort,,Probability Sample,No,No
Microbiome_BC&PnC,Intestinal Microbiota Impact for Prognosis and Treatment Outcomes in Early Luminal Breast Cancer and Pancreatic Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
R148/2021,TIL Relation to pCR After Neoadjuvant Therapy in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
42127,Molecular Subtyping of Triple-negative Breast Cancer and African Ancestry-related Immunogenicity,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NACAGEP,"Gene Expression Profiling to Help Define the Need for Neo-Adjuvant Chemotherapy in HR+, HER- Breast Cancer Patients",Recruiting,Observational,Other,,Non-Probability Sample,No,No
2017MayPR898,A Communication Skills Package to Prevent Fear of Cancer Recurrence,Unknown status,Observational,Cohort,,Probability Sample,No,No
NCC 2019-0098,Life Style Modification for Breast Canccer Survivors Using Mobile App-based Human Coaching Program,Completed,Observational,Case-Only,,Probability Sample,No,No
A5481155,"Patient Characteristics, Treatment Patterns, and Clinical Outcomes in Patients Diagnosed With HR+/HER2 Advanced/Metastatic Breast Cancer on Palbociclib + Aromatase Inhibitor (AI) Combination Therapy",Completed,Observational,Cohort,,Non-Probability Sample,,
APHP191059,BIOPSY SCANNER LLTECH© Technology for Diagnosis of Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
PUMCH-MUSD,A Comparative Study of Mammography and Ultrasound for Breast Cancer Screening and Early Diagnosis,Recruiting,Observational,Cohort,,Probability Sample,No,No
2020-08-06R,Early Detection of CMP in Patients With Breast Cancer Using Cardiac Magnetic Resonance,Recruiting,Observational,Cohort,,Probability Sample,No,No
COV-19 BUMDC,COVID-19 Pandemic: Effect on Management of Patients With Breast Cancer,Completed,Observational,Case-Only,18 Months,Non-Probability Sample,No,No
2020-A01423-36,Evaluation of a Plasma Protein Profile as a Predictive Biomarker for Metastatic Relapse in Triple Negative Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
C3441055,Treatment Patterns and Clinical Outcomes Among Talazoparib-Treated Adults With HER2-Negative mBC With gBRCA1/2m,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No
CRF-NHI01,Real-world Clinical Benefit Evaluation in Breast Cancer Patients With Pharmaceutical Interventions for Cancer-related Fatigue,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PRO00034502,Tell us Your Food Story,Withdrawn,Observational,Case-Crossover,,Non-Probability Sample,No,No
Breast cancer in females,Concurrent Paclitaxel and Radiotherapy After Adjuvant Doxorubicin and Cyclophosphamide for Stage 2 or 3 Breast Cancer,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
E19137,Predicting Response of Metastatic Triple Negative Breast Cancer to Immunotherapy Based on Patients Cytokine Profile,Suspended,Observational,Case-Control,,Non-Probability Sample,No,No
CTO-IUSCCC-0803,Discerning the Impact of ctDNA Detection on Patient Decision Making in Early Stage Breast Cancer: a Conjoint Analysis,Recruiting,Observational,Case-Only,,Probability Sample,No,No
18-010602,Screening CEDM in Intermediate and High-Risk Patient Populations,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
PROICM 2018-05 BCU,Sexual Quality of Life in Women During the First Year of Adjuvant Hormonal Treatment for Breast Cancer.,Completed,Observational,Other,,Probability Sample,No,No
CAAE: 91570318.5.0000.5149,Nutritional Status and Pharmacological Treatment: Impact on the Toxicity and Quality of Life of Patients With Colorectal and Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,No,No
SYSKY-2022-030-01,Distribution of the Homologous Recombination-related (HRR) Genesmutationsand HRD in Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
KY20182079-F-1,Breast Cancer Treatment Based on Organ-like Culture,Unknown status,Observational,Case-Only,,Probability Sample,Yes,No
Radiation in breast cancer,Hypofractionated Radiotherapy Concomitantly With Weekly Boost for Breast Cancer Patients Treated With Conservative Breast Surgery,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
4-2018-0160,Impact of 5-fraction Stereotactic Partial Breast Irradiation and Whole Breast Irradiation on Cosmetic Outcome and Patient-reported Outcomes in Early-stage Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
ID4060,Atezolizumab With Nab-paclitaxel for Patients With Triple-negative Stage IV Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
0023041/i,MONOCENTRIC PERSPECTIVE STUDY: USE OF LIQUID BIOPSY WITH DIAGNOSTIC IMAGING,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2020_61,Study of the Sexual Health of Patients Treated for Breast Cancer and Followed up in the Observatory of Fertility at Jeanne de Flandre Hospital.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Shengjing-LJY04,Circulating Tumor Cell Detection in Patients With Luminal A Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GEICAM/2017-04,Unraveling KAdcyla Resistance In Human Epidermal Growth Factor Receptor 2(HER2) Positive Advanced Breast Cancer (KATIA),Completed,Observational,Case-Only,,Probability Sample,No,No
BREAST,BRaziLian outcomE for metAStatic breasT Cancer,Recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,No
1808-42,Survey Study: Financial Impact of Breast Cancer Treatment,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
21-271,Study of Cardiopulmonary Exercise Testing in Women Who Have HER2-Positive Breast Cancer With Mild Cardiotoxicity,Recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes
STUDY2019000317,Registry for Intra-Operative Radiotherapy During Breast Conserving Surgery in Patients With Early Stage Breast Cancer,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
FirstHCMU_CB_001,Effect of Endocrine Therapy Duration on Clinical Outcome of Patients With HR+ Intraductal Carcinoma of the Breast,Unknown status,Observational,Other,,Probability Sample,No,No
A5481178,A Real-life Study to Learn About the Use and Effects of the CDK4/6 Inhibitors in Canadian Patients With Breast Cancer.,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,,
dAGEs,"Dietary Advanced Glycation End Products, Inflammation and Oxidative Stress in Breast Cancer Patients",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NIR-THERMA-02,A Prospective Study to Evaluate Clinical Performance of Thermalytix in Detecting Breast Cancers,Completed,Observational,Cohort,,Non-Probability Sample,No,No
E7389-M082-602,A Study to Investigate the Efficacy and Safety of Eribulin in Korean Breast Cancer Participants,Completed,Observational,Cohort,,Probability Sample,No,No
STUDY00001233,Novel Thermal Imaging Technique for Breast Screening,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
INCASE0518,Artificial Intelligence vs Physicians for Breast Cancer Patients Information,Completed,Observational,Cohort,,Non-Probability Sample,No,No
INST 1607,Monitoring Response to Neoadjuvant Chemotherapy in HER2 Negative Breast Cancer Using High-speed MR Spectroscopic Imaging,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Yunwei Wei 2019-09-13,Intestinal Microbiota of Breast Cancer Patients Undergoing Chemotherapy,Unknown status,Observational,Case-Control,,Probability Sample,Yes,No
6788,Breast MRI for Neaodjuvant Chemotherapy Response Prediction and Evaluation in Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
NCC1824,Dynamic Monitoring of HER2 and ctDNA Specific Mutations in Patients With Recurrent or Metastatic Breast Cancer by Digital PCR,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
NCC1867,The Psychology of Chinese Breast Cancer Patients,Enrolling by invitation,Observational,Other,,Non-Probability Sample,No,No
2-102-21,Towards Early Detection of Breast Cancer in High Risk Population,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No
HunanCH-BC-001,Real-world Study of Pyrotinib in Neoadjuvant Therapy for HER2-positive Breast Cancer,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
Neveen,"Demographic , Clinicopathological Characteristics and Survival of Breast Cancer",Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Melody_002,"Melody®, a Lab Developed Test for Breast Cancer for Women With Dense Breast Tissue",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Shengjing_001,Study on Bisphosphonates Targeting Triple-negative Breast Cancer,Recruiting,Observational,Case-Only,,Probability Sample,No,No
PUMCH-BC501,Evaluation of Prognostic Monitoring for Breast Cancer Patients With Recurrence and Metastasis After Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PCS-001,Breast Cancer Liquid Biopsy Trial,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
C3441053,Real-World Outcomes of US Talazoparib-Treated Patients With Locally Advanced or Metastatic Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No
YOUNGBC-7,18F-FES PET/CTs Additional Clinical Value in ER+ BC,Completed,Observational,Cohort,,Non-Probability Sample,No,No
LUN_MMG_121,Study to Evaluate Effectiveness of Investigational Device in the Assistance of Detection and Diagnosis of Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,Yes
LCCC2105,Transitioning Care: Perspectives of Older Women With Early Breast Cancer on Current Telemedicine Modalities,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
RJrapidplan,RapidPlan Models Establishment for Node-Positive Breast Cancer Treated With Hypofractionation Using Edge/Truebeam,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2-049-18,Randomised Controlled Study of Physical Exercise Intervention in Breast Cancer Patients at Risk of Anthracycline-induced Cardiomyopathy: The EMBRACE Study,Recruiting,Observational,Case-Control,,Probability Sample,No,No
MIES-BCNAT,Multimodal Imaging Evaluation System of Axillary Lymph Node Staging and Treatment Strategy for Breast Cancer Neoadjuvant Therapy,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
MACSSI (ET18-150),MACSSI (MAstectomie Cellules Souches Surveillance Immunitaire),Recruiting,Observational,Cohort,,Non-Probability Sample,,
NCC2019-0142,Prospective Cohort Study of Breast Cancer Patients Treated With Radiotherapy,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
NIS12501,"A Retrospective Observational Study of Patients With Early-stage HER2-positive Breast Cancer, Treated With Neratinib",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20210504,MRI-based Approaches for Multi-parametric Model to Early Predict Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
18-2444.cc,Facial Skin Health Tracking Feasibility in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
OkanU2,Influence of Multidisciplinary Breast Tumor Board on Physician Decision,Unknown status,Observational,Other,2 Years,Non-Probability Sample,No,No
TRICIA,TRIple Negative Breast Cancer Markers In Liquid Biopsies Using Artificial Intelligence,Recruiting,Observational,Cohort,,Probability Sample,No,No
19-003532,Circulating Tumor DNA and Immunophenotyping as Potential Biomarkers in Patients Undergoing Regional Nodal Irradiation for Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
PALBOCOMP,Analysis of Palbociclib Treatment in Patients With Advanced Breast Cancer Within a Compassionate Use Programe,Completed,Observational,Cohort,,Non-Probability Sample,No,No
LACOG 0221,"Real-World Data on First-line Treatment of Hormone Receptor-positive, HER2-negative, Metastatic Breast Cancer in Brazil",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
1780,Identifying Biomarkers for Chronic Pain After Breast Cancer Treatment.,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
YANWQ002,the New Geneswell BCT in Vitro Diagnosis of Breast Cancer Prognosis,Unknown status,Observational,Cohort,,Probability Sample,No,Yes
MR-01,Monitoring Response to Neoadjuvant Chemotherapy in Breast Cancer Using Ultrafast DCE-MRI,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PALBOSPAIN,Observational Analysis of Palbociclib Treatment in Patients With First Line Therapy for Locally Advanced and/or Metastatic Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
99mTc-ADAPT6,99mTc-ADAPT6-based HER2 Imaging in Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
9745,CESM ABMR Breast Cancer Screening Trial,Completed,Observational,Case-Crossover,,Non-Probability Sample,No,Yes
STUDY00022698,MammoScreen Breast Cancer Risk Assessment and Decision Aid for Breast Cancer Screening and Referrals,Recruiting,Observational,Other,,Non-Probability Sample,No,
CLEE011AUS64,A Real-world Analysis of Concomitant Medication Use Among Metastatic Breast Cancer Patients Treated With CDK4/6 Inhibitors,Completed,Observational,Cohort,,Probability Sample,No,No
SCAN-B-rec,Sweden Cancerome Analysis Network - Breast Recurrence (SCAN-B-rec),Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No
SLNB-ACP,Sentinel Lymph Node Biopsy After Neoadjuvant Treatment in Breast Cancer Patents,Enrolling by invitation,Observational,Cohort,6 Years,Non-Probability Sample,,
AI-BMRI,Artificial Intelligence Analysis for Magnetic Resonance Imaging in Screening Breast Cancer in High-risk Women,Recruiting,Observational,Cohort,,Probability Sample,No,No
OMICS Mark,Metabolomics Explores Biomarkers for Metastatic Breast Cancer,Unknown status,Observational,Case-Control,5 Years,Non-Probability Sample,No,No
SMC 2018-07-014-011,Sleep and Activity Patterns in Pre-menopausal Breast Cancer Patients on Tamoxifen Using a Wrist-worn Internet of Things Device,Unknown status,Observational,Case-Only,12 Months,Non-Probability Sample,No,No
2022-017,Characterization and Kinetic of Chemotherapy-induced Cardiovascular Toxicity in Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
GEICAM/2018-03,Characterization of Innate Immune System in Patients With Luminal Advanced Breast Cancer,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No
BC-P31,Clinical Study of Glycosylated Extracellular Vesicles for Early Diagnosis of Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
EORTC-1550-BCG,Dissecting the Pathways of Therapy Resistance in Early Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
handan1,Circulating Tumor Cells Screen for Breast Cancer,"Active, not recruiting",Observational,Case-Control,3 Years,Probability Sample,No,No
IOM-120465,Tucatinib in Patients With Locally Advanced or Metastatic HER2-positive Breast Cancer Who Received at Least Two Prior Anti-HER2 Treatment Regimens.,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
2-025-19,Is Lipid Mapping an Effective Early Detection Tool for Breast Cancer in High-risk Populations?,Unknown status,Observational,Case-Control,,Probability Sample,No,No
D9673R00025,A Study of Patients Receiving T-DXd (Trastuzumab Deruxtecan) for Treatment of HER2+ Unresectable and/or Metastatic Breast Cancer,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
R868/18-IEO 916,Predicting Effective Adaptation to Breast Cancer to Help Women to BOUNCE Back,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
309424,Breast CANcer Risk Assessment in Younger Women: BCAN-RAY,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Melody_001,"Validation of Melody®, a Tear-based Screening Assay for Breast Cancer",Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
19-1812.cc,"Fertility Changes Due to Cancer: an Investigation of Meaning, Psychological Distress, and Psychologi","Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
I3Y-NS-O003,Abemaciclib in Combination With Endocrine Therapy as First Line Therapy in Metastatic Breast Cancer Patients With Symp-tomatic Visceral Metastases or High Tumor Burden,Recruiting,Observational,Case-Only,,Probability Sample,No,No
RG_16-108,NOSTRA-Feasibility Study: A Study Looking at Ultrasound Guided Biopsies for Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
2021C0128,"Brain Imaging, Nutrition, and Cognition in Breast Cancer Survivors",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20_RIPH3_06,Assessment of Quality of Life and Treatment Times for Patients With Invasive Type Breast Cancer in Martinique,Recruiting,Observational,Cohort,,Probability Sample,No,No
FAST-F-PG01,Ultra-hypofractionated Radiotherapy in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
20-001670,Optimizing Treatment of Stage IV Breast Cancer Through Real-Time Disease Monitoring,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NCCH2113,Asian Multicenter Prospective Study in HER2 Positive Early Breast Cancer for Detecting MRD by ctDNA;HARMONY Study,Recruiting,Observational,Cohort,3 Years,Probability Sample,No,No
YU-FTR-ST-01,"The Effects of Upper Extremity Lymphedema on Posture, Upper Extremity Functions, and Quality of Life",Completed,Observational,Case-Only,,Non-Probability Sample,,
Soh-Med-23-01-34,EpCAM and p53 Expressions in Infiltrating Duct Carcinoma of the Breast,Not yet recruiting,Observational,Other,,Probability Sample,No,No
HNCH-MBC09-BM03,Pyrotinib Combined With Capecitabine in HER-2 Positive Advanced Breast Cancer and Brain Metastases (Post-PERMEATE),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
E19059,Molecular Profiling After Neoadjuvant Chemotherapy for Triple-negative Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
NCT20210157-AI-ROL,Artificial Intelligence in Breast Cancer Screening in Region Östergötland Linkoping,Completed,Observational,Cohort,,Non-Probability Sample,No,No
D9673R00028,PROVIDENCE - Real-world Study in Patients With HER2-positive Unresectable or Metastatic Breast Cancer Treated With Trastuzumab Deruxtecan and Offered PRO-React Onco,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,,
BC-Genetics,Effect of Genetic and Epigenetic Factors on the Clinical Response and Toxicity to Doxorubicin Among Egyptian Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
2022-A02271-42,Cost of Using FLUOrescence to Green of Indocyanine for the Detection of Breast Cancer.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CNIL-2033408,Chronic Pain and Minor Breast Cancer Surgery,Completed,Observational,Cohort,,Non-Probability Sample,No,No
REG-028-2021,Multimodal Pain Treatment for Breast Cancer Surgery - a Prospective Cohort Study,Recruiting,Observational,Cohort,12 Months,Probability Sample,No,No
201801559A3,Prospective Cohort Study of Traditional Chinese Medicine for Survival of Patients With Early Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
CMTNCMB,Correlation Between Molecular Typing and Neoadjuvant Chemotherapy in Breast Cancer Patients Based on Mammaprint/Blueprint Test,Unknown status,Observational,Other,,Probability Sample,No,No
2022/0226,Risk Factors for Shoulder Joint Motion Restriction,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No
SYSUCC-011,Relationship Between Gut Microbiome and Adjuvant Chemotherapy in Patients With Early Breast Cancer,Terminated,Observational,Cohort,,Probability Sample,No,No
20-1866.cc,Promoting Informed Choice for Breast Cancer Screening,Recruiting,Observational,Cohort,,Probability Sample,No,No
RS1637/21,Single-cell RNAseq Breast Cancer,Recruiting,Observational,Cohort,24 Months,Non-Probability Sample,No,No
S64752,Exploring the Role of Serum Methylmalonic Acid (MMA) in Breast Cancer,Completed,Observational,Case-Control,,Probability Sample,No,No
CDR0000643461,Plant Extracted Natural Compounds Impact on Stage IV Breast Cancer Survival Time and Remission.,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
OSU-21065,Impact of Dietary Inflammatory Potential on Breast Cancer Risk,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
A5481167,Analysis of the Real-world Prescription Pattern of Palbociclib Combination Therapy With Aromatase Inhibitor as a First Line Therapy in Metastatic Breast Cancer Patients Using the National Health Insurance Claims Data in South Korea,"Active, not recruiting",Observational,Cohort,,Probability Sample,,
ENDO-RESIST,Determinants of Acquired Endocrine Resistance in Metastatic Breast Cancer: A Pilot Study,Recruiting,Observational,Cohort,,Probability Sample,No,No
21-325,Tablet-based Mobile Health Ultrasound for Point-of-care Breast Cancer Diagnosis in Nigeria (Mobile Health: Technology and Outcomes in Low and Middle-Income Countries),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
EORTC QLQ BR45,Psychometric Properties of the Updated Module on Assessing Quality of Life of Patients With Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
1234,Monitoring of Chronic Conditions in Breast Cancer,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
BreastctDNA01,Breast Cancer Liquid Biopsy Stratification,"Active, not recruiting",Observational,Other,,Probability Sample,No,No
A5481145,"A Study to Describe the Breast Cancer Patient Population, Treatment, and Results in Indian Patients Receiving Combinations of the Medicines Called Palbociclib for Advanced Breast Cancer",Completed,Observational,Case-Only,,Non-Probability Sample,,
Concordance,Concordance Between Liquid and Tissue Biopsy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
UW16151,Pharmacodynamic Biomarkers of Standard Anti-microtubule Drugs as Assessed by Early Tumor Biopsy,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
6037248,Using a Blood Test to Monitor Metastatic Breast Cancer Treatment,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
TJ-IRB20211128,Estrogen Receptor (ER) PET/CT Imaging in Breast Cancer,Recruiting,Observational,Case-Only,,Probability Sample,No,No
131916,Financial Toxicity in Breast Cancer Surgery,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
DRLCOLCT001,"Effectiveness and Safety of Fulvestrant in Postmenopausal Women With Advanced Breast Cancer HR+, HER2-",Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
FNF201830,Health-promoting Lifestyle in a Genetic Counseling Clinic,Completed,Observational,Other,,Non-Probability Sample,No,No
