ID,title,actual_duration,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device,enrollment_count
Melody_002,"Melody®, a Lab Developed Test for Breast Cancer for Women With Dense Breast Tissue",3.0027397260273974,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1500
Shengjing_001,Study on Bisphosphonates Targeting Triple-negative Breast Cancer,3.0,Recruiting,Observational,Case-Only,,Probability Sample,No,No,120
PUMCH-BC501,Evaluation of Prognostic Monitoring for Breast Cancer Patients With Recurrence and Metastasis After Surgery,5.920547945205479,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
PCS-001,Breast Cancer Liquid Biopsy Trial,2.8383561643835615,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,450
C3441053,Real-World Outcomes of US Talazoparib-Treated Patients With Locally Advanced or Metastatic Breast Cancer,0.14246575342465753,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No,110
YOUNGBC-7,18F-FES PET/CTs Additional Clinical Value in ER+ BC,0.3424657534246575,Completed,Observational,Cohort,,Non-Probability Sample,No,No,19
LUN_MMG_121,Study to Evaluate Effectiveness of Investigational Device in the Assistance of Detection and Diagnosis of Breast Cancer,0.5808219178082191,Completed,Observational,Cohort,,Probability Sample,No,Yes,240
LCCC2105,Transitioning Care: Perspectives of Older Women With Early Breast Cancer on Current Telemedicine Modalities,0.273972602739726,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,15
RJrapidplan,RapidPlan Models Establishment for Node-Positive Breast Cancer Treated With Hypofractionation Using Edge/Truebeam,3.0027397260273974,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,195
2-049-18,Randomised Controlled Study of Physical Exercise Intervention in Breast Cancer Patients at Risk of Anthracycline-induced Cardiomyopathy: The EMBRACE Study,10.583561643835617,Recruiting,Observational,Case-Control,,Probability Sample,No,No,12
MIES-BCNAT,Multimodal Imaging Evaluation System of Axillary Lymph Node Staging and Treatment Strategy for Breast Cancer Neoadjuvant Therapy,2.9972602739726026,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
MACSSI (ET18-150),MACSSI (MAstectomie Cellules Souches Surveillance Immunitaire),3.7315068493150685,Recruiting,Observational,Cohort,,Non-Probability Sample,,,40
NCC2019-0142,Prospective Cohort Study of Breast Cancer Patients Treated With Radiotherapy,15.002739726027396,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No,5000
NIS12501,"A Retrospective Observational Study of Patients With Early-stage HER2-positive Breast Cancer, Treated With Neratinib",0.5698630136986301,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,130
20210504,MRI-based Approaches for Multi-parametric Model to Early Predict Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer,4.495890410958904,Recruiting,Observational,Cohort,,Probability Sample,No,No,200
18-2444.cc,Facial Skin Health Tracking Feasibility in Breast Cancer Patients,4.523287671232877,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,35
OkanU2,Influence of Multidisciplinary Breast Tumor Board on Physician Decision,1.252054794520548,Unknown status,Observational,Other,2 Years,Non-Probability Sample,No,No,120
TRICIA,TRIple Negative Breast Cancer Markers In Liquid Biopsies Using Artificial Intelligence,3.4904109589041097,Recruiting,Observational,Cohort,,Probability Sample,No,No,130
19-003532,Circulating Tumor DNA and Immunophenotyping as Potential Biomarkers in Patients Undergoing Regional Nodal Irradiation for Breast Cancer,4.002739726027397,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,400
PALBOCOMP,Analysis of Palbociclib Treatment in Patients With Advanced Breast Cancer Within a Compassionate Use Programe,0.9534246575342467,Completed,Observational,Cohort,,Non-Probability Sample,No,No,237
LACOG 0221,"Real-World Data on First-line Treatment of Hormone Receptor-positive, HER2-negative, Metastatic Breast Cancer in Brazil",1.4657534246575343,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
1780,Identifying Biomarkers for Chronic Pain After Breast Cancer Treatment.,2.750684931506849,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,150
YANWQ002,the New Geneswell BCT in Vitro Diagnosis of Breast Cancer Prognosis,0.915068493150685,Unknown status,Observational,Cohort,,Probability Sample,No,Yes,100
MR-01,Monitoring Response to Neoadjuvant Chemotherapy in Breast Cancer Using Ultrafast DCE-MRI,2.493150684931507,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,80
PALBOSPAIN,Observational Analysis of Palbociclib Treatment in Patients With First Line Therapy for Locally Advanced and/or Metastatic Breast Cancer,0.8547945205479452,Completed,Observational,Cohort,,Non-Probability Sample,No,No,815
99mTc-ADAPT6,99mTc-ADAPT6-based HER2 Imaging in Breast Cancer,1.2547945205479452,Completed,Observational,Cohort,,Probability Sample,No,No,16
9745,CESM ABMR Breast Cancer Screening Trial,4.994520547945205,Completed,Observational,Case-Crossover,,Non-Probability Sample,No,Yes,256
STUDY00022698,MammoScreen Breast Cancer Risk Assessment and Decision Aid for Breast Cancer Screening and Referrals,2.9835616438356163,Recruiting,Observational,Other,,Non-Probability Sample,No,,1141
CLEE011AUS64,A Real-world Analysis of Concomitant Medication Use Among Metastatic Breast Cancer Patients Treated With CDK4/6 Inhibitors,0.16712328767123288,Completed,Observational,Cohort,,Probability Sample,No,No,4650
SCAN-B-rec,Sweden Cancerome Analysis Network - Breast Recurrence (SCAN-B-rec),11.868493150684932,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No,2000
SLNB-ACP,Sentinel Lymph Node Biopsy After Neoadjuvant Treatment in Breast Cancer Patents,8.613698630136986,Enrolling by invitation,Observational,Cohort,6 Years,Non-Probability Sample,,,100
AI-BMRI,Artificial Intelligence Analysis for Magnetic Resonance Imaging in Screening Breast Cancer in High-risk Women,4.082191780821918,Recruiting,Observational,Cohort,,Probability Sample,No,No,5000
OMICS Mark,Metabolomics Explores Biomarkers for Metastatic Breast Cancer,3.33972602739726,Unknown status,Observational,Case-Control,5 Years,Non-Probability Sample,No,No,500
SMC 2018-07-014-011,Sleep and Activity Patterns in Pre-menopausal Breast Cancer Patients on Tamoxifen Using a Wrist-worn Internet of Things Device,2.3945205479452056,Unknown status,Observational,Case-Only,12 Months,Non-Probability Sample,No,No,20
2022-017,Characterization and Kinetic of Chemotherapy-induced Cardiovascular Toxicity in Breast Cancer,0.7534246575342466,Recruiting,Observational,Cohort,,Probability Sample,No,No,40
GEICAM/2018-03,Characterization of Innate Immune System in Patients With Luminal Advanced Breast Cancer,3.1780821917808217,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No,31
BC-P31,Clinical Study of Glycosylated Extracellular Vesicles for Early Diagnosis of Breast Cancer,1.923287671232877,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,420
EORTC-1550-BCG,Dissecting the Pathways of Therapy Resistance in Early Breast Cancer,3.063013698630137,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,100
42127,Molecular Subtyping of Triple-negative Breast Cancer and African Ancestry-related Immunogenicity,5.002739726027397,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,120
handan1,Circulating Tumor Cells Screen for Breast Cancer,3.3315068493150686,"Active, not recruiting",Observational,Case-Control,3 Years,Probability Sample,No,No,200
IOM-120465,Tucatinib in Patients With Locally Advanced or Metastatic HER2-positive Breast Cancer Who Received at Least Two Prior Anti-HER2 Treatment Regimens.,4.947945205479452,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,300
2-025-19,Is Lipid Mapping an Effective Early Detection Tool for Breast Cancer in High-risk Populations?,2.5342465753424657,Unknown status,Observational,Case-Control,,Probability Sample,No,No,40
D9673R00025,A Study of Patients Receiving T-DXd (Trastuzumab Deruxtecan) for Treatment of HER2+ Unresectable and/or Metastatic Breast Cancer,2.8,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No,750
R868/18-IEO 916,Predicting Effective Adaptation to Breast Cancer to Help Women to BOUNCE Back,3.0712328767123287,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,660
309424,Breast CANcer Risk Assessment in Younger Women: BCAN-RAY,1.9205479452054797,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,1000
Melody_001,"Validation of Melody®, a Tear-based Screening Assay for Breast Cancer",4.504109589041096,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No,205
19-1812.cc,"Fertility Changes Due to Cancer: an Investigation of Meaning, Psychological Distress, and Psychologi",3.89041095890411,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No,200
I3Y-NS-O003,Abemaciclib in Combination With Endocrine Therapy as First Line Therapy in Metastatic Breast Cancer Patients With Symp-tomatic Visceral Metastases or High Tumor Burden,3.9452054794520555,Recruiting,Observational,Case-Only,,Probability Sample,No,No,120
RG_16-108,NOSTRA-Feasibility Study: A Study Looking at Ultrasound Guided Biopsies for Breast Cancer,6.616438356164384,Recruiting,Observational,Cohort,,Probability Sample,No,No,150
2021C0128,"Brain Imaging, Nutrition, and Cognition in Breast Cancer Survivors",1.367123287671233,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,30
20_RIPH3_06,Assessment of Quality of Life and Treatment Times for Patients With Invasive Type Breast Cancer in Martinique,5.16986301369863,Recruiting,Observational,Cohort,,Probability Sample,No,No,142
FAST-F-PG01,Ultra-hypofractionated Radiotherapy in Breast Cancer Patients,5.002739726027397,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
20-001670,Optimizing Treatment of Stage IV Breast Cancer Through Real-Time Disease Monitoring,4.000000000000001,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
NCCH2113,Asian Multicenter Prospective Study in HER2 Positive Early Breast Cancer for Detecting MRD by ctDNA;HARMONY Study,5.3561643835616435,Recruiting,Observational,Cohort,3 Years,Probability Sample,No,No,60
YU-FTR-ST-01,"The Effects of Upper Extremity Lymphedema on Posture, Upper Extremity Functions, and Quality of Life",0.49863013698630143,Completed,Observational,Case-Only,,Non-Probability Sample,,,27
Soh-Med-23-01-34,EpCAM and p53 Expressions in Infiltrating Duct Carcinoma of the Breast,0.16164383561643836,Not yet recruiting,Observational,Other,,Probability Sample,No,No,40
HNCH-MBC09-BM03,Pyrotinib Combined With Capecitabine in HER-2 Positive Advanced Breast Cancer and Brain Metastases (Post-PERMEATE),1.923287671232877,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
E19059,Molecular Profiling After Neoadjuvant Chemotherapy for Triple-negative Breast Cancer,4.8273972602739725,Recruiting,Observational,Cohort,,Probability Sample,No,No,120
NCT20210157-AI-ROL,Artificial Intelligence in Breast Cancer Screening in Region Östergötland Linkoping,0.336986301369863,Completed,Observational,Cohort,,Non-Probability Sample,No,No,15500
D9673R00028,PROVIDENCE - Real-world Study in Patients With HER2-positive Unresectable or Metastatic Breast Cancer Treated With Trastuzumab Deruxtecan and Offered PRO-React Onco,7.1726027397260275,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,,,390
BC-Genetics,Effect of Genetic and Epigenetic Factors on the Clinical Response and Toxicity to Doxorubicin Among Egyptian Breast Cancer Patients,2.665753424657534,Recruiting,Observational,Cohort,,Probability Sample,No,No,200
2022-A02271-42,Cost of Using FLUOrescence to Green of Indocyanine for the Detection of Breast Cancer.,0.9397260273972603,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
CNIL-2033408,Chronic Pain and Minor Breast Cancer Surgery,0.7506849315068493,Completed,Observational,Cohort,,Non-Probability Sample,No,No,205
REG-028-2021,Multimodal Pain Treatment for Breast Cancer Surgery - a Prospective Cohort Study,2.0000000000000004,Recruiting,Observational,Cohort,12 Months,Probability Sample,No,No,200
201801559A3,Prospective Cohort Study of Traditional Chinese Medicine for Survival of Patients With Early Breast Cancer,1.9506849315068495,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,310
CMTNCMB,Correlation Between Molecular Typing and Neoadjuvant Chemotherapy in Breast Cancer Patients Based on Mammaprint/Blueprint Test,1.8,Unknown status,Observational,Other,,Probability Sample,No,No,150
2022/0226,Risk Factors for Shoulder Joint Motion Restriction,1.5041095890410958,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No,72
SYSUCC-011,Relationship Between Gut Microbiome and Adjuvant Chemotherapy in Patients With Early Breast Cancer,2.057534246575343,Terminated,Observational,Cohort,,Probability Sample,No,No,226
20-1866.cc,Promoting Informed Choice for Breast Cancer Screening,4.986301369863014,Recruiting,Observational,Cohort,,Probability Sample,No,No,500
S64752,Exploring the Role of Serum Methylmalonic Acid (MMA) in Breast Cancer,1.4191780821917808,Completed,Observational,Case-Control,,Probability Sample,No,No,300
CDR0000643461,Plant Extracted Natural Compounds Impact on Stage IV Breast Cancer Survival Time and Remission.,1.0000000000000002,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No,300
OSU-21065,Impact of Dietary Inflammatory Potential on Breast Cancer Risk,2.8383561643835615,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,885
A5481167,Analysis of the Real-world Prescription Pattern of Palbociclib Combination Therapy With Aromatase Inhibitor as a First Line Therapy in Metastatic Breast Cancer Patients Using the National Health Insurance Claims Data in South Korea,1.526027397260274,"Active, not recruiting",Observational,Cohort,,Probability Sample,,,1
ENDO-RESIST,Determinants of Acquired Endocrine Resistance in Metastatic Breast Cancer: A Pilot Study,3.9068493150684938,Recruiting,Observational,Cohort,,Probability Sample,No,No,20
21-325,Tablet-based Mobile Health Ultrasound for Point-of-care Breast Cancer Diagnosis in Nigeria (Mobile Health: Technology and Outcomes in Low and Middle-Income Countries),1.0000000000000002,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,900
EORTC QLQ BR45,Psychometric Properties of the Updated Module on Assessing Quality of Life of Patients With Breast Cancer,2.5123287671232877,Completed,Observational,Cohort,,Non-Probability Sample,No,No,576
1234,Monitoring of Chronic Conditions in Breast Cancer,6.005479452054795,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,150
BreastctDNA01,Breast Cancer Liquid Biopsy Stratification,5.002739726027397,"Active, not recruiting",Observational,Other,,Probability Sample,No,No,59
A5481145,"A Study to Describe the Breast Cancer Patient Population, Treatment, and Results in Indian Patients Receiving Combinations of the Medicines Called Palbociclib for Advanced Breast Cancer",0.7506849315068493,Completed,Observational,Case-Only,,Non-Probability Sample,,,150
Concordance,Concordance Between Liquid and Tissue Biopsy,2.419178082191781,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,120
UW16151,Pharmacodynamic Biomarkers of Standard Anti-microtubule Drugs as Assessed by Early Tumor Biopsy,5.506849315068493,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,35
6037248,Using a Blood Test to Monitor Metastatic Breast Cancer Treatment,3.0027397260273974,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
TJ-IRB20211128,Estrogen Receptor (ER) PET/CT Imaging in Breast Cancer,5.002739726027397,Recruiting,Observational,Case-Only,,Probability Sample,No,No,80
131916,Financial Toxicity in Breast Cancer Surgery,2.5452054794520547,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,630
FNF201830,Health-promoting Lifestyle in a Genetic Counseling Clinic,2.3068493150684932,Completed,Observational,Other,,Non-Probability Sample,No,No,140
DRLCOLCT001,"Effectiveness and Safety of Fulvestrant in Postmenopausal Women With Advanced Breast Cancer HR+, HER2-",1.3342465753424657,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,40
Genetic study and TDM,Genetic Study of CYP2D6 Enzyme and Therapeutic Drug Monitoring of Tamoxifen,1.252054794520548,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,100
YDPLD191016-I1-SYSU-001,Biomarkers of Liposomal Doxorubicin Induced Hypersensitivity Reaction in Breast Cancer Patients,2.3917808219178083,Recruiting,Observational,Cohort,1 Week,Probability Sample,No,No,20
A5481136,Treatment Patterns and Clinical Outcomes Among Patients Receiving Palbociclib Combinations for Hormone Receptor Positive (HR+)/Human Epidermal Growth Factor Receptor 2 Negative (HER2 ) Advanced/Metastatic Breast Cancer in the Arabian Gulf Region,0.915068493150685,Recruiting,Observational,Cohort,,Probability Sample,,,665
69HCL16_0536,Facilitate and Sustain Return to Work After Breast Cancer,2.5315068493150683,Recruiting,Observational,Other,,Non-Probability Sample,No,No,420
IIT-0026,Prognostic Indicators for Radiation-induced Breast Fibrosis,3.671232876712329,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,44
LCCC2241,Assessing Functional Status Needs Via PRO Measures for Pts With Metastatic Breast Cancer,0.7726027397260274,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,50
YLiu,Targeted Next Generation Sequencing for the Efficacy of Trastuzumab Neoadjuvant Chemotherapy in Breast Cancer,1.5013698630136987,Recruiting,Observational,Cohort,,Probability Sample,No,No,100
2018-A02191-54,Needs Assessment After Cancer in Patients Treated for Breast Cancer,0.16986301369863013,Completed,Observational,Cohort,,Probability Sample,No,No,139
CLEE011ABR02,Ribociclib in Combination With Non-steroidal Aromatase Inhibitors in Patients With Advanced Breast Cancer,0.6027397260273972,Completed,Observational,Cohort,,Non-Probability Sample,,,76
D9673R00004,"Estimation of the Prevalence of HER2 Low and Describe the SoC, Treatment Patterns, and Outcome in Real-world Practice Among Unresectable and/or Metastatic Breast Cancer Patients With HER2 Low Status",0.9123287671232877,Completed,Observational,Cohort,,Non-Probability Sample,No,No,798
SYSEC-KY-KS-2019-099,Association of Survival With Maintenance Therapy in Patients With Metastatic Breast Cancer After First-line Chemotherapy,0.4958904109589042,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No,760
SYSEC-KY-KS-2019-055-001,MRI Radiomics Assessing Neoadjuvant Chemotherapy in Breast Cancer to Predict Lymph Node Metastasis and Prognosis(RBC-02),6.010958904109589,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,600
21-161,A Study of Attention and Memory Processes in Breast Cancer Survivors,2.989041095890411,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,48
ONC-010,EndoPredict® Extended Endocrine Trial (EXET),2.747945205479452,Terminated,Observational,Case-Only,6 Years,Non-Probability Sample,No,No,855
CLEE011AFR01,Ribociclib Real-world Treatment Patterns and Clinical Outcomes Among Women With HR+/HER2- Advanced or Metastatic Breast Cancer in France,4.542465753424658,Recruiting,Observational,Cohort,,Non-Probability Sample,,,482
178-2018,Genomic Markers for Measuring Breast Cancer Response to Neoadjuvant Chemotherapy,2.9205479452054797,Recruiting,Observational,Cohort,5 Years,Probability Sample,No,No,100
OMC2018/01,Implementing Patients´ Competence in Oral Breast Cancer Therapy,1.7534246575342465,Unknown status,Observational,Cohort,,Non-Probability Sample,,,212
AB PoC 2021 RUS,Retrospective Comparative in Vitro Case-controlled Study of the Liquid Biopsy Test System in Women With Breast Cancer,0.5424657534246575,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,150
2019.444,Fibrotic Focus in Breast Cancer,4.000000000000001,Not yet recruiting,Observational,Case-Only,,Probability Sample,No,No,250
1107210020,Digital Breast Tomosynthesis (DBT) to Improve Assessment of Resection Margins in Invasive Breast Cancer,1.4136986301369863,Completed,Observational,Other,,Probability Sample,No,No,250
IRB00048455,Histamine and Bone Pain Association in Participants With Breast Cancer Metastatic in the Bone,4.668493150684932,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,30
CCR5654,"Biological Characteristics of Older Women (> 70 Years) With ER Positive, HER2 Negative Early Breast Cancer",1.1123287671232878,Enrolling by invitation,Observational,Other,,Non-Probability Sample,No,No,100
2022-YXZX-YX-08,Ultrasound Radiomics for Predicting Breast Cancer and Axillary Lymph Node Metastasis,2.419178082191781,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,200
NCKUH SLNB,The Validation of Sentinel Lymph Node Biopsy After Neo-adjuvant Chemotherapy in Breast Cancer Patients,1.5342465753424657,"Active, not recruiting",Observational,Case-Only,5 Years,Non-Probability Sample,No,No,30
LB1802,Real World Study of Biosimilar Trastuzumab in Her2 Positive Breast Cancer,4.6136986301369864,Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No,170
Geneplus2020BC01,ctDNA Monitoring in Early Breast Cancer,4.50958904109589,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,200
19-005860,Multiscale Omics for the Development of a Cohort Database and Study Platform in Breast Cancer Survivors,2.747945205479452,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,105
2020-010,Identification of Genetic Determinants for Treatment Resistance/Sensitivity and/or Toxicity in Adjuvant Setting for HER2 Positive Breast Cancer,8.005479452054795,Recruiting,Observational,Cohort,,Probability Sample,No,No,9000
Contralateral Screening,Screening Contralateral Breast Cancers in Patients With Newly Diagnosed Breast Cancer,3.756164383561644,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1098
2007-206-1145,"Diffusion-Weighted MRI for Diagnosis of Multifocal, Multicentric Breast Cancer",3.756164383561644,Not yet recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,No,580
2019.629,Artificial Intelligence in Mammography-Based Breast Cancer Screening,4.000000000000001,Recruiting,Observational,Cohort,,Probability Sample,No,No,1000
EORTC-1617-QLG-BCG,Follow-up in Early and Locally Advanced Breast Cancer Patients,2.463013698630137,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,830
YOUNGBC-17,Real-world Study of UTD1 in Chinese Advanced Breast Cancer,1.082191780821918,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
Metastatic Breast Cancer,"Τreatment Standards and Outcomes of Patients With ER/PR Positive, HER2-negative Metastatic Breast Cancer",5.002739726027397,Recruiting,Observational,Cohort,3 Years,Non-Probability Sample,No,No,300
KCSG BR19-15,T-DM1 in HER2-positive Metastatic/Relapsed Breast Cancer,0.6164383561643836,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No,1000
GE-280-401,Clinical Utility of FES F18 PET/CT in Metastatic Breast Cancer Patients,2.7424657534246575,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,206
CER2021,"Prevalence of Lymphedema in Valle Del Cauca, Colombia.",3.953424657534247,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No,367
MD 134/2022,Inflammatory Blood Markers in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy,1.2493150684931507,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
A5481093,A Study to Learn About the Dangers Linked to Myelosuppression (Decreased Bone Marrow Function) in Breast Cancer Patients Treated With the Study Medicine Palbociclib (Pal Bow Sai Klib),0.1643835616438356,Not yet recruiting,Observational,Case-Control,,Probability Sample,,,1300
LUN_DBT_121,"Multi-Reader, Multi-Case, Cross-Over, Retrospective Study to Evaluate Effectiveness of Lunit INSIGHT DBT",0.9397260273972603,Recruiting,Observational,Cohort,,Probability Sample,No,Yes,262
2019/00283,A Pilot Tele-rehabilitation Trial for Breast Cancer Survivors,2.164383561643836,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,40
GO 22/41,Reliability and Validity of The 6 Minute Pegboard and Ring Test in Patients With Breast Cancer,0.7506849315068493,Completed,Observational,Other,,Probability Sample,No,No,48
YOUNGBC-16,MammaPrint Value for Pre-menopausal Breast Cancer Patients,2.0027397260273974,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
07068-02,Oxygen Partial Pressure After Breast Cancer Surgery,1.2712328767123289,Recruiting,Observational,Cohort,1 Day,Probability Sample,No,No,60
99mTc-DARPinG3 breast cancer,99mTc-DARPinG3 SPECT/CT for Non-invasive HER2-AX in Breast Cancer With Metastatic Lymph Nodes Before Targeted Therapy,0.947945205479452,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No,24
YOUNGBC-24,Real-world Effectiveness and Safety Study of T-Dxd in Chinese Metastatic Breast Cancer,2.665753424657534,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,150
YOUNGBC-6,Real World Study of Lapatinib Among Metastatic Breast Cancer Patients,1.358904109589041,Completed,Observational,Cohort,,Non-Probability Sample,No,No,242
PI20/596,"Long-term Outcomes After Breast Cancer Liver Metastasis Surgery: an European, Retrospective, Snapshot Study",0.3780821917808219,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,300
SCBCG-022,A Prospective Observational Study About Adjuvant or Neoadjuvant Chemotherapy Related Adverse Effects in Postmenopausal Breast Cancer Patients,5.002739726027397,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,2000
HERMIONE-10,Eribulin as a Second-line Treatment in Triple-negative Advanced Breast Cancer,1.9424657534246577,Recruiting,Observational,Cohort,,Probability Sample,No,No,200
B00157,A Pilot Study of Ultrasound-guided Vacuum-assisted Excision of Breast Cancers,2.9342465753424656,Completed,Observational,Cohort,,Probability Sample,No,No,7
A5481166,Study to Evaluate Real-world Effectiveness With Palbociclib Plus Endocrine Therapy as First-line/Second-line Treatment for HR+/HER2- Advanced Breast Cancer in Japan,2.197260273972603,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,,,688
D081CC00012,LYNPARZA Breast Cancer in the Adjuvant Setting Japan Post-Marketing Surveillance (PMS),3.7753424657534245,Recruiting,Observational,Cohort,,Non-Probability Sample,,,104
Luminal A sirt1,Role of SIRT1 in Regulation of Epithelial-to-mesenchymal Transition in Breast Cancer Lymph Nodes Metastasis,1.997260273972603,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,160
DokuzEU.Com.Garments,COMPRESSION GARMENTS in BREAST CANCER-RELATED LYMPHEDEMA,0.41643835616438357,Completed,Observational,Other,,Non-Probability Sample,No,No,60
MC200302,"Impact of Neoadjuvant Chemotherapy on the Peripheral Blood Immune Phenotype in Operable Breast Cancer, the ENHANCE Study",3.934246575342466,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,165
A5481154,Study to Evaluate Overall Survival in Japanese Patients With HR+/HER2- Advanced Breast Cancer Treated With Palbociclib Plus Letrozole,4.824657534246575,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,42
22-002857,"Assessment of the Safety, Ultrasound Conspicuity, and Migration of Twinkling Markers in Patients With Locally Advanced Breast Cancer Undergoing Neoadjuvant Systemic Therapy and Surgery, UTMOST Trial",1.336986301369863,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes,10
IFOM-CPO007/2019/PO006,A Master Protocol Empowering Mechanobiology Translation Research in Breast Cancer,6.380821917808219,Recruiting,Observational,Other,,Non-Probability Sample,No,No,500
S-detect 2019,Application of Deep-learning and Ultrasound Elastography in Opportunistic Screening of Breast Cancer,2.0027397260273974,Completed,Observational,Cohort,,Probability Sample,No,No,1200
AABCSR,Stress Reactivity Among African American Breast Cancer Survivors,2.7534246575342465,Completed,Observational,Cohort,,Non-Probability Sample,No,No,110
FMSU2017-002B,Fujifilm DBT Plus S-View Versus FFDM Alone in the Detection of Breast Cancer - A Pivotal Study,0.40273972602739727,Completed,Observational,Case-Crossover,,Probability Sample,No,Yes,300
38RC19.362,Feasibility Study on the Characterization of the Immune Profile of Young Patients After Treatment for Breast Cancer,1.3808219178082193,Unknown status,Observational,Other,,Non-Probability Sample,No,No,26
2022-0651,The C-MERIT Screening Cohort: Contrast-enhanced Mammography for Breast Cancer Screening and Risk Assessment in Women With Dense Breasts,5.073972602739726,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1000
YOUNGBC-10,Pyrotinib Plus Vinorelbine in HER2+ Metastatic Breast Cancer Patients,3.0027397260273974,Completed,Observational,Cohort,,Non-Probability Sample,No,No,97
20-1434.cc,Cancer Patient Perspectives During COVID-19,2.76986301369863,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,89
CSPC-KAL-AE-01,Real-world Study for the Safety of Albumin-Bound Paclitaxel in Recurrent or Metastatic Breast Cancer,2.421917808219178,Unknown status,Observational,Other,,Non-Probability Sample,No,No,1000
