ID,Title,Start_Date,Completion_Date,Actual_Duration,Status,Study_Type
2018-00838; ch20Weber2,Tailored Axillary Surgery With or Without Axillary Lymph Node Dissection Followed by Radiotherapy in Patients With Clinically Node-positive Breast Cancer (TAXIS),2018-08-07,2036-12-01,6691 days,Recruiting,Interventional
WSG-AM09,A Study With Pembrolizumab in Combination With Dual Anti-HER2 Blockade With Trastuzumab and Pertuzumab in Early Breast Cancer Patients With Molecular HER2-enriched Intrinsic Subtype (Keyriched-1),2020-08-18,2022-05-31,651 days,Completed,Interventional
UC-0107/1903,Patients Choice in the Reduction of Their Treatment in Women Over 65 Year With Breast Cancer,2021-10-01,2025-09-01,1431 days,Recruiting,Interventional
PANONC-1 Version: 1.1,Neoadjuvant Treatment of Breast Cancer,2022-03-01,2031-12-01,3562 days,Not yet recruiting,Observational
AB-MR for Second Breast Cancer,Abbreviated Breast MRI for Second Breast Cancer Detection in Women With BRCA Mutation Testing,2018-05-01,2022-06-01,1492 days,Unknown status,Observational
AHQU-2021005,Precision Acupuncture in the Treatment of Peripheral Neuropathy After Taxanes Chemotherapy in Breast Cancer,2021-12-01,2023-12-01,730 days,Recruiting,Interventional
2019/FO244363,Long-term Effects of Breast Cancer Treatment,2019-07-01,2022-06-30,1095 days,Unknown status,Observational
BC-2019,The Influence of Treatment Position (Prone vs. Supine) on Whole Breast Target,2019-01-01,2023-11-01,1765 days,Recruiting,Interventional
18-058,"Exercise, Fitness and Tumor Profiling in Breast Cancer Patients",2018-01-31,2024-01-01,2161 days,"Active, not recruiting",Observational
KYJJ-2021-186,Evaluation of Treatment Efficacy by Circulating Tumor Cell Phenotype Surveillance in Breast Cancer Patients,2019-03-01,2029-03-01,3653 days,Recruiting,Observational
19-188,"Evaluation of Talazoparib, a PARP Inhibitor, in Patients With Somatic BRCA Mutant Metastatic Breast Cancer: Genotyping Based Clinical Trial",2021-11-18,2024-07-31,986 days,Recruiting,Interventional
BCSCO003,Patterns of Breast Cancer Management and Prognosis of Breast Cancer in China,2019-09-05,2025-12-01,2279 days,Not yet recruiting,Observational
SP00049673,Technology-Supported Physical Activity Intervention for Metastatic Breast Cancer Survivors: Fit2ThriveMB,2019-11-26,2021-05-01,522 days,Completed,Interventional
DSCN-EHT-NIS-BC001,A Study to Describe the Real-world Treatment Patterns and Associated Outcomes in Patients of China With HER2-positive Unresectable or Metastatic Breast Cancer,2023-03-15,2023-05-31,77 days,Recruiting,Observational
17-512,Carboplatin +/- Nivolumab in Metastatic Triple Negative Breast Cancer,2018-01-30,2025-06-30,2708 days,"Active, not recruiting",Interventional
SCBCS025,"Palbociclib, Trastuzumab,Pyrotinib and Fulvestrant Treatment in Patients With Brain Metastasis From ER/PR Positive, HER-2 Positive Breast Cancer: A Multi-center, Prospective Study in China",2020-12-04,2024-12-31,1488 days,Recruiting,Interventional
19-239,Study to Evaluate Sacituzumab Govitecan in Combination With Talazoparib in Patients With Metastatic Breast Cancer.,2019-10-09,2024-12-01,1880 days,Recruiting,Interventional
LC2019L06,Adjuvant Chemotherapy for Triple Negative Breast Cancer Patients With Residual Disease After Neoadjuvant Chemotherapy,2020-02-01,2027-12-01,2860 days,Recruiting,Interventional
GEICAM/2016-03,Long-Term Follow-up Study of Early Stage Breast Cancer Patients Included in GEICAM Studies,2018-01-18,2048-01-01,10940 days,Recruiting,Observational
Breast Screening with DWI,Breast Cancer Screening With Diffusion-weighted MRI in Women at High Risk for Breast Cancer,2019-04-03,2022-12-01,1338 days,Unknown status,Observational
HNCH-BC003,Compare the Efficacy of Surgery Combined With Systemic Therapy and Pure Systemic Therapy in Breast Cancer Patients,2020-04-15,2022-05-01,746 days,Withdrawn,Interventional
21-183,"Use of Sentinel Lymph Node Biopsy in Patients With Early-Stage, Palpable Node-Positive HR+/HER2- Breast Cancer Having Upfront Surgery and Adjuvant Radiation",2021-04-20,2024-04-01,1077 days,Recruiting,Observational
02AB21-TucErBit,"A Phase II Study of the Safety, Tolerability and Antitumor Activity of Tucatinib in Combination With Eribulin and Trastuzumab in Patients With Pretreated Unresectable Locally Advanced or Metastatic HER2+ Breast Cancer",2022-11-17,2025-05-26,921 days,Recruiting,Interventional
IRB-48150,68-Ga-RM2 PET/MRI in Imaging Patients With Estrogen Receptor-Positive Breast Cancer,2019-03-19,2024-06-18,1918 days,Suspended,Interventional
ICO-2019-03,Bringing of PET-TDM FDG in the Determination of the Characteristics of Primary Mammary Tumors TrIple Negatives,2019-11-05,2024-10-22,1813 days,"Active, not recruiting",Observational
Soh-Med-23-01-07,Prognostic Value of Some Biochemical Markers in Breast Cancer,2023-02-01,2023-12-01,303 days,Not yet recruiting,Observational
IUSCC-0613,An Initial Safety Study of Gedatolisib Plus PTK7-ADC for Metastatic Triple-negative Breast Cancer,2018-01-19,2020-05-27,859 days,Completed,Interventional
Breast Cancer Screening,Diffusion-Weighted MRI for Breast Cancer Screening in Women With a Personal History of Breast Cancer,2021-06-30,2024-11-30,1249 days,Not yet recruiting,Observational
16-145,Real-Time Assessment Of Breast Cancer Lumpectomy Specimen Margins With Nonlinear Microscopy,2019-07-17,2024-08-01,1842 days,Recruiting,Interventional
A5481144,HR+/ HER2- Advanced/ Metastatic Breast Cancer Real World Treatment Patterns and Outcomes,2019-11-18,2021-02-12,452 days,Terminated,Observational
D133FR00138,ALEXANDRIA Study Egypt,2018-10-29,2021-01-24,818 days,Completed,Observational
State University of São Paulo,Aerobic Training in Treatment for Breast Cancer,2018-07-01,2020-11-30,883 days,Completed,Interventional
21-440,Monitoring for Cancer Spread to the Central Nervous System (CNS) in People With Breast Cancer,2022-07-13,2023-11-01,476 days,Recruiting,Interventional
YM107109E,Breast Cancer Self-Management Mobile Care Application Intervention in the Quality of Life,2019-01-11,2019-07-06,176 days,Completed,Interventional
GEICAM/2020-08,Efficacy and Safety of the Combination of Trastuzumab Plus TUCAtinib Plus viNorelbine in Patients With HER2-positive Non-resectable Locally Advanced or Metastatic Breast Cancer,2023-03-08,2026-08-01,1242 days,Recruiting,Interventional
2023-09,Feasibility of Carbon-Dye Marking of Axillary Lymph Nodes Before Neoadjuvant Chemotherapy in Patients With Breast Cancer,2023-02-07,2024-03-01,388 days,Recruiting,Interventional
ARV-471-BC-201,A Trial Using ARV-471 or Anastrozole in Post-Menopausal Women With Breast Cancer Prior to Surgery,2023-02-15,2024-06-01,472 days,Recruiting,Interventional
grid.412416.4,The Role of Interleukin-7 Serum Level as Biological Marker in Breast Cancer,2018-06-05,2019-12-20,563 days,Completed,Observational
18-333,A Pilot Study of Tomographic Optical Breast Imaging (DBT-TOBI) to Monitor Response to Neoadjuvant Therapy,2019-02-01,2024-12-31,2160 days,"Active, not recruiting",Interventional
MA-BC-II-024,Study of Camrelizumab Plus Chemotherapy as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (TNBC),2021-06-15,2025-06-30,1476 days,Not yet recruiting,Interventional
intestinal flora study,A Study of Diarrhea and Intestinal Flora Changes Caused by Pyrotinib in Breast Cancer,2021-01-18,2022-12-30,711 days,Recruiting,Observational
ML42450,"Real-World Data on Clinical Characteristics, Demographics, and Outcomes of Patients With Metastatic Breast Cancer in Turkey",2021-03-22,2022-08-08,504 days,Completed,Observational
GNC-035-103,"A Study of GNC-035, a Tetra-specific Antibody, in Participants With Locally Advanced or Metastatic Breast Cancer",2021-11-26,2023-11-30,734 days,Recruiting,Interventional
DS8201-A-U301,DS-8201a in Pre-treated HER2 Breast Cancer That Cannot be Surgically Removed or Has Spread [DESTINY-Breast02],2018-08-01,2024-09-01,2223 days,"Active, not recruiting",Interventional
2018-09-007A,Research on the Heterogeneity of Taiwanese Breast Cancer Patients by Next Generation Sequencing (NGS) Tools,2018-11-22,2026-08-31,2839 days,Recruiting,Observational
M18DMB,ModraDoc006/r in Patients With Breast Cancer,2019-01-30,2020-11-09,649 days,Completed,Interventional
Microbiome_BC&PnC,Intestinal Microbiota Impact for Prognosis and Treatment Outcomes in Early Luminal Breast Cancer and Pancreatic Cancer Patients,2022-05-12,2025-08-01,1177 days,Recruiting,Observational
R148/2021,TIL Relation to pCR After Neoadjuvant Therapy in Breast Cancer Patients,2022-07-24,2023-09-01,404 days,Recruiting,Observational
ZNJC201935,Nomogram to Predict Breast Cancer Related Lymphedema,2020-12-11,2027-12-31,2576 days,Recruiting,Interventional
SCHBCC0N026,A Clinical Trial of Breast Cancer Neo-adjuvant Therapy Based on Molecular Pathway in FUSCC,2020-01-20,2021-12-31,711 days,Recruiting,Interventional
MUKDEN-09,"Pyrotinib Combined With Trastuzumab, Dalpiciclib, Letrozole Versus TCbHP (Trastuzumab Plus Pertuzumab With Docetaxel and Carboplatin) as Neoadjuvant Treatment in HR +/HER2 + Breast Cancer",2022-12-20,2027-12-10,1816 days,Recruiting,Interventional
NACAGEP,"Gene Expression Profiling to Help Define the Need for Neo-Adjuvant Chemotherapy in HR+, HER- Breast Cancer Patients",2022-11-14,2024-11-14,731 days,Recruiting,Observational
2017MayPR898,A Communication Skills Package to Prevent Fear of Cancer Recurrence,2018-09-01,2020-02-01,518 days,Unknown status,Observational
RGT-419B_01-101,"First-in-Human Study of RGT-419B Alone and With Endocrine Therapy in Subjects With HR-Positive, HER2-Negative Advanced/Metastatic Breast Cancer",2022-03-04,2024-08-28,908 days,Recruiting,Interventional
NCC 2019-0098,Life Style Modification for Breast Canccer Survivors Using Mobile App-based Human Coaching Program,2019-05-14,2022-06-30,1143 days,Completed,Observational
21-003046,"Analysis of Letrozole in Patients With Operable Hormone Receptor Positive, HER2 Negative Breast Cancer",2022-07-21,2024-06-15,695 days,Recruiting,Interventional
SSGJ-302H-mBC-IIT-01,Cipterbin Combined With Vinorelbine in the Treatment of HER2-positive MBC,2021-01-04,2022-12-30,725 days,Recruiting,Interventional
KY2019-070,Adjuvant Study of Pyrotinib in HER-2 Positive Breast Cancer,2019-12-16,2028-08-01,3151 days,Recruiting,Interventional
A5481155,"Patient Characteristics, Treatment Patterns, and Clinical Outcomes in Patients Diagnosed With HR+/HER2 Advanced/Metastatic Breast Cancer on Palbociclib + Aromatase Inhibitor (AI) Combination Therapy",2020-06-30,2020-12-31,184 days,Completed,Observational
D8530C00001,Study of AZD9833 Alone or in Combination in Women With Advanced Breast Cancer.,2018-10-11,2024-04-15,2013 days,Recruiting,Interventional
APHP191059,BIOPSY SCANNER LLTECH© Technology for Diagnosis of Breast Cancer,2020-04-28,2021-09-15,505 days,Unknown status,Observational
1R01CA236860-01A1,Writing Interventions in Breast Cancer Patients Taking Aromatase Inhibitors,2021-02-01,2025-12-31,1794 days,Recruiting,Interventional
BT006,Blood Brain Barrier Disruption (BBBD) Using MRgFUS in the Treatment of Her2-positive Breast Cancer Brain Metastases,2019-09-18,2022-03-01,895 days,Recruiting,Interventional
310-17-SZMC,Phase 1b Study of Pegylated Liposomal Doxorubicin and Pembrolizumab in Endocrine-resistant Breast Cancer,2019-04-18,2021-06-15,789 days,Unknown status,Interventional
2017-01282 (BASEC),Efficacy of Magnetic Resonance-guided High Intensity Focused Ultrasound for the Ablation of Breast Cancer,2020-01-13,2020-02-05,23 days,Terminated,Interventional
CINDERELLA,Comparing Decision on Aesthetics After Breast Cancer Locoregional Treatment.,2023-06-01,2025-12-01,914 days,Not yet recruiting,Interventional
CCR5214,"Fulvestrant, Ipatasertib and CDK4/6 Inhibition in Metastatic ER+/HER2- Breast Cancer Patients Without ctDNA Suppression",2021-08-01,2024-08-01,1096 days,Not yet recruiting,Interventional
MCC-21757,Genomically Guided Radiation Therapy in the Management of Triple Negative Breast Cancer,2022-11-04,2026-11-01,1458 days,Recruiting,Interventional
K2022-025-01,A Study to Evaluate Inetetamab + Pyrotinib + Chemotherapy in Previously Untreated HER2-Positive Metastatic Breast Cancer,2022-12-10,2025-12-10,1096 days,Not yet recruiting,Interventional
PUMCH-MUSD,A Comparative Study of Mammography and Ultrasound for Breast Cancer Screening and Early Diagnosis,2020-06-12,2023-06-01,1084 days,Recruiting,Observational
0720222005,The Postoperative Radiotherapy in N1 Breast Cancer Patients,2022-08-01,2033-12-31,4170 days,Recruiting,Interventional
D967UC00001,"Trastuzumab Deruxtecan (T-DXd) With or Without Pertuzumab Versus Taxane, Trastuzumab and Pertuzumab in HER2-positive Metastatic Breast Cancer (DESTINY-Breast09)",2021-04-26,2029-12-30,3170 days,Recruiting,Interventional
PLEASURABLE,"Pyrotinib, Dalpiciclib(SHR6390) and Endocrine Therapy in Subjects With Dual-receptor Positive(ER+/HER2+) Advanced Breast Cancer",2019-05-12,2025-12-10,2404 days,"Active, not recruiting",Interventional
21822,"COX Inhibition and Biomarkers During Neoadjuvant Chemoendocrine Therapy for ER+, HER2- Stage I-III Breast Cancer",2019-10-18,2023-04-30,1290 days,Withdrawn,Interventional
CTNZ-2017-01,Pantoprazole Prophylaxis Against Delayed CINV for Patients Receiving Breast Cancer Chemotherapy,2019-06-10,2021-10-15,858 days,Completed,Interventional
20-649,"Radiation, Immunotherapy and PARP Inhibitor in Triple Negative Breast Cancer",2021-07-21,2029-12-01,3055 days,Recruiting,Interventional
2020-08-06R,Early Detection of CMP in Patients With Breast Cancer Using Cardiac Magnetic Resonance,2020-10-30,2023-09-01,1036 days,Recruiting,Observational
Qassim QDs-VELD,Topical Fluorescent Nanoparticles Conjugated Somatostatin Analog for Suppression and Bioimaging Breast Cancer,2019-09-15,2022-12-13,1185 days,Unknown status,Interventional
HR-BLTN-III-EBC,A Study of Evaluating The Effects Of Pyrotinib After Adjuvant Trastuzumab In Women With Early Stage Breast Cancer,2019-07-12,2024-07-31,1846 days,"Active, not recruiting",Interventional
COV-19 BUMDC,COVID-19 Pandemic: Effect on Management of Patients With Breast Cancer,2020-01-01,2021-01-31,396 days,Completed,Observational
14-833-02,Addressing Sexual Concerns in Breast Cancer: Patient Intervention Study,2018-05-27,2019-12-31,583 days,Completed,Interventional
17-519,Atezolizumab + Stereotactic Radiation in Triple-negative Breast Cancer and Brain Metastasis,2018-05-01,2025-09-30,2709 days,"Active, not recruiting",Interventional
Radiotherapy in Breast Cancer,Accelerated Hypofractionated 1 Week Radiotherapy in Breast Cancer Patients,2018-01-01,2019-06-30,545 days,Completed,Interventional
2020-A01423-36,Evaluation of a Plasma Protein Profile as a Predictive Biomarker for Metastatic Relapse in Triple Negative Breast Cancer Patients,2020-11-27,2029-11-09,3269 days,Recruiting,Observational
STML-ELA-0222,Open-Label Umbrella Study To Evaluate Safety And Efficacy Of Elacestrant In Various Combination In Patients With Metastatic Breast Cancer,2023-01-24,2026-08-31,1315 days,Recruiting,Interventional
C3441055,Treatment Patterns and Clinical Outcomes Among Talazoparib-Treated Adults With HER2-Negative mBC With gBRCA1/2m,2021-12-17,2022-06-30,195 days,Completed,Observational
CRF-NHI01,Real-world Clinical Benefit Evaluation in Breast Cancer Patients With Pharmaceutical Interventions for Cancer-related Fatigue,2021-09-08,2023-12-31,844 days,Recruiting,Observational
H-41818,Simvastatin Plus Dual Anti-HER2 Therapy for Metastatic Breast Cancer,2020-03-04,2030-12-01,3924 days,Recruiting,Interventional
CLUE-BCL,Evaluation of the Treatment Response in Breast Cancer Related Lymphedema,2019-07-11,2019-12-11,153 days,Completed,Interventional
nihan25,Women on Breast Cancer Health Belıefs and Screenıng Behavıors,2022-08-15,2023-05-15,273 days,Recruiting,Interventional
2020-0927,Comparative Performance of Molecular Breast Imaging (MBI) to Magnetic Resonance Imaging (MRI) of the Breast in Identifying and Excluding Breast Carcinoma in Women at High Risk for Breast Cancer,2021-12-13,2024-12-31,1114 days,Recruiting,Interventional
2020FES,16α-18F-fluor-17β-estradiol PET/CT for Visualisation of Estrogen Receptor Positive Liver Metastases From Breast Cancer,2020-03-01,2021-03-01,365 days,Unknown status,Interventional
PRO00034502,Tell us Your Food Story,2019-10-01,2020-11-20,416 days,Withdrawn,Observational
Breast cancer in females,Concurrent Paclitaxel and Radiotherapy After Adjuvant Doxorubicin and Cyclophosphamide for Stage 2 or 3 Breast Cancer,2023-09-01,2023-12-01,91 days,Not yet recruiting,Observational
SCLND0919,Clinical Significance of Supraclavicular Lymph Node Dissection for Breast Cancer Patients With Ipsilateral Supraclavicular Lymph Node Metastasis,2019-02-27,2022-04-30,1158 days,Unknown status,Interventional
PUMA-NER-6203,A Study to Characterize Colon Pathology in Patients With HER2 Amplified Breast Cancer Treated With Neratinib,2020-06-30,2021-12-28,546 days,Completed,Interventional
KBCSG-24,Omission of Breast Surgery for Breast Cancer Patients With pCR on MRI and Vacuum-assisted Biopsy After NAC (OPTIMIST),2022-09-22,2031-03-01,3082 days,Recruiting,Interventional
AHQU-2021001,Effect of Oxygen Inhalation on Fatigue After Chemotherapy of Breast Cancer in High Altitude Area,2021-03-01,2022-12-31,670 days,Recruiting,Interventional
Fenofibrate in Breast Cancer,Fenofibrate Role in Breast Cancer Patients,2023-01-01,2024-02-01,396 days,Recruiting,Interventional
AHQU-2021003,Efficacy and Safety of Sintilimab and Apatinib Combined Chemotherapy in Breast Cancer,2021-02-01,2023-01-31,729 days,Recruiting,Interventional
2018LS148,BAriaTric Surgery After Breast Cancer Treatment (BATS),2023-04-01,2025-02-01,672 days,Not yet recruiting,Interventional
PekingUMCH-BCa093,68Ga PET/CT Imaging in Breast Cancer Patients,2022-11-15,2024-12-31,777 days,Recruiting,Interventional
ADA,"An Integrative Intervention Based on Physical Activity, Nutrition and Supportive Care (the ADA Program) to Improve the Quality of Life of Breast Cancer Survivors",2022-12-01,2025-11-01,1066 days,Not yet recruiting,Interventional
514-0213/21-5000,Insulin Sensitivity After Breast Cancer,2021-08-01,2026-09-01,1857 days,Recruiting,Interventional
CentroHLOBreastUnit,HOrmone Therapy Immediately After Histological Diagnosis of Breast Cancer,2018-05-01,2020-05-01,731 days,Unknown status,Interventional
CCR4965,Evaluating a Digital Tool for Supporting Breast Cancer Patients,2019-10-01,2022-12-30,1186 days,"Active, not recruiting",Interventional
GCO 21-0699,"Abemaciclib in Combination With Bicalutamide for Androgen Receptor-positive, HER2-negative Metastatic Breast Cancer",2021-09-29,2024-09-01,1068 days,Recruiting,Interventional
DBCG RT Natural Trial,Partial Breast Versus no Irradiation for Women With Early Breast Cancer,2018-09-05,2035-09-01,6205 days,Recruiting,Interventional
IPNCb-01,Neoadjuvant Inetetamab Combined With Pertuzumab and Paclitaxel/Carboplatin for Breast Cancer,2021-11-01,2023-12-01,760 days,Recruiting,Interventional
CSPC-KAL-BC-12,Paclitaxel Injection (Albumin-bound) for Neoadjuvant Treatment of Breast Cancer,2019-06-01,2024-12-01,2010 days,Not yet recruiting,Interventional
003-2017,Stereotactic Body Radiation Therapy for Breast Cancer,2018-07-17,2023-07-17,1826 days,Recruiting,Interventional
Breast cancer treatment,The Anti-tumor Effect of Metformin And Atorvastatin in Breast Cancer,2022-10-01,2023-09-01,335 days,Not yet recruiting,Interventional
18-561,NIMBUS: Nivolumab Plus Ipilimumab in Metastatic Hypermutated HER2-negative Breast Cancer,2019-03-08,2023-04-19,1503 days,"Active, not recruiting",Interventional
E19137,Predicting Response of Metastatic Triple Negative Breast Cancer to Immunotherapy Based on Patients Cytokine Profile,2019-07-02,2021-05-01,669 days,Suspended,Observational
Vitamin D and breast cancer,Vitamin D and Calcium Supplementation in Breast Cancer,2022-11-01,2023-10-01,334 days,Not yet recruiting,Interventional
SYSEC-KY-KS-2021-182,Quantitative Assessment of Diffusion Spectrum Imaging in Breast Cancer,2021-08-20,2022-08-19,364 days,Recruiting,Interventional
CASE6119,Adjuvant Therapy With an Alpha-lactalbumin Vaccine in Triple-Negative Breast Cancer,2021-10-01,2023-09-01,700 days,Recruiting,Interventional
KX-ORAX-CN-007,A PK Study of Oraxol in Breast Cancer Patients,2019-04-22,2020-12-09,597 days,Completed,Interventional
NCC2018M-042,Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant ),2018-11-01,2021-09-01,1035 days,Unknown status,Interventional
CTO-IUSCCC-0803,Discerning the Impact of ctDNA Detection on Patient Decision Making in Early Stage Breast Cancer: a Conjoint Analysis,2023-01-18,2023-07-31,194 days,Recruiting,Observational
55791222.0.0000.5313,Water and Land-based Aerobic Training in Breast Cancer Survivors,2022-09-01,2025-08-30,1094 days,Not yet recruiting,Interventional
UF-BRE-002,Phase I/IIa Study of Pharmacokinetics and Safety of Epidiferphane™ and Taxanes in Breast Cancer Patients,2020-03-01,2023-03-01,1095 days,Withdrawn,Interventional
18-010602,Screening CEDM in Intermediate and High-Risk Patient Populations,2019-02-15,2021-05-31,836 days,Completed,Observational
GIM21 - LiqERBcept,Liquid Biopsy: Intercepting Mutational Trajectories of HER2 (Human Epidermal Growth Factor Receptor 2) Breast Cancer (GIM21 Trial),2018-11-07,2022-01-12,1162 days,Completed,Interventional
BREAST-SK-001,"Vinorelbine, Cisplatin, Disulfiram and Copper in CTC_EMT Positive Refractory Metastatic Breast Cancer.",2020-01-01,2023-01-01,1096 days,Unknown status,Interventional
LR19/011/50551,Increasing Knowledge of Alcohol as a Risk Factor for Breast Cancer Among Women Attending Breast Screening Services,2021-02-05,2021-12-02,300 days,Completed,Interventional
STU00201961A,A Research Study for Latina Women Undergoing Breast Cancer Treatment,2019-09-10,2022-07-01,1025 days,Completed,Interventional
18-641,"Young, Empowered & Strong (YES): The Young Womens Breast Cancer Study 2- Focus on Intervention Pilot",2019-05-23,2019-09-19,119 days,Completed,Interventional
CLEE011O12301C,A Trial to Evaluate Efficacy and Safety of Ribociclib With Endocrine Therapy as Adjuvant Treatment in Patients With HR+/HER2- Early Breast Cancer,2018-12-07,2026-05-29,2730 days,"Active, not recruiting",Interventional
HIRSLANDEN 01 SAKK 23/18,Intelligent Vacuum Assisted Biopsy Immediately Before Surgery as an Intra- or Pre-Operative Surrogate for Patient Response to Neoadjuvant Chemotherapy for Breast Cancer,2020-08-17,2025-06-01,1749 days,Recruiting,Interventional
CCH-IRB-190414-P,Robotic Versus Conventional or Endoscopic Nipple Sparing Mastectomy in the Management of Breast Cancer-Prospective Study,2019-10-01,2022-02-28,881 days,Recruiting,Interventional
348455,Role of Individualized Intervention(s) in Hormone-Receptor Positive Early-stage Breast Cancer,2018-07-01,2023-12-31,2009 days,"Active, not recruiting",Interventional
SOLTI-2101,Ribociclib vs. Palbociclib in Patients With Advanced Breast Cancer Within the HER2-Enriched Intrinsic Subtype,2022-03-28,2027-03-01,1799 days,Recruiting,Interventional
Zz123456.,The Effect of the Mobile Application-based Support Program on the Outcomes of Breast Cancer Patients in the Pandemic,2022-07-15,2024-02-15,580 days,Recruiting,Interventional
GBG102 - SASCIA,Sacituzumab Govitecan in Primary HER2-negative Breast Cancer,2020-10-28,2029-03-30,3075 days,Recruiting,Interventional
PROICM 2018-05 BCU,Sexual Quality of Life in Women During the First Year of Adjuvant Hormonal Treatment for Breast Cancer.,2018-05-02,2019-10-30,546 days,Completed,Observational
CAAE: 91570318.5.0000.5149,Nutritional Status and Pharmacological Treatment: Impact on the Toxicity and Quality of Life of Patients With Colorectal and Breast Cancer,2018-11-01,2019-12-01,395 days,Unknown status,Observational
FWA00015574/6-01-2019/korany,Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment,2019-10-20,2020-06-30,254 days,Completed,Interventional
SYSKY-2022-030-01,Distribution of the Homologous Recombination-related (HRR) Genesmutationsand HRD in Breast Cancer,2022-07-15,2027-05-31,1781 days,Not yet recruiting,Observational
UI-ROD-OCTU02,MicroRNA Profiles in Triple Negative Breast Cancer,2021-11-29,2023-08-01,610 days,Recruiting,Interventional
KY20182079-F-1,Breast Cancer Treatment Based on Organ-like Culture,2019-01-02,2021-12-15,1078 days,Unknown status,Observational
PN-301-21,"Therapeutic Cancer Vaccine (AST-301, pNGVL3-hICD) in Patients With Breast Cancer",2022-02-28,2025-12-01,1372 days,Recruiting,Interventional
Radiation in breast cancer,Hypofractionated Radiotherapy Concomitantly With Weekly Boost for Breast Cancer Patients Treated With Conservative Breast Surgery,2021-12-01,2023-04-01,486 days,Unknown status,Observational
4-2018-0160,Impact of 5-fraction Stereotactic Partial Breast Irradiation and Whole Breast Irradiation on Cosmetic Outcome and Patient-reported Outcomes in Early-stage Breast Cancer,2018-04-11,2023-04-11,1826 days,Unknown status,Observational
ROCK,Radiotherapy in Preoperative Setting With CyberKnife for Breast Cancer,2018-05-01,2024-05-01,2192 days,Recruiting,Interventional
SOLTI-1805,"A Window-of-opportunity Study of U3-1402, a HER3-targeting Antibody-drug Conjugate in Operable Breast Cancer According to ERBB3 Expression",2020-12-22,2023-04-30,859 days,Recruiting,Interventional
KY20202075-F-2,Anlotinib Combined With Chemotherapy and Neoadjuvant Therapy for Hormone Receptor-positive HER-2 Negative Breast Cancer,2022-11-30,2025-07-30,973 days,Recruiting,Interventional
06805118.2.1001.5404,Sentinel Lymph Node Biopsy Versus no Axillary Surgery in Early Breast Cancer,2019-10-02,2030-10-02,4018 days,Recruiting,Interventional
ID4060,Atezolizumab With Nab-paclitaxel for Patients With Triple-negative Stage IV Breast Cancer,2019-11-01,2022-05-31,942 days,Completed,Observational
AN.MCME.CR.12,Pembrolizumab And Tamoxifen Among Women With Advanced Hormone Receptor Positive Breast Cancer And Esr1 Mutation,2019-08-01,2022-08-01,1096 days,Unknown status,Interventional
MedOPP293,Chemotherapy-Free pCR-Guided Strategy With Trastuzumab-pertuzumab and T-DM1 in HER2-positive Early Breast Cancer,2021-08-05,2028-03-01,2400 days,Recruiting,Interventional
iOM-110383,A Study to Compare Pertuzumab + Trastuzumab + Vinorelbine vs. Placebo + Trastuzumab + Docetaxel in Previously Untreated HER2-positive Metastatic Breast Cancer,2019-01-01,2019-04-01,90 days,Withdrawn,Interventional
IRST174.25,Partial Breast Re-irradiation in Women in Women With Locally Recurrent Breast Cancer Previously Treated With Conservative Surgery and Whole Breast Irradiation,2023-03-31,2032-03-01,3258 days,Recruiting,Interventional
EUROPA,ExclUsive endocRine Therapy Or Radiation theraPy for Women Aged ≥70 Years Early Stage Breast Cancer,2021-02-08,2030-02-08,3287 days,Recruiting,Interventional
HM022BC3C01,A Phase Ⅲ Study of the Efficacy and Safety of Hemay022+Aromatase Inhibitor(AI) in Participants With ER+/HER2+ Advanced or Metastatic Breast Cancer,2022-01-19,2024-06-01,864 days,Recruiting,Interventional
UF-BRE-007,Pharmacokinetics and Safety of Epidiferphane and Taxanes in Breast Cancer Patients,2023-03-22,2026-01-01,1016 days,Recruiting,Interventional
SOLTI-2103,NeoadjuVAnt muLti-agENT Chemotherapy or Patritumab Deruxtecan With or Without endocrINE Therapy for High-risk HR+/HER2- Breast Cancer - VALENTINE Trial,2022-11-25,2030-07-31,2805 days,Recruiting,Interventional
SOLTI-1503,Combination of Talimogene Laherparepvec With Atezolizumab in Early Breast Cancer,2018-12-10,2025-04-27,2330 days,"Active, not recruiting",Interventional
0023041/i,MONOCENTRIC PERSPECTIVE STUDY: USE OF LIQUID BIOPSY WITH DIAGNOSTIC IMAGING,2022-09-12,2025-09-22,1106 days,Recruiting,Observational
LQ009,Adjuvant Albumin-bound Paclitaxel Versus Taxanes in Breast Cancer: a Real-world Study,2022-03-01,2027-09-01,2010 days,Not yet recruiting,Interventional
BGB-900-2001-IIT,"A Phase II Study to Explore the Safety, Tolerability, and Preliminary Antitumor Activity of Sitravatinib Plus Tislelizumab or Combination With Nab-paclitaxel in Patients With Locally Recurrent or Metastatic Triple Negative Breast Cancer (TNBC)",2021-04-01,2023-06-30,820 days,Recruiting,Interventional
CLEE011H2301,Adjuvant Ribociclib With Endocrine Therapy in Hormone Receptor+/HER2- Intermediate Risk Early Breast Cancer,2018-03-31,2025-11-17,2788 days,Withdrawn,Interventional
