ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
SCAN-B-rec,Observational,,Diagnostic Test,,Cohort,10 Years,Non-Probability Sample,
LMengmeng,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
XZP-3287-3002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
R21-072,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
HCI131027,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SCHBCC-N025,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ERC/2020/10/11 (26/10/2020),Interventional,No Intervention,Device,Parallel Assignment,,,,Not Applicable
19-055,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
SLNB-ACP,Observational,,,,Cohort,6 Years,Non-Probability Sample,
AI-BMRI,Observational,,Other,,Cohort,,Probability Sample,
2019/1318,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20F.259,Interventional,Experimental,Procedure,Single Group Assignment,,,,"Phase 2, Phase 3"
BC-P29,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
Smart,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
OMICS Mark,Observational,,Drug,,Case-Control,5 Years,Non-Probability Sample,
RS-NAT01,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
SMX 20-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2021/32,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
BOMB,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
XuzhouMedSch3,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
MC220301,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
FUSCC-TNBC-BLIS,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
TeMP 2021,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
SMC 2018-07-014-011,Observational,,Drug,,Case-Only,12 Months,Non-Probability Sample,
D931CC00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
WuhanU,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
2022-017,Observational,,Other,,Cohort,,Probability Sample,
Stage 1 Compression Therapy,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
GEICAM/2018-03,Observational,,,,Cohort,10 Years,Non-Probability Sample,
018-745,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 2
4298,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20-371,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
HBMUFH-101,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
2019-KY-051,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
GCX-BCT-06,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Not Applicable
213355,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
2022-0056,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
20192755,Interventional,No Intervention,Drug,Parallel Assignment,,,,Phase 2
K3_K1_2,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MEDOPP437,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
BC-P31,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
EORTC-1550-BCG,Observational,,Procedure,,Cohort,,Non-Probability Sample,
D9670C00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ACR A4707,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
42127,Observational,,Genetic,,Cohort,,Non-Probability Sample,
handan1,Observational,,Diagnostic Test,,Case-Control,3 Years,Probability Sample,
IOM-120465,Observational,,Drug,,Cohort,,Non-Probability Sample,
2-025-19,Observational,,Procedure,,Case-Control,,Probability Sample,
OTT 20-11 (IT-02),Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PREBCA,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
OBU-SC-BB-BC-II-010,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
20-09022641,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 2
D9673R00025,Observational,,Other,,Other,,Non-Probability Sample,
SaglikBilimleriU_DU,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
mTPVB SPPB Ver 2,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
SYSKY-2023-129-01,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
R868/18-IEO 916,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
309424,Observational,,Radiation,,Case-Control,,Non-Probability Sample,
Melody_001,Observational,,Other,,Cohort,,Non-Probability Sample,
19-1812.cc,Observational,,,,Cohort,,Probability Sample,
UW20035,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
I3Y-NS-O003,Observational,,Drug,,Case-Only,,Probability Sample,
ID-TMS-02-20201012,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
CABC012,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
ACE-Breast-07,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2019-053,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
SNB vs PET/MRI 1,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
AITIC,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
NIHR 128311,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
Pro00104868,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
RG_16-108,Observational,,Procedure,,Cohort,,Probability Sample,
STUDY00000023,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2022/0132,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
2021C0128,Observational,,,,Cohort,,Non-Probability Sample,
GMI-1359-210,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
20_RIPH3_06,Observational,,Other,,Cohort,,Probability Sample,
SHERO,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
MA-BC-II-023,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
0494-22-RMB,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
ICO-A-2018-10,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
IRB_00162526,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
REG-074-2020,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
Woman health,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
CSIIT-C39,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
99mTc-ZHER2,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
HCC 22-003,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
FAST-F-PG01,Observational,,Radiation,,Cohort,,Non-Probability Sample,
20-001670,Observational,,Procedure,,Cohort,,Non-Probability Sample,
CSIIT-C03,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
IBCSG 55-17,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
WO42633,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
2022-05093-02,Interventional,No Intervention,Radiation,Parallel Assignment,,,,Not Applicable
NRG-BR007,Interventional,Active Comparator,Other,Parallel Assignment,,,,Phase 3
NCCH2113,Observational,,,,Cohort,3 Years,Probability Sample,
YU-FTR-ST-01,Observational,,,,Case-Only,,Non-Probability Sample,
CLP0008,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Phase 2
18-040,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
UPCC 01121,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
Molecular imaging of HER2,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
OP-1250-002,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
GEICAM/2018-06,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
26272819.3.0000.0068,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
SA20I0060,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
1094/2020,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
Soh-Med-23-01-34,Observational,,,,Other,,Probability Sample,
WO42133,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
110-163-F,Interventional,Other,Procedure,Single Group Assignment,,,,Not Applicable
KN035-TH-HER2,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
MUKDEN 06,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
HNCH-MBC09-BM03,Observational,,,,Cohort,,Non-Probability Sample,
COSMOPOLITAN,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Not Applicable
21-VIN-0166/SAN-0647,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 1
E19059,Observational,,,,Cohort,,Probability Sample,
ISB 1302-103,Interventional,Experimental,Biological,Parallel Assignment,,,,"Phase 1, Phase 2"
0063-17,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
M16-735,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NCT20210157-AI-ROL,Observational,,Other,,Cohort,,Non-Probability Sample,
19-524,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
HR-BLTN-002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CTO-IUSCC-0684,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
Tele-Relax,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
NCC1865,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
KCSG BR18-16,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
D9673R00028,Observational,,,,Cohort,,Non-Probability Sample,
LY01005/CT-CHN-303,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
IFG-08-2019,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
BC-Genetics,Observational,,,,Cohort,,Probability Sample,
XZP-3287-3001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
A5481126,Interventional,Other,Device,Single Group Assignment,,,,Not Applicable
GEP,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019/2632,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
UMMCHTNBC,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
BTCRC-BRE18-337,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
J18138,Interventional,Other,Procedure,Single Group Assignment,,,,Not Applicable
19-09020752,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 2
RC31/21/0368,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
20-503,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
PGG-BCA2121 / MK-3475-C99,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
ACTRN1261000928213,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
Pro2020002182,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
160178,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MRG002-004,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
BC-Pyrotinib-NVB,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYSUCC-016,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
19-396,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
Shengjing-LJY07,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
HMPL-012-SPRING-R103,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
CA209-7FL,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
NCC2021291,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
2022-A02271-42,Observational,,Other,,Cohort,,Non-Probability Sample,
20-2338,Interventional,Other,Behavioral,Parallel Assignment,,,,Not Applicable
CNIL-2033408,Observational,,,,Cohort,,Non-Probability Sample,
22-5307,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CEP0431/2018 arm 2,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
MA-BC-II-035,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
F2017000 (UAB 17112),Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
REG-028-2021,Observational,,Other,,Cohort,12 Months,Probability Sample,
22040,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CTMS 17-0037,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
D0816R00025,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
201801559A3,Observational,,Combination Product,,Cohort,,Non-Probability Sample,
MedOPP238,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
BTCRC-BRE19-409,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2020-0342,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
25IB-0023,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
919PP18,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
18-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
CMTNCMB,Observational,,Combination Product,,Other,,Probability Sample,
ZYYY-BC-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CAAE: 82691818.0.0000.5154,Interventional,Other,Other,Parallel Assignment,,,,Not Applicable
2022/0226,Observational,,Other,,Case-Control,,Probability Sample,
PMD-026-1-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
SYSUCC-011,Observational,,,,Cohort,,Probability Sample,
18432,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
2020-KY-140,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2020-KY-125,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CAAE 42627521600005274,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20-1866.cc,Observational,,Behavioral,,Cohort,,Probability Sample,
20201101.2,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYSUCC-008,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
S64752,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
SURVIVE,Interventional,Active Comparator,Diagnostic Test,Parallel Assignment,,,,Not Applicable
4352,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CDR0000643461,Observational,,Other,,Case-Only,,Non-Probability Sample,
SPHIC-TR-BCa2022-02,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
KCSG BR22-20,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CRE2018013,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
IRB_00137018,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
2022-0353,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Phase 1
MCC-19765,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
OSU-21065,Observational,,Procedure,,Cohort,,Non-Probability Sample,
LCCC 1931,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
A5481167,Observational,,Drug,,Cohort,,Probability Sample,
4-2018-0264,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2018/TMC/133/IRB/31,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Not Applicable
ENDO-RESIST,Observational,,,,Cohort,,Probability Sample,
BRE 354,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 2
IR-1.1,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
SYSUCC-017,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IB 2015-01,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
20-5215.0,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
MEN1611-01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
21-325,Observational,,Procedure,,Cohort,,Non-Probability Sample,
SGNTUC-028,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
EORTC QLQ BR45,Observational,,,,Cohort,,Non-Probability Sample,
SYSUCC-020,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BC-RWS,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
C4891001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
1234,Observational,,,,Case-Control,,Non-Probability Sample,
CCR4884,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
BreastctDNA01,Observational,,Genetic,,Other,,Probability Sample,
2016-0537,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
69HCL21_1085,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
SGNTUC-025,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
AIRC IG-23118,Interventional,Experimental,Radiation,Single Group Assignment,,,,"Phase 1, Phase 2"
3-2021-0026,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BC-P26,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
STU-2022-0385,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
KOTK/2022/12550,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
SCHBCC-N029,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PUMCH-MIRC213,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
A5481145,Observational,,Drug,,Case-Only,,Non-Probability Sample,
TMS01190510,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
Concordance,Observational,,Procedure,,Cohort,,Non-Probability Sample,
1752/20,Interventional,No Intervention,Radiation,Parallel Assignment,,,,Phase 2
IMAP-CM,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SRB_201808_163,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
UW16151,Observational,,Drug,,Cohort,,Non-Probability Sample,
SMC 2020-11-051,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
6037248,Observational,,,,Cohort,,Non-Probability Sample,
2016-A01344-47,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
1807187-2,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
Lilly-I3Y-US-I026,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
D8532C00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
21-159,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
RG1121129,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
TJ-IRB20211128,Observational,,,,Case-Only,,Probability Sample,
UC-BCG-2103,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
21-123,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Phase 2
Ketogenic Diet,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
20-172,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CMUH108-REC1-113,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
ALT-P7,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
I236,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2019-7-Non-NSU Health,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
131916,Observational,,,,Cohort,,Non-Probability Sample,
GCO 17-1585,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
FNF201830,Observational,,Genetic,,Other,,Non-Probability Sample,
DRLCOLCT001,Observational,,Drug,,Cohort,,Non-Probability Sample,
PRO00028602,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
D0816C00018,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
HUB-PSI-CAMAD,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
REP0121,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
SBMASTER,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
AMCI-001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
Fukui-2019-1,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
PRO00028925,Interventional,Other,Other,Parallel Assignment,,,,Phase 2
K160913J,Interventional,Experimental,Genetic,Single Group Assignment,,,,Not Applicable
Genetic study and TDM,Observational,,Drug,,Cohort,,Non-Probability Sample,
N-20180090,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
FDRT-BC016,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
RF-2016-02363686,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
UPCC 10117,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
A231901CD,Interventional,Experimental,Other,Factorial Assignment,,,,Not Applicable
22/409-3611,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
YDPLD191016-I1-SYSU-001,Observational,,Other,,Cohort,1 Week,Probability Sample,
BC-CIH-H-RWS,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
4-2020-1453,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB15-1005,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
LCCC1820,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
GC101-21K177,Interventional,Experimental,Biological,Single Group Assignment,,,,Early Phase 1
2019.046,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2020-004696-41,Interventional,No Intervention,Drug,Parallel Assignment,,,,Phase 2
V3002401,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
2021-0768,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
FDRT-BC008,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
A5481136,Observational,,Drug,,Cohort,,Probability Sample,
TILS001 trial,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
SYSEC-KY-KS-2022-056,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
S1709-101-888,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ARV-471-mBC-102,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
BR01/02/21,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
MA-BC-II-020,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
69HCL16_0536,Observational,,Behavioral,,Other,,Non-Probability Sample,
NL68820.091.19,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
6010121027,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
FS-1502-III1-01,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 3
IIT-0026,Observational,,Radiation,,Case-Only,,Non-Probability Sample,
LCCC2241,Observational,,Other,,Cohort,,Non-Probability Sample,
2020-0708,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
NCC2493,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
20-347,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 2
2018-A01128-47,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
ICO 13-001,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
SCBCG-006,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
LRP/PegGCSF/2016/004,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
GRACE,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
21-600,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
114,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
YLiu,Observational,,Drug,,Cohort,,Probability Sample,
IIT2018-17-McArthur-TCDRT,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
20 KHCC 91,Interventional,Other,Radiation,Single Group Assignment,,,,Not Applicable
SYSUCC-019,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
IIT-CRM2020001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2018-A02191-54,Observational,,,,Cohort,,Probability Sample,
2020-154,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
CTO-IUSCC-0715,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
CLEE011ABR02,Observational,,Drug,,Cohort,,Non-Probability Sample,
SP0048722,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
38341220.8.0000.0072,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Not Applicable
Neo-ACT,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
CH-BC-059,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
07102022_SR,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
GO42784,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
145314,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,"Phase 1, Phase 2"
New theory(Tamoxifen&retinoic),Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
20-505,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
RadiaAce001,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
Neo-program 2021.02.23,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
ARV-471-mBC-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
275078,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
IIT-2017-NeoPACT,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2021000247,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
REaCT-70,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 4
BTCRC-BRE16-042,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
TVD-101-002B,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
20-0140-A,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
D9673R00004,Observational,,Other,,Cohort,,Non-Probability Sample,
CA209-929,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
SYSEC-KY-KS-2019-099,Observational,,Drug,,Cohort,,Non-Probability Sample,
Glnz87?,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
GIM24-PALBO-BP,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
18-115,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
IBISCO Trial,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
NBC Che001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
IC 2021-08,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
AI Yoga Study on Facebook - 1,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
6222/22.03.2017,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
SYSEC-KY-KS-2019-055-001,Observational,,Other,,Cohort,,Non-Probability Sample,
EUBREAST-01,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
1216-4-011,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Not Applicable
UPCC 15121,Interventional,Experimental,Behavioral,Factorial Assignment,,,,Not Applicable
OMERIC-1904,Interventional,,Procedure,Single Group Assignment,,,,Not Applicable
21-161,Observational,,,,Case-Control,,Non-Probability Sample,
