ID,title,actual_duration,status,study_type,fda_regulated_drug,fda_regulated_device,responsible_party,enrollment_count
2019-7-Non-NSU Health,Assessing the Utility of Tissue Dielectric Constant (TDC) Measurements to Differentiate Breast Cancer From Healthy Breasts,2.8958904109589043,Completed,Interventional,No,Yes,Sponsor,60
131916,Financial Toxicity in Breast Cancer Surgery,2.5452054794520547,Recruiting,Observational,No,No,Sponsor,630
GCO 17-1585,Neoadjuvant Dose-Dense For Early Her2Neu Positive Breast Cancer,1.3287671232876712,Terminated,Interventional,Yes,No,Principal Investigator,7
FNF201830,Health-promoting Lifestyle in a Genetic Counseling Clinic,2.3068493150684932,Completed,Observational,No,No,Principal Investigator,140
DRLCOLCT001,"Effectiveness and Safety of Fulvestrant in Postmenopausal Women With Advanced Breast Cancer HR+, HER2-",1.3342465753424657,Recruiting,Observational,Yes,No,Sponsor,40
PRO00028602,Docetaxel Chemotherapy and Pembrolizumab Plus Interleukin-12 Gene Therapy in Triple Negative Breast Cancer,3.378082191780822,Recruiting,Interventional,Yes,No,Principal Investigator,30
D0816C00018,To Study Clinical Effectiveness and Safety of Olaparib Monotherapy in Metastatic Breast Cancer Patients.,3.7260273972602738,Completed,Interventional,Yes,No,Sponsor,256
HUB-PSI-CAMAD,Antidepressant Efficacy of Psychotherapy and Citalopram in Patients With Breast Cancer and Major Depression,0.136986301369863,Terminated,Interventional,No,No,Principal Investigator,40
REP0121,To Assess Efficacy and Safety of Oral Reparixin in Patients With Fatigue and Locally Advanced / Metastatic Breast Cancer,2.202739726027397,Withdrawn,Interventional,Yes,No,Sponsor,0
SBMASTER,The MASTER Study (MAmmary Cancer STatin ER Positive Study),14.0,Recruiting,Interventional,Yes,No,Principal Investigator,3360
AMCI-001,PalbocIclib in PreMenopausal Women With ER Positive/HER-2 Negative MetAstatic Breast Cancer,4.572602739726028,Recruiting,Interventional,Yes,No,Sponsor-Investigator,160
Fukui-2019-1,Exercise Post-Diagnosis of Breast Cancer,7.016438356164383,Recruiting,Interventional,No,No,Sponsor,165
PRO00028925,"Fulvestrant+Abemaciclib With or Without Run-In of Fulvestrant in Er-Positive, Her2-Negative Metastatic Breast Cancer",5.767123287671233,Recruiting,Interventional,Yes,No,Principal Investigator,56
K160913J,Evaluation of Individual Sensitivity to the Gonadotoxicity of Chemotherapy in Young Patients With Breast Cancer,7.758904109589042,"Active, not recruiting",Interventional,No,No,Sponsor,73
Genetic study and TDM,Genetic Study of CYP2D6 Enzyme and Therapeutic Drug Monitoring of Tamoxifen,1.252054794520548,Unknown status,Observational,No,No,Principal Investigator,100
N-20180090,Analgesic Effect of Resistance Training for Breast Cancer Survivors,1.1205479452054794,Completed,Interventional,No,No,Principal Investigator,20
FDRT-BC016,Neoadjuvant Radiation in Locally Advanced Breast Cancer,4.756164383561644,Recruiting,Interventional,No,No,Principal Investigator,50
RF-2016-02363686,Tomosynthesis as Primary Test for Breast Cancer Screening,6.964383561643835,Recruiting,Interventional,No,No,Sponsor,8000
UPCC 10117,"Gedatolisib, Hydroxychloroquine or the Combination for Prevention of Recurrent Breast Cancer (GLACIER)",0.7095890410958904,Withdrawn,Interventional,Yes,No,Sponsor,0
A231901CD,Improving Patient-Centered Communication in Breast Cancer Through Patient and Provider Interventions,5.964383561643835,Recruiting,Interventional,No,No,Sponsor,700
22/409-3611,Ultra-hypofractioNated Adjuvant Radiotherapy ± sImultaneous Integrated Boost for Low-risk Breast Cancer Patients,8.005479452054795,Recruiting,Interventional,No,No,Principal Investigator,65
YDPLD191016-I1-SYSU-001,Biomarkers of Liposomal Doxorubicin Induced Hypersensitivity Reaction in Breast Cancer Patients,2.3917808219178083,Recruiting,Observational,No,No,Sponsor,20
BC-CIH-H-RWS,H (Trastuzumab or Biosimilar) Combined With CDK4/6 Inhibitor + AI±OFS in the Treatment of HR+HER2+ Advanced Breast Cancer Efficacy and Safety: a Chinese Multi-center Real World Study,2.5835616438356164,Recruiting,Interventional,No,No,Sponsor,40
4-2020-1453,"Pembrolizumab and Paclitaxel in Hormone Receptor-positive, hyperMUTATted Metastatic Breast Cancer Identified by Whole exOme sequeNcing (MUTATION2)",1.4191780821917808,Not yet recruiting,Interventional,No,No,Sponsor,52
IRB15-1005,Assessing the Response Rate of Neo-adjuvant Paclitaxel (Taxol) in Nigerian Women With Breast Cancer,0.5808219178082191,Withdrawn,Interventional,Yes,No,Sponsor,0
LCCC1820,Parsaclisib in Newly Diagnosed Stage I-IIIC Triple Negative or HER2+ Breast Cancer,0.2684931506849315,Withdrawn,Interventional,Yes,No,Sponsor,0
GC101-21K177,Study on TIL for the Treatment of Advanced Breast Cancer,3.0876712328767124,Recruiting,Interventional,No,No,Sponsor,50
2019.046,Lifestyles and Breast Cancer,4.512328767123288,Recruiting,Interventional,No,No,Principal Investigator,766
2020-004696-41,Impact of Neoadjuvant Immunotherapy in Early Stage Breast Cancer Before Standard Therapy,2.9397260273972603,Recruiting,Interventional,No,No,Sponsor,210
V3002401,Efficacy Evaluation of Enobosarm Monotherapy in Treatment of AR+/ER+/HER2- Metastatic Breast Cancer,1.7972602739726027,"Active, not recruiting",Interventional,Yes,No,Sponsor,210
2021-0768,A Radiotracer ([18F]FluorThanatrace) by PET/CT for the Imaging of Breast Cancer,4.389041095890411,Recruiting,Interventional,No,No,Sponsor,36
FDRT-BC008,Hypofractionated Vs Conventional Fractionated Postmastectomy Radiotherapy for High Risk Breast Cancer,10.169863013698631,Recruiting,Interventional,No,No,Principal Investigator,1494
A5481136,Treatment Patterns and Clinical Outcomes Among Patients Receiving Palbociclib Combinations for Hormone Receptor Positive (HR+)/Human Epidermal Growth Factor Receptor 2 Negative (HER2 ) Advanced/Metastatic Breast Cancer in the Arabian Gulf Region,0.915068493150685,Recruiting,Observational,,,Sponsor,665
TILS001 trial,Treatment of Advanced or Metastatic Triple-negative Breast Cancer With Adoptive Therapy of PD1+ TILS,5.186301369863013,Not yet recruiting,Interventional,No,No,Sponsor,20
SYSEC-KY-KS-2022-056,Study on the Correlation Between the Quantitative Parameters of Mr Mean Cell Size Imaging and the Histopathological Characteristics of Breast Cancer,1.1397260273972603,Not yet recruiting,Interventional,No,No,Principal Investigator,200
S1709-101-888,Window of Opportunity Trial of Neoadjuvant Olaparib and Durvalumab for Triple Negative or Low ER+ Breast Cancer,4.506849315068493,"Active, not recruiting",Interventional,No,No,Principal Investigator,54
ARV-471-mBC-102,"ARV-471 in Combination With Everolimus for the Treatment of Advanced or Metastatic ER+, HER2- Breast Cancer",1.4,Recruiting,Interventional,Yes,No,Sponsor,32
2020-07-064-002,Improvement of Range of Motion in Frozen Shoulder in Breast Cancer Survivors,1.180821917808219,Completed,Interventional,No,No,Principal Investigator,28
BR01/02/21,"Lenvatinib+Letrozole Versus Fulvestrant in Metastatic ER+/HER2- Breast Cancer, Post Progression on Al + CDK4/6 Inhibitor",3.5972602739726027,Recruiting,Interventional,No,No,Sponsor,120
MA-BC-II-020,Pyrotinib Versus Pertuzumab in Combination With Neoadjuvant Trastuzumab and Nab-Paclitaxel in HER2+ Early or Locally Advanced Breast Cancer,4.589041095890411,Not yet recruiting,Interventional,Yes,No,Sponsor,490
69HCL16_0536,Facilitate and Sustain Return to Work After Breast Cancer,2.5315068493150683,Recruiting,Observational,No,No,Sponsor,420
NL68820.091.19,Minimal Invasive Breast Cancer Excision Using Vacuum Assisted Biopsy Under Ultrasound Guidance,2.3315068493150686,Recruiting,Interventional,No,No,Sponsor,170
6010121027,Protection of Cardiovascular Function With Crocin in BrEast Cancer Patients Undergoing Radiotherapy and Chemotherapy,2.493150684931507,Recruiting,Interventional,No,No,Sponsor,120
FS-1502-III1-01,FS-1502 Versus T-DM1 for HER2-Positive Unresectable Locally Advanced or Metastatic Breast Cancer,2.841095890410959,Not yet recruiting,Interventional,No,No,Sponsor,314
IIT-0026,Prognostic Indicators for Radiation-induced Breast Fibrosis,3.671232876712329,Not yet recruiting,Observational,No,No,Sponsor,44
LCCC2241,Assessing Functional Status Needs Via PRO Measures for Pts With Metastatic Breast Cancer,0.7726027397260274,Not yet recruiting,Observational,No,No,Sponsor,50
2020-0708,"Culturally Based Brief Expressive Writing Intervention for the Improvement of Health in Chinese Immigrant Stage 0-III Breast Cancer Survivors, Writing to Heal Study",4.693150684931507,Recruiting,Interventional,No,No,Sponsor,240
NCC2493,Radiotherapy for Extracranial Oligometastatic Breast Cancer,5.068493150684931,Recruiting,Interventional,No,No,Principal Investigator,170
20-347,"A Single Arm Phase II Study of ADjuvant Endocrine Therapy, Pertuzumab, and Trastuzumab for Patients With Anatomic Stage I Hormone Receptor-positive, HER2-positive Breast Cancer",9.643835616438356,Recruiting,Interventional,Yes,No,Principal Investigator,375
2018-A01128-47,EMDR Psychotherapy for Anxious-depressive Symptoms in Breast Cancer Patient,7.257534246575342,Recruiting,Interventional,No,No,Sponsor,190
ICO 13-001,Biomarker Study of the Antitumoral Activity of Denosumab in the Pre- Operative Setting of Early Breast Cancer,4.5917808219178085,"Active, not recruiting",Interventional,No,No,Sponsor,60
SCBCG-006,A Study of the Addition of Metronomic Capecitabine to Standard Adjuvant Therapy in High Risk HER2+ BC paTients,10.443835616438356,Recruiting,Interventional,No,No,Principal Investigator,794
LRP/PegGCSF/2016/004,Immunogenicity Assessment of Peg-filgrastim vs. Neulasta® as Adjunct to Chemotherapy in Patients With Breast Cancer,0.8465753424657534,Completed,Interventional,Yes,No,Sponsor,138
GRACE,GQ1001 Combined With Pyrotinib for Treatment With HER2 Positive Metastatic Breast Cancer,1.252054794520548,"Active, not recruiting",Interventional,No,No,Principal Investigator,75
21-600,Early Intervention,2.082191780821918,Not yet recruiting,Interventional,No,Yes,Principal Investigator,40
114,The Effect of Reiki on Symptom Control and Quality of Life in Breast Cancer Patients,0.5780821917808219,Not yet recruiting,Interventional,No,No,Principal Investigator,52
YLiu,Targeted Next Generation Sequencing for the Efficacy of Trastuzumab Neoadjuvant Chemotherapy in Breast Cancer,1.5013698630136987,Recruiting,Observational,No,No,Principal Investigator,100
IIT2018-17-McArthur-TCDRT,"Pre-operAtive Non-Anthracycline Chemotherapy, Durvalumab +/- RAdiation Therapy in Triple Negative Breast Cancer",5.002739726027397,Withdrawn,Interventional,Yes,No,Sponsor,0
20 KHCC 91,SBRT for Breast Cancer Oligometastases,6.002739726027397,Recruiting,Interventional,No,No,Principal Investigator,50
SYSUCC-019,"Tucidinostat and Metronomic Capecitabine for Metastatic Triple-negative Breast Cancer:a Multicenter,Open-label, Randomized Controlled, Phase II Clinical Trial",2.336986301369863,Recruiting,Interventional,No,No,Sponsor-Investigator,126
IIT-CRM2020001,Efficacy of Talazoparib in Asian Metastatic Breast Cancer Patients With a Homologous Recombinant Deficiency (HRD) Signature,3.654794520547945,Recruiting,Interventional,No,No,Principal Investigator,55
2018-A02191-54,Needs Assessment After Cancer in Patients Treated for Breast Cancer,0.16986301369863013,Completed,Observational,No,No,Sponsor,139
2020-154,Photobiomodulation Therapy for the Management of Breast Cancer-related Lymphedema,6.945205479452055,Recruiting,Interventional,No,No,Sponsor,104
CTO-IUSCC-0715,Pilot Study of a an App to Improve Medication Adherence in Breast Cancer Survivors Receiving AIs,2.4767123287671233,Completed,Interventional,No,No,Principal Investigator,62
CLEE011ABR02,Ribociclib in Combination With Non-steroidal Aromatase Inhibitors in Patients With Advanced Breast Cancer,0.6027397260273972,Completed,Observational,,,Sponsor,76
SP0048722,Optimizing Quality of Life in Women Living With Metastatic Breast Cancer,1.873972602739726,Completed,Interventional,No,No,Principal Investigator,31
38341220.8.0000.0072,"Accelerated Partial Breast Irradiation Versus Standard or Hypofractionated Whole-Breast Irradiation, in Early Breast Cancer, After Breast-conserving Surgery",5.83013698630137,Recruiting,Interventional,No,No,Principal Investigator,36
Neo-ACT,Physical Exercise During Preoperative Chemotherapy for Breast Cancer,5.063013698630137,Recruiting,Interventional,No,No,Principal Investigator,712
CH-BC-059,A Study to Evaluate Exemestane Tablets Combined With Ovarian Function Suppression/Ablation in Treatment of Premenopausal Breast Cancer Patients With CYP2D6*10 Mutations （STEP）,5.227397260273973,Enrolling by invitation,Interventional,Yes,No,Principal Investigator,300
07102022_SR,Consciousness-based Ayurveda Lifestyle Program for Improving Quality of Life in Survivors of Breast Cancer,0.7479452054794521,"Active, not recruiting",Interventional,No,No,Sponsor-Investigator,15
GO42784,"A Study Evaluating the Efficacy and Safety of Adjuvant Giredestrant Compared With Physicians Choice of Adjuvant Endocrine Monotherapy in Participants With Estrogen Receptor-Positive, HER2-Negative Early Breast Cancer (lidERA Breast Cancer)",12.243835616438357,Recruiting,Interventional,Yes,No,Sponsor,4100
145314,Safety and Efficacy of Ga68 Αvβ3 IAC PET/CT for Diagnosis and Clinical Management in Angiogenic Breast Cancer Patients,2.0027397260273974,Not yet recruiting,Interventional,Yes,No,Sponsor,25
New theory(Tamoxifen&retinoic),"Investigating the Potential Role of a Novel Quadrate Combination Therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic Acid and Cannabidiol ( Selective Cyp 26 Inhibitor) for Treating Early Breast Cancer.",0.33424657534246577,Not yet recruiting,Interventional,No,No,Sponsor-Investigator,160
20-505,A Study of Radiation Therapy With Pembrolizumab and Olaparib or Other Radiosensitizers in Women Who Have Triple-Negative or Hormone-Receptor Positive/Her2 Negative Breast Cancer,3.7013698630136984,Recruiting,Interventional,Yes,No,Sponsor,34
RadiaAce001,The Effect of RadiaAce Gel in the Prevention and Treatment of Radiation Dermatitis in Breast Cancer Patients,1.2164383561643837,Recruiting,Interventional,No,No,Sponsor,120
Neo-program 2021.02.23,Resistance vs. Aerobic Training on Breast Cancer Patients Undergoing Neoadjuvant Treatment,1.3726027397260274,Recruiting,Interventional,No,No,Principal Investigator,132
ARV-471-mBC-101,A Phase 1/2 Trial of ARV-471 Alone and in Combination With Palbociclib (IBRANCE®) in Patients With ER+/HER2- Locally Advanced or Metastatic Breast Cancer,4.495890410958904,Recruiting,Interventional,Yes,No,Sponsor,215
275078,Digitally Distributed Yoga for Women Treated for Breast Cancer,7.005479452054795,Recruiting,Interventional,No,No,Sponsor,250
IIT-2017-NeoPACT,Neoadjuvant Phase II Study of Pembrolizumab And Carboplatin Plus Docetaxel in Triple Negative Breast Cancer,6.164383561643835,"Active, not recruiting",Interventional,Yes,No,Sponsor,121
2021000247,"Tucatinib With Chemotherapy and Trastuzumab in Advanced Her-2-neu Overexpressing, Previously Treated Breast Cancer.",10.96986301369863,Recruiting,Interventional,Yes,No,Sponsor,40
REaCT-70,Evaluating Harms and Benefits of Endocrine Therapy in Patients ≥70 Years of Age With Lower Risk Breast Cancer,3.0383561643835617,Recruiting,Interventional,No,No,Sponsor,100
BTCRC-BRE16-042,"Study of Pembrolizumab Plus Fulvestrant in Hormone Receptor Positive, HER-2 Negative Advanced/Metastatic Breast Cancer Patients",6.594520547945206,Recruiting,Interventional,Yes,No,Sponsor-Investigator,47
TVD-101-002B,Study of TTI-101 in Combination for Participants With Metastatic Hormone Receptor (HR)-Positive and Human Epidermal Receptor 2 (HER2)-Negative Breast Cancer,2.0657534246575344,Recruiting,Interventional,Yes,No,Sponsor,53
20-0140-A,MonaLisa Laser Intervention for Post-Menopausal Breast Cancer Patients: A SHE CAN Study,0.8301369863013699,Withdrawn,Interventional,No,No,Principal Investigator,0
D9673R00004,"Estimation of the Prevalence of HER2 Low and Describe the SoC, Treatment Patterns, and Outcome in Real-world Practice Among Unresectable and/or Metastatic Breast Cancer Patients With HER2 Low Status",0.9123287671232877,Completed,Observational,No,No,Sponsor,798
CA209-929,"Combination of Nivolumab and Ipilimumab in Breast, Ovarian and Gastric Cancer Patients",1.284931506849315,Terminated,Interventional,Yes,No,Sponsor,5
SYSEC-KY-KS-2019-099,Association of Survival With Maintenance Therapy in Patients With Metastatic Breast Cancer After First-line Chemotherapy,0.4958904109589042,Completed,Observational,Yes,No,Principal Investigator,760
Glnz87?,The Effect of Guided Imagery Based on the Health Promotion Model on the Quality of Life in Breast Cancer Patients,0.7863013698630137,Completed,Interventional,No,No,Principal Investigator,68
GIM24-PALBO-BP,Palbociclib Plus Fulvestrant in Women With Hormone Receptor Positive and Human Epidermal Growth Factor Receptor Type 2 Negative Locally Advanced or Metastatic Breast Cancer Previously Treated With a CDK4/6 Inhibitor in Combination With Hormonal Therapy,4.043835616438357,Recruiting,Interventional,No,No,Sponsor,168
18-115,Physiotherapy Program for Breast Cancer Women Following Surgery: A Pilot Clinical Trial,2.421917808219178,Completed,Interventional,No,No,Principal Investigator,23
IBISCO Trial,Preoperative Boost Associated With Neoadjuvant Chemotherapy in Luminal B Breast Cancer,4.000000000000001,Recruiting,Interventional,No,No,Sponsor,30
NBC Che001,Injection Regimen Trial of PEG-rhG-CSF During Breast Cancer Chemotherapy,1.3178082191780822,Completed,Interventional,No,No,Principal Investigator,160
IC 2021-08,Digital Phenotyping in Women Over 70 Years of Age Treated for Breast Cancer With Any Type of Treatment,1.7397260273972603,Recruiting,Interventional,No,No,Sponsor,200
AI Yoga Study on Facebook - 1,Effect of Sukshma Vyayama Yoga on Aromatase Inhibitor-Induced Arthralgia in Breast Cancer Survivors,0.12328767123287673,Completed,Interventional,No,No,Sponsor,38
6222/22.03.2017,Intravenous Ascorbic Acid Supplementation in Neoadjuvant Chemotherapy for Breast Cancer,1.0000000000000002,Unknown status,Interventional,No,No,Principal Investigator,30
SYSEC-KY-KS-2019-055-001,MRI Radiomics Assessing Neoadjuvant Chemotherapy in Breast Cancer to Predict Lymph Node Metastasis and Prognosis(RBC-02),6.010958904109589,Recruiting,Observational,No,No,Principal Investigator,600
EUBREAST-01,Omission of SLNB in Triple-negative and HER2-positive Breast Cancer Patients With rCR and pCR in the Breast After NAST,7.887671232876714,Recruiting,Interventional,No,No,Sponsor-Investigator,350
1216-4-011,Lidocaine Versus Duloxetine for the Prevention of Taxane-Induced Peripheral Neuropathy In Breast Cancer Patients,1.4684931506849315,Completed,Interventional,No,No,Sponsor-Investigator,60
UPCC 15121,Breast Cancer Outreach Among Primary Care Patients,0.49863013698630143,Completed,Interventional,No,No,Principal Investigator,24680
OMERIC-1904,Omic Technologies to Track Resistance to Palbociclib in Metastatic Breast Cancer,2.9808219178082194,Recruiting,Interventional,No,No,Sponsor,25
21-161,A Study of Attention and Memory Processes in Breast Cancer Survivors,2.989041095890411,Recruiting,Observational,No,No,Sponsor,48
18-217,Talking to Employers and Medical Staff About Breast Cancer Treatment and Your Job,4.986301369863014,Recruiting,Interventional,No,No,Sponsor,546
ACE-Breast-06,ARX788 in HER2-positive Breast Cancer Patients With Brain Metastases,1.9616438356164385,Recruiting,Interventional,No,No,Principal Investigator,32
ONC-010,EndoPredict® Extended Endocrine Trial (EXET),2.747945205479452,Terminated,Observational,No,No,Sponsor,855
CHLOBREASTASP,"Breast Cancer Active Surveillance, Alternative Option, Aspirin Included",5.0,Not yet recruiting,Interventional,No,No,Principal Investigator,60
CLEE011AFR01,Ribociclib Real-world Treatment Patterns and Clinical Outcomes Among Women With HR+/HER2- Advanced or Metastatic Breast Cancer in France,4.542465753424658,Recruiting,Observational,,,Sponsor,482
CTO-IUSCCC-0781,Exercise in Metastatic Breast Cancer: EMBody,4.756164383561644,Not yet recruiting,Interventional,No,No,Principal Investigator,100
TT420X2101,Safety of TT-00420 Monotherapy in Patients With Advanced Solid Tumors and Triple Negative Breast Cancer,2.978082191780822,"Active, not recruiting",Interventional,Yes,No,Sponsor,48
201808046,Three Fraction Accelerated Partial Breast Irradiation as the Sole Method of Radiation Therapy for Low-risk Stage 0 and I Breast Carcinoma,7.564383561643836,"Active, not recruiting",Interventional,No,Yes,Sponsor,77
178-2018,Genomic Markers for Measuring Breast Cancer Response to Neoadjuvant Chemotherapy,2.9205479452054797,Recruiting,Observational,No,No,Principal Investigator,100
OMC2018/01,Implementing Patients´ Competence in Oral Breast Cancer Therapy,1.7534246575342465,Unknown status,Observational,,,Sponsor,212
S61864,Magnetic Seed Localisation for Nonpalpable Breast Lesions,0.6986301369863014,Completed,Observational,No,Yes,Sponsor,192
CSPC-KAL-BC-16,Nab-paclitaxel Plus Carboplatin Versus Nab-paclitaxel Plus Capecitabine in the Treatment of Advanced Triple-negative Breast Cancer,2.835616438356164,Unknown status,Interventional,No,No,Principal Investigator,414
REaCT-Wellness,A Randomized Trial Evaluating Personalized vs Guideline-based Well Follow-up Strategies for Patients With Early-stage Breast Cancer,3.868493150684932,"Active, not recruiting",Interventional,No,No,Sponsor,264
NEXT-BRCA,Implementing Exercise Into Clinical Practice in Breast Cancer Care,4.2465753424657535,"Active, not recruiting",Interventional,No,No,Sponsor,85
AB PoC 2021 RUS,Retrospective Comparative in Vitro Case-controlled Study of the Liquid Biopsy Test System in Women With Breast Cancer,0.5424657534246575,Recruiting,Observational,No,No,Sponsor,150
MedOPP167,Trial With Eribulin or Eribulin+ Endocrine Therapy in Locally-recurrent or Metastatic Breast Cancer Patients,1.9205479452054797,Terminated,Interventional,No,No,Sponsor,22
LPM-008,The LightPath® and 68Ga-RM2 in Breast Cancer Study,4.923287671232877,Not yet recruiting,Interventional,No,No,Sponsor,80
DATOS-20220624-ASJF-Efecto car,Cardioprotective Effect of Acute Exercise in Breast Cancer Patients,1.6904109589041096,Recruiting,Interventional,No,No,Principal Investigator,40
2019.444,Fibrotic Focus in Breast Cancer,4.000000000000001,Not yet recruiting,Observational,No,No,Principal Investigator,250
NSABP FB-13,Biological and Clinical Effects of Palbociclib With Ovarian Suppression and Letrozole in the Neoadjuvant Treatment of Breast Cancer,2.276712328767123,Completed,Interventional,Yes,No,Sponsor,24
202207198RINB,Can ILR Reduce the Risk of Arm Lymphedema?,5.465753424657534,"Active, not recruiting",Interventional,No,No,Sponsor,240
FZPL-Ⅲ-303,A Study of Fluzoparib±Apatinib Versus Chemotherapy Treatment of Physicians Choice in HER2-negative Metastatic Breast Cancer Patients With Germline BRCA Mutation,4.967123287671233,Recruiting,Interventional,No,No,Sponsor,474
SYSUCC 019,Chidamide Combined With Zimberelimab in the Treatment of Metastatic Triple-negative Breast Cancer Patients,3.547945205479452,Recruiting,Interventional,No,No,Principal Investigator,47
BCSPilot01,A Combined Exercise Training Program for Women Living With Breast Cancer,0.5753424657534246,Not yet recruiting,Interventional,No,No,Principal Investigator,36
2014CB543202-03,Acupuncture for Breast Cancer Related Lymphedema,1.4164383561643836,Unknown status,Interventional,No,No,Principal Investigator,60
578-21-FB,Clinical Trial Assessing the Safety of Neoadjuvant Palbociclib in Combination With Endocrine Therapy,9.506849315068493,Recruiting,Interventional,Yes,No,Sponsor-Investigator,46
1107210020,Digital Breast Tomosynthesis (DBT) to Improve Assessment of Resection Margins in Invasive Breast Cancer,1.4136986301369863,Completed,Observational,No,No,Principal Investigator,250
107CS-6,Oral Paclitaxel Efficacy Safety and PK in Recurrent and Metastatic Breast Cancer,3.6876712328767125,Unknown status,Interventional,Yes,No,Sponsor,72
BRE 381,Study of Tucatinib and Doxil in Participants With Human Epidermal Growth Factor Receptor 2 Positive (HER2+) Metastatic Breast Cancer,3.336986301369863,Not yet recruiting,Interventional,Yes,No,Sponsor,36
IRB00048455,Histamine and Bone Pain Association in Participants With Breast Cancer Metastatic in the Bone,4.668493150684932,Recruiting,Observational,No,No,Sponsor,30
2022-009,Thero2-01S22 in HER2-positive Breast Cancer,4.002739726027397,Not yet recruiting,Interventional,No,No,Sponsor,320
CCR5654,"Biological Characteristics of Older Women (> 70 Years) With ER Positive, HER2 Negative Early Breast Cancer",1.1123287671232878,Enrolling by invitation,Observational,No,No,Sponsor,100
KCT 005,"A Non-randomized, Open-Label Study to Evaluate the Safety and Effectiveness of the Dayspring Technology for Patients With Breast Cancer Related Lymphedema (BCRL) After Lymphatic Surgery",0.5835616438356165,Recruiting,Interventional,No,Yes,Sponsor,20
2022-YXZX-YX-08,Ultrasound Radiomics for Predicting Breast Cancer and Axillary Lymph Node Metastasis,2.419178082191781,Not yet recruiting,Observational,No,No,Sponsor,200
G1T28-212,"Trilaciclib, a CDK4/6 Inhibitor, in Patients With Early-Stage Triple Negative Breast Cancer",1.3123287671232877,Completed,Interventional,Yes,No,Sponsor,24
SCHBCC-NO28,Markers to Evaluate the Efficacy of PH-based Regimen as a Neoadjuvant Therapy for Operable HER2 Positive Breast Cancer,10.03013698630137,Recruiting,Interventional,No,No,Principal Investigator,94
PI-2021-3,Design and Evaluation of the Effects of a Physical Therapy Program With Digital Support in Patients With Breast Cancer,2.747945205479452,Recruiting,Interventional,No,No,Principal Investigator,92
ID-RCB 2022-A01488-35,Diagnostic Performance of Breast Cancer Screening Second Reading Process Assisted by AI,4.002739726027397,Not yet recruiting,Interventional,No,No,Sponsor,5000
MA-BC-Ⅱ-021,Microwave Ablation Combined With Camrelizumab in the Treatment of Early Breast Cancer,1.7698630136986302,Recruiting,Interventional,No,No,Principal Investigator,60
2021-KY-124-001,Aesthetic Outcomes of Oncoplastic Breast Surgery for Breast Cancer in the Upper Inner Quadrant,0.7863013698630137,Recruiting,Interventional,No,No,Principal Investigator,109
NCKUH SLNB,The Validation of Sentinel Lymph Node Biopsy After Neo-adjuvant Chemotherapy in Breast Cancer Patients,1.5342465753424657,"Active, not recruiting",Observational,No,No,Sponsor,30
DFP22-0020,Resistance-type Exercise Training in Postmenopausal Women Survivors of Breast Cancer,1.4219178082191781,Not yet recruiting,Interventional,No,No,Principal Investigator,52
CCM 1505,Coronary Artery Calcium and Cardiovascular Risk Factors Analysis After RT or Breast Cancer,2.191780821917808,Recruiting,Interventional,No,No,Sponsor,100
PER.CIN.BN.95.III,Comparing Efficacy and Safety Between Pertuzumab® and Perjeta® in Neoadjuvant Treatment of HER2+ Breast Cancer,1.7945205479452055,Completed,Interventional,No,No,Sponsor,214
21-5021,Prevention of Persistent Pain With LidocAine iNfusions in Breast Cancer Surgery (PLAN),3.1945205479452055,Recruiting,Interventional,No,No,Sponsor,1150
C4891006,TACTIVE-U: A Study to Learn About the Study Medicine (Called ARV-471) When Given With Other Medicines in People With Advanced or Metastatic Breast Cancer (Sub-Study A),4.301369863013699,Recruiting,Interventional,Yes,No,Sponsor,35
2021-0840,Acupuncture for Psychoneurological Symptoms Among Breast Cancer Survivors,3.580821917808219,"Active, not recruiting",Interventional,No,No,Principal Investigator,8
OV-121,Investigation of Anti-tumour Effect and Tolerability of the PARP Inhibitor 2X-121 in Patients With Metastatic Breast Cancer Selected by the 2X-121 DRP,4.865753424657535,"Active, not recruiting",Interventional,No,No,Sponsor,30
042110,CIPHER Study: Pilot Study to Study the Role of ctDNA in Triple Negative and HER2 Positive Early Stage,5.64931506849315,"Active, not recruiting",Interventional,Yes,No,Principal Investigator,34
BC-09638,GRACE-trial: a Randomized Active-controlled Trial for vulvovaGinal atRophy in breAst Cancer Patients on Endocrine Therapy.,4.947945205479452,Recruiting,Interventional,No,No,Sponsor,160
LB1802,Real World Study of Biosimilar Trastuzumab in Her2 Positive Breast Cancer,4.6136986301369864,Recruiting,Observational,No,No,Sponsor,170
2018-0601,Phase III Trial Evaluating Radium Bromatum Homeopathic Treatment Efficacy on Radiodermatitis Prevention and Treatment for Breast Cancer Women,3.712328767123288,Recruiting,Interventional,No,No,Sponsor,232
D967JC00002,A Phase 1b Study of T-DXd Combinations in HER2-low Advanced or Metastatic Breast Cancer,2.6465753424657534,"Active, not recruiting",Interventional,Yes,No,Sponsor,139
UKM14_0016,Breast Cancer Screening: Digital Breast Tomosynthesis Versus Digital 2D Mammography,6.742465753424658,"Active, not recruiting",Interventional,No,No,Sponsor,99689
RJBC-HFRNI,Hypofractionated Irradiation At Regional Nodal Area for Breast Cancer Vs Existed Standard Treatment,8.780821917808218,Recruiting,Interventional,No,No,Principal Investigator,801
