ID,Gender,Minimum_Age,Healthy_Volunteers
22SCH740,Female,18 ,No
eMOUVOIR-1901,Female,18 ,No
NCC2019-0142,Female,20 ,nan
20G.605,Female,21 ,No
19-002792,Female,18 ,No
UT BCS Sleep Study,Female,18 ,No
919PP17,Female,30 ,No
H-50349,All,18 ,No
NIS12501,All,18 ,No
B002-101,Female,18 ,No
"2016-051-000001, 2563",Female,44 ,Accepts Healthy Volunteers
MCC-21378,All,18 ,No
010006,All,25 ,Accepts Healthy Volunteers
20210504,Female,18 ,No
2021-0358,Female,18 ,No
18-2444.cc,Female,18 ,No
LACUDY,Female,20 ,No
CSPC-DMS-BC-17,Female,18 ,No
UC-0105/1815,All,18 ,No
NCC3340,All,18 ,No
YOMA,Female,18 ,No
2022-7735,Female,18 ,No
IRB00130428,All,18 ,No
HR BLTN 014,Female,18 ,No
GS-US-595-6184,All,18 ,No
C4891023,All,18 ,No
SYSU-2022-02,All,18 ,No
GO40987,Female,18 ,No
HR-BLTN-008,All,18 ,No
OkanU2,All,nan,No
HNCH-MBC08-BM02,Female,18 ,No
TRICIA,All,18 ,No
19-003532,All,18 ,No
PALBOCOMP,All,18 ,No
SNF4,Female,18 ,No
MA-BC-II-006,Female,18 ,No
17/013,All,18 ,No
LACOG 0221,Female,18 ,No
SNF3,Female,18 ,No
1780,Female,25 ,No
2020 - 176,Female,18 ,No
HR-TNBC-HN100,Female,18 ,No
YANWQ002,Female,18 ,No
2018-68-1461,Female,18 ,No
STU00206180,Female,18 ,No
MR-01,Female,18 ,No
2019-09-09,All,18 ,Accepts Healthy Volunteers
UBRS20013,Female,18 ,No
HR-BLTN-014,Female,18 ,No
SPI-POZ-101,Female,18 ,No
EC/TMC/108/17,Female,18 ,No
SGRT-BC,Female,18 ,No
CMUH108-REC3-090,All,20 ,No
PALBOSPAIN,All,18 ,nan
RC48-C012,All,18 ,No
261\\2021,Female,18 ,No
ERIBRAIN-IPC 2017-014,All,18 ,No
CYH33-G103,All,18 ,No
OTT 18-02,All,18 ,No
SYSA1901-002,All,18 ,No
YBCSG-21-03,Female,18 ,No
EBaran,Female,18 ,No
99mTc-ADAPT6,Female,18 ,No
2019-0088,Female,50 ,No
R20-030,Female,18 ,No
NL77000.029.21,Female,50 ,No
MUKDEN 07,Female,18 ,No
OstacoliMIND&BC,Female,18 ,No
NCC3286,Female,18 ,No
HR-BLTN-010,Female,18 ,No
CMUH106-REC3-137,All,20 ,No
2010134480,Female,18 ,No
DS8201-A-U303,All,18 ,No
H18-02581,Female,18 ,No
SMX 22-002,All,18 ,No
18-371,Female,18 ,No
K171005J,Female,18 ,No
X-XJTU1AFLSY-93,Female,18 ,No
9745,Female,18 ,Accepts Healthy Volunteers
2019/2452,Female,21 ,No
J1836,All,18 ,No
20-104,All,18 ,Accepts Healthy Volunteers
SCHBCC-N030,Female,18 ,No
D967JC00001,All,18 ,No
STUDY00022698,Female,40 ,Accepts Healthy Volunteers
CLEE011AUS64,Female,18 ,No
SCAN-B-rec,All,18 ,No
LMengmeng,Female,18 ,No
NCC1888,Female,18 ,No
XZP-3287-3002,Female,18 ,No
R21-072,Female,18 ,No
HCI131027,All,18 ,No
SCHBCC-N025,Female,18 ,No
ERC/2020/10/11 (26/10/2020),Female,30 ,Accepts Healthy Volunteers
19-055,All,18 ,No
SLNB-ACP,Female,18 ,No
20F.259,Female,21 ,No
AI-BMRI,Female,nan,No
2019/1318,Female,28 ,No
BC-P29,Female,18 ,No
Smart,Female,18 ,No
OMICS Mark,Female,18 ,Accepts Healthy Volunteers
RS-NAT01,Female,18 ,No
2021/32,Female,30 ,Accepts Healthy Volunteers
SMX 20-001,Female,18 ,No
BOMB,Female,18 ,No
XuzhouMedSch3,Female,20 ,No
MC220301,Female,18 ,No
FUSCC-TNBC-BLIS,Female,18 ,No
TeMP 2021,Female,45 ,No
SMC 2018-07-014-011,Female,18 ,No
D931CC00001,All,18 ,No
WuhanU,Female,18 ,No
2022-017,Female,18 ,No
Stage 1 Compression Therapy,Female,18 ,No
GEICAM/2018-03,Female,18 ,Accepts Healthy Volunteers
4298,Female,18 ,No
018-745,All,18 ,No
20-371,All,18 ,No
HBMUFH-101,Female,18 ,No
2019-KY-051,Female,18 ,No
GCX-BCT-06,Female,19 ,No
213355,All,18 ,No
2022-0056,Female,18 ,No
20192755,Female,nan,No
K3_K1_2,Female,18 ,No
MEDOPP437,All,18 ,No
BC-P31,Female,18 ,Accepts Healthy Volunteers
EORTC-1550-BCG,Female,nan,No
D9670C00001,All,18 ,No
ACR A4707,Female,45 ,Accepts Healthy Volunteers
42127,All,nan,No
handan1,Female,18 ,Accepts Healthy Volunteers
IOM-120465,All,18 ,No
2-025-19,Female,18 ,No
OTT 20-11 (IT-02),Female,nan,Accepts Healthy Volunteers
PREBCA,Female,30 ,No
OBU-SC-BB-BC-II-010,Female,18 ,No
20-09022641,Female,18 ,No
D9673R00025,All,18 ,No
SaglikBilimleriU_DU,Female,18 ,No
mTPVB SPPB Ver 2,All,18 ,No
SYSKY-2023-129-01,Female,18 ,No
R868/18-IEO 916,Female,18 ,No
309424,Female,30 ,Accepts Healthy Volunteers
Melody_001,Female,18 ,Accepts Healthy Volunteers
UW20035,All,18 ,No
19-1812.cc,Female,18 ,Accepts Healthy Volunteers
I3Y-NS-O003,Female,18 ,No
ID-TMS-02-20201012,Female,nan,No
ACE-Breast-07,All,18 ,No
CABC012,Female,18 ,No
2019-053,Female,40 ,Accepts Healthy Volunteers
SNB vs PET/MRI 1,All,18 ,No
AITIC,Female,50 ,No
NIHR 128311,All,18 ,No
Pro00104868,All,18 ,No
RG_16-108,Female,18 ,No
STUDY00000023,All,18 ,No
2022/0132,Female,30 ,No
2021C0128,Female,45 ,No
GMI-1359-210,All,18 ,No
20_RIPH3_06,Female,18 ,No
SHERO,Female,18 ,No
MA-BC-II-023,Female,18 ,No
0494-22-RMB,Female,18 ,No
ICO-A-2018-10,All,18 ,No
REG-074-2020,Female,18 ,No
Woman health,Female,50 ,Accepts Healthy Volunteers
CSIIT-C39,Female,18 ,No
99mTc-ZHER2,Female,18 ,No
HCC 22-003,Female,50 ,No
FAST-F-PG01,Female,18 ,No
20-001670,Female,18 ,No
CSIIT-C03,Female,18 ,No
IBCSG 55-17,Female,18 ,No
WO42633,All,18 ,No
2022-05093-02,All,18 ,No
NRG-BR007,All,50 ,No
NCCH2113,All,20 ,No
YU-FTR-ST-01,Female,18 ,Accepts Healthy Volunteers
CLP0008,Female,18 ,No
18-040,All,50 ,No
UPCC 01121,All,18 ,No
Molecular imaging of HER2,Female,18 ,No
OP-1250-002,All,18 ,No
GEICAM/2018-06,All,18 ,No
26272819.3.0000.0068,Female,18 ,No
SA20I0060,Female,18 ,No
1094/2020,Female,18 ,No
Soh-Med-23-01-34,Female,20 ,No
WO42133,Female,18 ,No
110-163-F,All,20 ,No
MUKDEN 06,Female,18 ,No
KN035-TH-HER2,Female,18 ,No
HNCH-MBC09-BM03,All,nan,No
COSMOPOLITAN,Female,50 ,No
21-VIN-0166/SAN-0647,Female,18 ,No
E19059,Female,18 ,No
ISB 1302-103,Female,18 ,No
0063-17,Female,18 ,No
M16-735,All,18 ,No
NCT20210157-AI-ROL,Female,40 ,No
19-524,All,18 ,No
HR-BLTN-002,Female,18 ,No
CTO-IUSCC-0684,All,18 ,No
Tele-Relax,Female,18 ,No
NCC1865,Female,18 ,No
A5481126,Female,20 ,No
KCSG BR18-16,Female,20 ,No
D9673R00028,All,18 ,No
LY01005/CT-CHN-303,Female,18 ,No
IFG-08-2019,Female,18 ,No
BC-Genetics,All,18 ,No
XZP-3287-3001,Female,18 ,No
GEP,Female,18 ,No
2019/2632,Female,21 ,No
UMMCHTNBC,Female,18 ,No
BTCRC-BRE18-337,All,18 ,No
J18138,Female,18 ,No
19-09020752,Female,18 ,No
RC31/21/0368,Female,18 ,No
20-503,Female,18 ,No
PGG-BCA2121 / MK-3475-C99,All,18 ,No
ACTRN1261000928213,Female,18 ,No
Pro2020002182,Female,18 ,Accepts Healthy Volunteers
160178,All,18 ,No
MRG002-004,All,18 ,No
BC-Pyrotinib-NVB,Female,18 ,No
SYSUCC-016,All,18 ,No
19-396,Female,18 ,No
Shengjing-LJY07,Female,18 ,No
HMPL-012-SPRING-R103,All,18 ,No
CA209-7FL,All,18 ,No
NCC2021291,Female,nan,No
2022-A02271-42,Female,18 ,No
20-2338,All,18 ,Accepts Healthy Volunteers
CNIL-2033408,Female,18 ,No
22-5307,All,18 ,No
CEP0431/2018 arm 2,Female,30 ,No
REG-028-2021,Female,18 ,No
MA-BC-II-035,Female,18 ,No
F2017000 (UAB 17112),Female,18 ,No
22040,Female,65 ,No
CTMS 17-0037,All,18 ,No
D0816R00025,Female,18 ,No
201801559A3,Female,20 ,No
MedOPP238,Female,18 ,No
BTCRC-BRE19-409,All,18 ,No
2020-0342,Female,25 ,Accepts Healthy Volunteers
25IB-0023,Female,nan,No
919PP18,Female,18 ,No
18-002,Female,18 ,No
CMTNCMB,Female,25 ,No
ZYYY-BC-001,Female,18 ,No
CAAE: 82691818.0.0000.5154,Female,50 ,No
2022/0226,Female,30 ,No
PMD-026-1-001,All,18 ,No
SYSUCC-011,Female,18 ,No
18432,Female,nan,No
2020-KY-140,Female,18 ,No
2020-KY-125,Female,18 ,No
CAAE 42627521600005274,Female,18 ,No
20201101.2,Female,18 ,No
20-1866.cc,Female,39 ,No
SYSUCC-008,Female,18 ,No
RS1637/21,Female,nan,No
S64752,Female,18 ,nan
SURVIVE,All,18 ,No
4352,Female,40 ,Accepts Healthy Volunteers
CDR0000643461,Female,18 ,No
SPHIC-TR-BCa2022-02,Female,18 ,No
KCSG BR22-20,Female,19 ,No
CRE2018013,Female,25 ,No
IRB_00137018,All,18 ,No
2022-0353,Female,18 ,No
MCC-19765,All,18 ,No
OSU-21065,All,18 ,No
LCCC 1931,Female,70 ,No
A5481167,Female,18 ,No
4-2018-0264,Female,19 ,No
2018/TMC/133/IRB/31,Female,18 ,No
ENDO-RESIST,All,18 ,nan
BRE 354,All,18 ,No
IR-1.1,Female,18 ,No
SYSUCC-017,Female,18 ,No
IB 2015-01,Female,18 ,No
20-5215.0,Female,18 ,Accepts Healthy Volunteers
MEN1611-01,All,18 ,No
21-325,Female,18 ,No
SGNTUC-028,All,18 ,No
EORTC QLQ BR45,Female,18 ,No
SYSUCC-020,Female,18 ,No
BC-RWS,Female,18 ,No
C4891001,All,18 ,No
1234,Female,19 ,Accepts Healthy Volunteers
CCR4884,All,18 ,No
2016-0537,All,18 ,No
BreastctDNA01,Female,18 ,No
69HCL21_1085,Female,18 ,No
SGNTUC-025,All,18 ,No
AIRC IG-23118,Female,18 ,No
3-2021-0026,All,19 ,No
STU-2022-0385,All,18 ,No
BC-P26,Female,18 ,No
KOTK/2022/12550,Female,18 ,No
SCHBCC-N029,Female,18 ,No
PUMCH-MIRC213,Female,nan,No
A5481145,Female,18 ,No
Concordance,All,18 ,No
TMS01190510,Female,18 ,No
1752/20,Female,18 ,No
IMAP-CM,Female,nan,No
SRB_201808_163,Female,18 ,No
UW16151,All,18 ,No
SMC 2020-11-051,All,19 ,Accepts Healthy Volunteers
6037248,Female,18 ,No
2016-A01344-47,Female,18 ,No
1807187-2,Female,18 ,No
Lilly-I3Y-US-I026,All,18 ,No
D8532C00001,All,18 ,No
21-159,All,18 ,No
RG1121129,Female,18 ,No
TJ-IRB20211128,All,18 ,No
21-123,All,18 ,No
UC-BCG-2103,Female,51 ,No
Ketogenic Diet,Female,19 ,No
20-172,Female,18 ,No
CMUH108-REC1-113,All,20 ,No
ALT-P7,Female,19 ,No
2019-7-Non-NSU Health,Female,18 ,No
I236,Female,18 ,No
131916,Female,18 ,No
GCO 17-1585,Female,18 ,No
DRLCOLCT001,Female,18 ,No
FNF201830,All,18 ,Accepts Healthy Volunteers
PRO00028602,Female,18 ,No
D0816C00018,All,18 ,No
HUB-PSI-CAMAD,Female,18 ,No
REP0121,All,18 ,No
SBMASTER,Female,18 ,No
AMCI-001,Female,18 ,No
Fukui-2019-1,Female,18 ,No
PRO00028925,Female,18 ,No
K160913J,Female,18 ,No
N-20180090,Female,18 ,No
Genetic study and TDM,Female,20 ,nan
FDRT-BC016,Female,18 ,No
RF-2016-02363686,Female,45 ,Accepts Healthy Volunteers
A231901CD,Female,nan,No
UPCC 10117,All,18 ,No
22/409-3611,Female,35 ,No
YDPLD191016-I1-SYSU-001,Female,18 ,No
BC-CIH-H-RWS,All,18 ,No
4-2020-1453,All,19 ,No
IRB15-1005,Female,18 ,No
LCCC1820,All,18 ,No
GC101-21K177,All,18 ,No
2019.046,Female,18 ,No
2020-004696-41,All,18 ,No
V3002401,All,18 ,No
2021-0768,All,18 ,Accepts Healthy Volunteers
FDRT-BC008,Female,18 ,No
A5481136,All,18 ,No
TILS001 trial,All,18 ,No
SYSEC-KY-KS-2022-056,Female,18 ,No
S1709-101-888,All,19 ,No
ARV-471-mBC-102,All,18 ,No
BR01/02/21,Female,18 ,No
MA-BC-II-020,Female,18 ,No
69HCL16_0536,Female,18 ,No
NL68820.091.19,Female,18 ,No
6010121027,Female,25 ,No
FS-1502-III1-01,All,18 ,No
IIT-0026,Female,18 ,No
LCCC2241,All,18 ,nan
2020-0708,Female,18 ,No
20-347,All,18 ,No
NCC2493,Female,18 ,No
ICO 13-001,Female,18 ,No
2018-A01128-47,Female,18 ,No
SCBCG-006,All,18 ,No
LRP/PegGCSF/2016/004,Female,18 ,No
GRACE,Female,18 ,No
21-600,Female,18 ,No
114,Female,18 ,No
YLiu,Female,18 ,No
IIT2018-17-McArthur-TCDRT,All,18 ,No
20 KHCC 91,Female,18 ,No
SYSUCC-019,Female,18 ,No
IIT-CRM2020001,Female,18 ,No
2018-A02191-54,Female,18 ,No
2020-154,Female,18 ,No
CTO-IUSCC-0715,All,18 ,No
CLEE011ABR02,Female,18 ,No
SP0048722,Female,18 ,No
38341220.8.0000.0072,Female,50 ,No
Neo-ACT,All,18 ,No
CH-BC-059,Female,nan,No
07102022_SR,Female,18 ,No
GO42784,All,18 ,No
New theory(Tamoxifen&retinoic),Female,18 ,No
145314,All,18 ,No
20-505,Female,18 ,No
RadiaAce001,Female,18 ,No
Neo-program 2021.02.23,Female,18 ,No
ARV-471-mBC-101,All,18 ,No
275078,Female,18 ,No
IIT-2017-NeoPACT,Female,18 ,No
2021000247,All,18 ,No
REaCT-70,All,70 ,No
BTCRC-BRE16-042,All,18 ,No
TVD-101-002B,All,18 ,No
20-0140-A,Female,18 ,No
D9673R00004,All,18 ,No
CA209-929,All,18 ,No
SYSEC-KY-KS-2019-099,Female,18 ,No
Glnz87?,Female,18 ,No
GIM24-PALBO-BP,Female,18 ,No
18-115,Female,nan,No
IBISCO Trial,Female,18 ,No
NBC Che001,Female,18 ,No
IC 2021-08,Female,70 ,No
AI Yoga Study on Facebook - 1,Female,35 ,Accepts Healthy Volunteers
6222/22.03.2017,Female,18 ,No
SYSEC-KY-KS-2019-055-001,Female,18 ,No
EUBREAST-01,Female,18 ,No
1216-4-011,Female,18 ,No
UPCC 15121,Female,40 ,No
OMERIC-1904,Female,18 ,No
21-161,Female,50 ,Accepts Healthy Volunteers
18-217,Female,18 ,No
ACE-Breast-06,All,18 ,No
ONC-010,Female,18 ,No
CHLOBREASTASP,All,18 ,No
CLEE011AFR01,Female,18 ,No
CTO-IUSCCC-0781,All,18 ,No
TT420X2101,All,18 ,No
201808046,Female,50 ,No
178-2018,All,18 ,No
OMC2018/01,All,18 ,No
Versión 4- 20/09/2020,Female,nan,No
HS-10352-102,All,18 ,No
CSPC-KAL-BC-16,Female,18 ,No
REaCT-Wellness,Female,18 ,No
NEXT-BRCA,Female,18 ,No
AB PoC 2021 RUS,Female,35 ,Accepts Healthy Volunteers
MedOPP167,Female,18 ,No
LPM-008,Female,18 ,No
DATOS-20220624-ASJF-Efecto car,Female,18 ,No
2019.444,Female,18 ,No
NSABP FB-13,Female,18 ,No
202207198RINB,Female,20 ,No
FZPL-Ⅲ-303,Female,18 ,No
SYSUCC 019,Female,18 ,No
BCSPilot01,Female,40 ,No
2014CB543202-03,Female,18 ,No
578-21-FB,Female,19 ,No
1107210020,Female,19 ,No
107CS-6,All,18 ,No
BRE 381,All,18 ,No
IRB00048455,All,18 ,No
2022-009,Female,18 ,No
CCR5654,Female,71 ,Accepts Healthy Volunteers
KCT 005,All,18 ,No
2022-YXZX-YX-08,Female,18 ,No
G1T28-212,Female,18 ,No
SCHBCC-NO28,All,18 ,No
ID-RCB 2022-A01488-35,Female,50 ,Accepts Healthy Volunteers
PI-2021-3,All,18 ,No
2021-KY-124-001,Female,18 ,No
MA-BC-Ⅱ-021,Female,20 ,No
NCKUH SLNB,Female,20 ,No
DFP22-0020,Female,45 ,Accepts Healthy Volunteers
CCM 1505,Female,18 ,No
PER.CIN.BN.95.III,Female,18 ,No
21-5021,All,18 ,No
C4891006,All,18 ,No
2021-0840,Female,18 ,No
OV-121,All,18 ,No
042110,All,18 ,No
BC-09638,Female,18 ,No
LB1802,Female,18 ,No
2018-0601,Female,18 ,No
D967JC00002,All,18 ,No
UKM14_0016,Female,50 ,Accepts Healthy Volunteers
RJBC-HFRNI,Female,18 ,No
m-VCAP1,Female,18 ,No
19-133,Female,28 ,No
CLEE011A2206,Female,18 ,No
CASE3118,Female,18 ,No
2020(55),Female,18 ,No
WO40324,All,18 ,No
Geneplus2020BC01,All,18 ,No
ML39208,Female,18 ,No
18/028,Female,18 ,No
19-005860,Female,18 ,Accepts Healthy Volunteers
A231701CD,Female,18 ,No
FDRT-BC017,Female,18 ,No
AC699-001,All,18 ,No
2020-495,Female,18 ,No
CTRIAL-IE 17-13,Female,18 ,No
00005038,Female,40 ,Accepts Healthy Volunteers
H-43432,All,18 ,No
2020-010,Female,18 ,No
Contralateral Screening,Female,25 ,nan
HCRN BRE18-334,All,18 ,No
ACT16105,All,18 ,No
OSU-22013,Female,30 ,Accepts Healthy Volunteers
I-3364822,All,18 ,No
ICO-N-2019-04,Female,18 ,No
20140299,All,18 ,No
2007-206-1145,Female,25 ,No
2019.629,Female,nan,Accepts Healthy Volunteers
CS003-BC,Female,18 ,No
2020-005722-28,All,18 ,No
EORTC-1617-QLG-BCG,Female,18 ,No
MD-127-2019,Female,18 ,No
2020-07-064-002,Female,nan,No
UC-BCG-2204,All,18 ,No
PYHOPE-BC-104,Female,18 ,No
TMZ-TNBC,All,18 ,No
STUDY-20-01174,Female,40 ,Accepts Healthy Volunteers
SIM-1907-02-SERD-101,All,18 ,No
20-151,Female,18 ,No
RJBC-SHF RNI,All,18 ,No
YOUNGBC-17,Female,18 ,nan
HREBA.CC-21-0429,Female,18 ,No
Metastatic Breast Cancer,All,18 ,No
UW17107,Female,18 ,No
NL63209 041 18,Female,50 ,No
KCSG BR19-15,All,nan,No
2020-AHL-001,All,18 ,No
202201100,Female,18 ,No
SAMuhammad,Female,18 ,No
2019-A02195-52,Female,18 ,No
ShantouCH02,Female,18 ,No
PekingUPH10B003,Female,18 ,No
CTMS# 19-0028,Female,18 ,No
GE-280-401,Female,18 ,No
NEO-01,All,18 ,No
NL58040.091.16,Female,19 ,No
LQ006,Female,18 ,No
MCC-19-15740,Female,18 ,No
K180603J,Female,18 ,No
ABLE02,Female,18 ,No
MCC-21-BRE-54,Female,18 ,No
HUM00140468,Female,18 ,No
CLEE011A3201C,Female,18 ,No
2/108/7,Female,18 ,No
EOC202A1101,Female,18 ,No
18-2562.cc,Female,nan,No
19-586,Female,18 ,No
2014CB543202-02,All,18 ,No
CER2021,All,18 ,No
IB 2017-05,All,18 ,No
On4Rehab Pilot Trial,Female,18 ,No
IIT-0005,Female,18 ,No
PROTECT,All,18 ,No
MD 134/2022,Female,18 ,No
NCC2129,Female,18 ,No
001,Female,18 ,No
SYSU-CSCO-2020,Female,18 ,No
IRB18-0970,Female,25 ,Accepts Healthy Volunteers
2019-09-023,Female,20 ,No
Shengjing-LCG004,Female,18 ,No
A5481093,All,0 ,No
MedOPP168,All,18 ,No
LUN_DBT_121,Female,22 ,Accepts Healthy Volunteers
I239,Female,18 ,No
IRB00158622,Female,18 ,No
RFTMBCPW,Female,30 ,No
s63338,All,18 ,No
2017-0071,Female,18 ,No
2019/00283,Female,21 ,No
20200628GD,Female,18 ,No
ANLO-BC,Female,18 ,No
SHR-A1811-III-306,Female,18 ,No
REO 028,Female,18 ,No
LQ007,Female,18 ,No
2019-KY-049,Female,18 ,Accepts Healthy Volunteers
D9268C00001,All,18 ,No
ET17-203 DISCO,Female,18 ,No
GO 22/41,Female,18 ,No
07068-02,Female,18 ,No
YOUNGBC-16,Female,nan,No
EC/2017/0200,Female,18 ,No
99mTc-DARPinG3 breast cancer,Female,18 ,No
200277,All,18 ,No
CFT / sp123,Female,18 ,No
2021-1201,All,18 ,No
FDRT-BC012,All,nan,No
99mTc- RM26,All,18 ,No
2103254164,Female,18 ,No
MA-BC-II-026,Female,18 ,No
OBU-BC-II-079,Female,18 ,No
BCD-178-2,Female,18 ,No
YOUNGBC-24,Female,18 ,No
SHR6390-Ib/II-201,Female,18 ,No
AAAT4412,Female,18 ,No
N19MIM,All,18 ,No
CA209-7A8,All,18 ,No
CFT/sp123,Female,18 ,No
EVER-132-002,All,18 ,No
KY20192081-F-1,Female,18 ,No
AC682-001,All,18 ,No
ATOS-Z-201,Female,18 ,No
UC-0140/1711 - UCBG3-06,Female,18 ,No
2018-05-0155,All,21 ,No
SBU-PCWRT-BREAST,Female,18 ,No
2021.240,Female,50 ,No
YOUNGBC-6,Female,18 ,No
HNCH-BC008,Female,18 ,No
PLATO study,Female,19 ,No
PI20/596,All,18 ,No
SCBCG-022,Female,18 ,No
RSRB00066846,Female,18 ,No
KC19EESI0325,Female,30 ,No
HERMIONE-10,All,18 ,No
16-007764,Female,40 ,No
18-621,All,18 ,No
IRB-59141,All,18 ,No
STOP-BC Trial,Female,35 ,No
SYSU005,Female,18 ,No
ZN-c5-002,All,18 ,No
Fudan University,Female,18 ,No
18-8214-BO,Female,18 ,No
B00157,Female,18 ,No
1711-048-898,All,20 ,No
HR-BLTN-001,All,18 ,No
2021-A03091-40,Female,18 ,No
A5481166,All,20 ,No
D081CC00012,All,nan,No
Luminal A sirt1,Female,nan,No
DokuzEU.Com.Garments,All,18 ,No
P.T.REC/012/002968,Female,30 ,No
IIT-2021-ASSET,All,18 ,No
MC200302,All,18 ,No
4-2020-1131,Female,19 ,No
145358,All,18 ,No
UMCC 2018.016,Female,21 ,No
TP.102.17.22.PAR,Female,18 ,No
EFC15935,All,18 ,No
BC-NEO-IIT-SHR6390,Female,18 ,No
GDWCH-001,Female,18 ,No
SMC-2018-10-062,Female,20 ,Accepts Healthy Volunteers
SMX 18001,Female,18 ,No
A5481154,Female,20 ,No
NRG-BR008,All,40 ,No
TEBICA002,Female,18 ,No
CWCD118B12201,All,18 ,No
22-002857,All,18 ,No
CALORIE,Female,18 ,Accepts Healthy Volunteers
S2010,Female,18 ,No
IFOM-CPO007/2019/PO006,All,18 ,No
S-detect 2019,Female,18 ,No
AABCSR,Female,21 ,nan
FMSU2017-002B,Female,18 ,Accepts Healthy Volunteers
2019-A01592-55,Female,18 ,No
ABY-025-MI301,All,18 ,No
202202045MIPA,All,20 ,No
22-07025006,All,18 ,No
2019/044,Female,18 ,No
B2017-11,Female,18 ,No
2022-0651,Female,30 ,No
Pro00088926,Female,25 ,No
Tmab-TK006-102b,All,18 ,No
YOUNGBC-10,Female,18 ,No
Ahead-BC-20170323,Female,18 ,No
21090645,Female,19 ,No
18-0234,Female,18 ,Accepts Healthy Volunteers
20-1434.cc,Female,18 ,No
P20CA217199-9492018,Female,18 ,Accepts Healthy Volunteers
Pro00107216,Female,20 ,No
HREBA.CC 19-0363,Female,18 ,No
AHQU-2021004,Female,18 ,No
H20-03123,Female,19 ,No
CSPC-KAL-AE-01,Female,nan,No
SYS-C-201801-5010,Female,18 ,No
SCBCG-021,Female,18 ,No
15-017,Female,18 ,No
ZN-c5-003,All,18 ,No
114421,All,18 ,No
M14ABC,All,18 ,No
CLIN-52014-452,Female,18 ,No
18-004803,Female,18 ,No
34615/4/21,Female,18 ,No
CLAG525B2101,All,18 ,No
MINERVA,Female,18 ,No
LACOG 0419,Female,18 ,No
CHB18.04,Female,65 ,No
CSIIT-C21,Female,18 ,No
BOOG 2018-01,All,18 ,No
AMC2020-17,Female,18 ,No
KY20222062-C-1,Female,18 ,No
20201540,All,18 ,No
RCVDBCIIR005,Female,18 ,No
STUDY00003282,All,18 ,No
IRB-2022-348,Female,18 ,No
LCCC 1639,Female,18 ,No
SCHBCC-N034,Female,18 ,No
2022-0431,All,18 ,No
CBYL719C1201,All,18 ,No
SYSA1802-CSP-006,Female,18 ,No
201805027RSA,All,20 ,No
KY2022-097-B,All,18 ,No
KY2019-023,Female,18 ,No
MEDOPP447,All,18 ,No
GE-226-004,Female,18 ,No
2021P002871,Female,18 ,No
CABC - Kreftfor project - SEB,Female,20 ,No
201708076,Female,18 ,No
TWT-203,All,18 ,No
CO41101,All,18 ,No
Radiodermatitistalita60,All,nan,No
EA1183,All,18 ,No
WO42312,All,18 ,No
MEDOPP367,All,18 ,No
YXH2022ZX02167,Female,20 ,No
NHP,Female,18 ,No
JU 2020/1732-51,All,18 ,No
NCCH1607,Female,18 ,No
NL69081.041.19,Female,18 ,No
AAAS2359,Female,10 ,No
21-06023682,Female,18 ,No
HSEARS20210816002,All,18 ,No
D926XC00001,All,18 ,No
PUMCH-BC500,Female,nan,No
HRS-8080-I-101,Female,18 ,No
S2020-300-01,Female,18 ,No
99mTc-DARPinG3,Female,18 ,No
ONA-XR-103,All,18 ,No
Soh-Med-22-05-24,Female,18 ,No
2022-0315,All,18 ,No
KCSG BR19-13,All,19 ,No
SYSEC-KY-KS-2019-054-001,Female,18 ,No
STU00216520,Female,18 ,No
20805,Female,18 ,No
ICO-2020-25,All,18 ,No
HRS-1358-I-101,Female,18 ,No
IRFMN-BRC-7103,Female,18 ,No
BL-M02D1-101,All,18 ,No
RJBC1901,All,18 ,No
PELICAN-IPC 2015-016,All,18 ,No
YO41137,All,18 ,No
BC2,Female,18 ,No
CO40016,All,18 ,No
ADIGYN,All,18 ,No
NICSO-GINSENG,Female,18 ,No
ATADEK-2018 / 9,Female,18 ,No
UW22095,Female,18 ,No
HREBA.CC-18-0657,All,18 ,No
NSABP FB-12,Female,18 ,No
4469,Female,18 ,Accepts Healthy Volunteers
RTM 2015,Female,18 ,No
Breast-Chi-2022,Female,18 ,No
STUDY00018504,All,18 ,No
38RC19.362,Female,18 ,No
YOUNGBC-19,Female,18 ,No
CTFSp161,All,18 ,No
CCR5316,All,18 ,No
STUDY00000675,All,18 ,No
FILBLAU1022,Female,18 ,No
CBYL719C2303,All,18 ,No
US-MAM,Female,18 ,nan
BC-IIT-SHR6390-FMTN,Female,18 ,No
LV,All,18 ,No
CAPRICE-IPC 2020-053,All,18 ,No
P0268,Female,18 ,nan
HMPL-012-SPRING-R101,Female,18 ,No
2107239-9,Female,18 ,No
Breast PTC,Female,nan,No
201900115B0,All,20 ,No
2021-A02664-37,Female,18 ,No
EF 160,Female,18 ,No
D20148,Female,18 ,No
CBYL719C2202,All,18 ,No
PUMCH-BC503,Female,nan,No
TRIO036,All,18 ,No
EG017,Female,18 ,No
TIPN in China,Female,16 ,Accepts Healthy Volunteers
2019000486,All,18 ,No
Alpha-Lipoic Acid,Female,18 ,No
VICC BREP 1898,Female,18 ,No
MD.22.07.674,All,18 ,No
07-2021/EK OUSA,Female,18 ,No
I241,All,nan,No
853.4,Female,18 ,No
ShandongCHI-08,Female,18 ,Accepts Healthy Volunteers
173-18-CA,Female,18 ,No
1400,Female,18 ,No
NCC2167,Female,18 ,No
